player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Artem Dovbyk,DT,girona,betis,1,89,2,0,1.4,0.5,2,1,1,19,68.4,0,0,0.0,0.0,0.0,15,0,0,0,0,0,0,0,0,0,0,0,8,46.0,16.0,1,3,2,60.0,23_24,30,31/03/2024,1,"[{'goles': [1, 24.0]}, {'goles_90': [1, 0.83]}, {'asistencias': [7, 8.0]}, {'penaltis_marcados': [1, 7.0]}, {'tiros_puerta': [4, 36.0]}]"
Valery Fernández,MC,girona,betis,0,1,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,23_24,30,31/03/2024,1,"[{'apariciones_suplente': [2, 25.0]}]"
Portu,MC,girona,betis,1,81,0,1,0.0,0.7,0,0,0,17,76.5,0,0,0.0,0.0,0.0,8,2,1,0,1,2,0,2,1,3,0,3,19,73.0,22.0,0,0,1,0.0,23_24,30,31/03/2024,1,"[{'asistencias_90': [5, 0.35]}, {'goles_por_tiro': [1, 0.32]}, {'apariciones_suplente': [2, 25.0]}]"
Pablo Torre,DT,girona,betis,0,9,0,0,0.0,0.0,0,0,0,8,62.5,1,0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,1,0,0,0,8,58.0,30.0,2,0,0,0.0,23_24,30,31/03/2024,1,"[{'apariciones_suplente': [6, 22.0]}]"
Viktor Tsyhankov,MC,girona,betis,1,81,0,0,0.1,0.0,1,1,0,35,77.1,0,0,0.0,0.0,0.0,2,1,2,0,1,1,0,1,1,2,2,0,32,225.0,90.0,0,0,0,0.0,23_24,30,31/03/2024,1,"[{'corners': [10, 80.0]}]"
Yangel Herrera,MC,girona,betis,0,9,0,0,0.0,0.0,0,0,0,11,90.9,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,51.0,22.0,1,0,0,0.0,23_24,30,31/03/2024,1,"[{'faltas_cometidas': [6, 65.0]}]"
Aleix García,MC,girona,betis,1,90,0,0,0.0,0.1,0,0,0,83,81.9,0,0,0.0,0.0,0.0,1,1,3,0,2,0,0,0,1,2,1,1,46,314.0,145.0,2,1,0,100.0,23_24,30,31/03/2024,1,"[{'pases_clave': [7, 57.0]}, {'pases_ultimo_tercio': [2, 306.0]}, {'corners': [3, 122.0]}, {'rojas': [10, 1.0]}]"
Iván Martín,MC,girona,betis,1,89,0,0,0.0,0.0,0,0,0,66,93.9,1,0,0.0,0.0,0.0,3,1,3,0,2,2,0,2,0,3,3,0,46,302.0,119.0,1,0,0,0.0,23_24,30,31/03/2024,1,"[{'goles_por_tiro': [7, 0.26]}, {'pases_completados_pct': [9, 91.3]}]"
Juanpe,DF,girona,betis,0,1,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0,1,0,100.0,23_24,30,31/03/2024,1,[]
Miguel Gutiérrez,MC,girona,betis,1,90,0,0,0.1,0.0,1,1,0,63,85.7,0,0,0.0,0.0,0.0,1,0,1,0,1,2,0,2,0,2,0,2,38,160.0,73.0,1,0,1,0.0,23_24,30,31/03/2024,1,"[{'centros_area': [10, 19.0]}]"
Yan Couto,MC,girona,betis,1,90,0,0,0.0,0.0,1,0,1,43,76.7,0,0,0.0,0.0,0.0,-2,1,0,0,0,0,0,0,0,5,1,3,28,251.0,108.0,4,0,1,0.0,23_24,30,31/03/2024,1,"[{'asistencias': [7, 8.0]}, {'asistencias_90': [9, 0.32]}]"
Daley Blind,DF,girona,betis,1,90,0,0,0.0,0.0,0,0,0,91,91.2,0,0,0.0,0.0,0.0,0,1,3,0,2,0,0,0,1,2,0,2,65,285.0,168.0,0,1,1,50.0,23_24,30,31/03/2024,1,"[{'pases_ultimo_tercio': [5, 256.0]}]"
