player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Óscar Trejo,ARG,35,DT,8,rayo,osasuna,1,81,0,0,0.0,0.0,0,0,0,48,85.4,0,0,0.0,0.0,0.0,5,1,1,0,0,2,0,2,0,3,2,1,28,151.0,58.0,4,0,1,0.0,23_24,32,20/04/2024,1,"[{'rojas': [10, 1.0]}]"
Crespo,POR,27,DT,15,rayo,osasuna,0,9,0,0,0.0,0.0,0,0,0,6,66.7,0,0,0.0,0.0,0.0,2,1,0,0,0,1,0,1,0,0,0,0,5,13.0,1.0,0,0,1,0.0,23_24,32,20/04/2024,1,[]
Sergio Camello,ESP,23,DT,34,rayo,osasuna,1,59,0,0,0.1,0.0,2,2,0,18,61.1,0,0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,0,0,0,0,13,52.0,12.0,0,2,1,66.7,23_24,32,20/04/2024,1,"[{'rojas': [2, 1.0]}]"
Raúl de Tomás,ESP,29,DT,22,rayo,osasuna,0,31,0,0,0.1,0.0,4,4,0,4,50.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,1,1,9,24.0,2.0,0,0,1,0.0,23_24,32,20/04/2024,1,[]
Isaac Palazón Camacho,ESP,29,MC,7,rayo,osasuna,1,90,1,0,0.1,0.0,3,1,2,46,58.7,1,0,0.0,0.0,0.0,9,0,1,0,1,0,0,0,2,2,1,0,36,266.0,130.0,5,2,0,100.0,23_24,32,20/04/2024,1,"[{'tiros_puerta': [10, 31.0]}, {'faltas_recibidas': [3, 76.0]}]"
Unai López,ESP,28,MC,17,rayo,osasuna,1,73,0,0,0.0,0.0,1,0,1,63,82.5,1,0,0.0,0.0,0.0,4,1,2,0,2,0,0,0,0,1,1,0,44,187.0,111.0,3,1,2,33.3,23_24,32,20/04/2024,1,"[{'rojas': [8, 1.0]}]"
Radamel Falcao,COL,38,MC,9,rayo,osasuna,0,17,0,0,0.0,0.0,0,0,0,8,87.5,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,4,23.0,19.0,1,1,1,50.0,23_24,32,20/04/2024,1,[]
Óscar Valentín,ESP,29,MC,23,rayo,osasuna,1,45,0,0,0.0,0.0,0,0,0,25,84.0,1,0,0.0,0.0,0.0,1,4,2,0,0,3,0,3,0,1,1,0,16,75.0,47.0,0,2,0,100.0,23_24,32,20/04/2024,1,"[{'entradas': [1, 107.0]}, {'rojas': [10, 1.0]}, {'faltas_cometidas': [2, 77.0]}]"
Pathé Ciss,SEN,30,MC,21,rayo,osasuna,0,45,0,0,0.0,0.0,0,0,0,30,93.3,1,0,0.0,0.0,0.0,2,1,0,0,0,1,0,1,2,0,0,0,17,58.0,17.0,0,3,2,60.0,23_24,32,20/04/2024,1,"[{'amarillas': [3, 12.0]}]"
Jorge de Frutos,ESP,27,MC,19,rayo,osasuna,1,73,0,0,0.0,0.1,0,0,0,27,66.7,0,0,0.0,0.0,0.0,4,4,0,0,0,1,0,1,0,3,1,2,25,101.0,33.0,2,3,1,75.0,23_24,32,20/04/2024,1,"[{'apariciones_suplente': [6, 22.0]}]"
