player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Anthony Lozano,DT,almeria,villarreal,1,68,1,0,0.8,0.1,5,3,2,7,85.7,0,0,0.0,0.0,0.0,9,0,0,0,0,1,1,0,2,1,0,0,9,48.0,20.0,0,2,5,28.6,23_24,32,21/04/2024,1,[]
Largie Ramazani,DT,almeria,villarreal,0,18,0,0,0.0,0.0,1,1,0,2,50.0,2,1,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,2,2,0,3,60.0,59.0,2,0,0,0.0,23_24,32,21/04/2024,1,"[{'amarillas': [7, 11.0]}, {'rojas': [2, 2.0]}]"
Adri Embarba,DT,almeria,villarreal,1,84,0,0,0.0,0.2,1,1,0,30,80.0,0,0,0.0,0.0,0.0,5,1,1,0,0,1,0,1,0,2,1,1,22,143.0,69.0,2,1,1,50.0,23_24,32,21/04/2024,1,"[{'corners': [6, 94.0]}]"
Luka Romero,DT,almeria,villarreal,0,6,0,0,0.0,0.0,0,0,0,7,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,1,0,5,25.0,22.0,1,0,0,0.0,23_24,32,21/04/2024,1,[]
Léo Baptistão,DT,almeria,villarreal,1,90,0,0,0.2,0.0,3,3,0,40,67.5,0,0,0.0,0.0,0.0,1,0,0,0,0,2,0,2,2,2,1,1,27,142.0,91.0,4,4,0,100.0,23_24,32,21/04/2024,1,"[{'rojas': [10, 1.0]}]"
Jonathan Viera,MC,almeria,villarreal,1,75,0,0,0.4,0.6,4,3,1,52,88.5,1,0,0.0,0.0,0.0,7,1,3,0,2,1,0,1,0,2,2,0,44,281.0,191.0,4,0,1,0.0,23_24,32,21/04/2024,1,"[{'rojas': [10, 1.0]}]"
Sergio Arribas,MC,almeria,villarreal,0,15,0,0,0.0,0.0,0,0,0,8,75.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,1,0,8,41.0,2.0,0,0,0,0.0,23_24,32,21/04/2024,1,[]
Dion Lopy,MC,almeria,villarreal,1,67,0,0,0.1,0.0,3,2,1,37,97.3,0,0,0.0,0.0,0.0,4,0,1,0,1,0,0,0,0,2,1,1,29,138.0,57.0,0,0,1,0.0,23_24,32,21/04/2024,1,[]
Marcos Peña,MC,almeria,villarreal,0,23,0,0,0.0,0.0,1,1,0,8,100.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,5,15.0,8.0,0,0,0,0.0,23_24,32,21/04/2024,1,[]
Lucas Robertone,MC,almeria,villarreal,1,90,0,0,0.0,0.0,0,0,0,64,89.1,0,0,0.0,0.0,0.0,4,1,0,0,0,2,0,2,1,0,0,0,42,218.0,90.0,0,0,0,0.0,23_24,32,21/04/2024,1,"[{'intercepciones': [2, 51.0]}, {'amarillas': [7, 11.0]}]"
Bruno Langa,DF,almeria,villarreal,1,90,0,0,0.0,0.1,1,1,0,49,83.7,0,0,0.0,0.0,0.0,1,1,2,0,2,0,0,0,1,5,3,0,32,200.0,97.0,3,0,0,0.0,23_24,32,21/04/2024,1,"[{'rojas': [10, 1.0]}]"
Chumi,DF,almeria,villarreal,1,90,0,0,0.0,0.0,0,0,0,64,90.6,0,0,0.0,0.0,0.0,1,4,1,0,0,0,0,0,0,0,0,0,47,201.0,83.0,0,0,1,0.0,23_24,32,21/04/2024,1,[]
César Montes,DF,almeria,villarreal,1,90,0,0,0.0,0.1,1,1,0,77,85.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,3,0,0,0,56,247.0,137.0,0,2,0,100.0,23_24,32,21/04/2024,1,[]
Marc Pubill,DF,almeria,villarreal,1,90,0,0,0.1,0.2,4,3,1,56,87.5,0,0,0.0,0.0,0.0,2,1,1,0,1,1,0,1,3,2,1,1,36,156.0,100.0,5,0,2,0.0,23_24,32,21/04/2024,1,[]
Luís Maximiano,PT,almeria,villarreal,1,90,0,0,0.0,0.0,0,0,0,50,86.0,0,0,2.0,33.3,1.4,2,0,0,0,0,0,0,0,0,0,0,0,34,119.0,64.0,0,0,0,0.0,23_24,32,21/04/2024,1,"[{'paradas': [4, 111.0]}]"
