player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Mikel Oyarzabal,DT,10,real sociedad,real madrid,1,90,0,0,0.3,0.1,2,1,1,18,66.7,0,0,0.0,0.0,0.0,3,1,0,0,0,1,0,1,0,4,1,3,18,102.0,64.0,4,1,5,16.7,23_24,33,26/04/2024,1,"[{'penaltis_marcados': [6, 4.0]}, {'rojas': [8, 1.0]}]"
Ander Barrenetxea,MC,7,real sociedad,real madrid,1,74,0,0,0.0,0.1,1,1,0,32,68.8,0,0,0.0,0.0,0.0,4,3,1,0,0,1,0,1,0,4,3,0,22,170.0,94.0,2,0,0,0.0,23_24,33,26/04/2024,1,"[{'regates_exitosos': [7, 32.0]}]"
Sheraldo Becker,MC,11,real sociedad,real madrid,0,16,0,0,0.0,0.0,1,1,0,5,40.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,4,25.0,7.0,1,1,0,100.0,23_24,33,26/04/2024,1,"[{'rojas': [8, 1.0]}]"
Mikel Merino,MC,8,real sociedad,real madrid,1,90,0,0,0.0,0.0,1,1,0,73,79.5,1,0,0.0,0.0,0.0,3,3,3,0,1,0,0,0,0,0,0,0,38,176.0,95.0,1,5,6,45.5,23_24,33,26/04/2024,1,"[{'entradas': [7, 77.0]}, {'faltas_cometidas': [4, 70.0]}]"
Beñat Turrientes,MC,22,real sociedad,real madrid,1,66,0,0,0.2,0.0,2,1,1,22,81.8,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,4,2,2,15,114.0,56.0,1,1,0,100.0,23_24,33,26/04/2024,1,[]
Arsen Zakharyan,MC,12,real sociedad,real madrid,0,24,0,0,0.1,0.0,1,1,0,19,68.4,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,1,0,0,11,25.0,4.0,0,0,0,0.0,23_24,33,26/04/2024,1,"[{'apariciones_suplente': [9, 10.0]}]"
Takefusa Kubo,MC,14,real sociedad,real madrid,1,90,0,0,0.0,0.2,1,0,1,48,75.0,0,0,0.0,0.0,0.0,8,0,0,0,0,1,0,1,0,7,3,2,39,271.0,134.0,6,0,0,0.0,23_24,33,26/04/2024,1,"[{'pases_clave': [6, 58.0]}]"
Martín Zubimendi,MC,4,real sociedad,real madrid,1,90,0,0,0.0,0.0,0,0,0,54,88.9,0,0,0.0,0.0,0.0,6,2,2,0,1,2,1,1,0,1,1,0,27,177.0,79.0,2,0,0,0.0,23_24,33,26/04/2024,1,[]
Javi Galán,DF,25,real sociedad,real madrid,1,90,0,0,0.0,0.0,0,0,0,67,85.1,0,0,0.0,0.0,0.0,2,3,5,0,3,2,0,2,2,3,0,3,42,220.0,149.0,5,0,1,0.0,23_24,33,26/04/2024,1,[]
Robin Le Normand,DF,24,real sociedad,real madrid,1,88,0,0,0.0,0.0,0,0,0,63,92.1,1,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,1,0,0,0,44,215.0,141.0,1,3,3,50.0,23_24,33,26/04/2024,1,"[{'amarillas': [4, 13.0]}]"
André Silva,DF,21,real sociedad,real madrid,0,2,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,1,5.0,4.0,0,0,1,0.0,23_24,33,26/04/2024,1,[]
Igor Zubeldia,DF,5,real sociedad,real madrid,1,90,0,0,0.0,0.0,0,0,0,69,94.2,1,0,0.0,0.0,0.0,3,0,0,0,0,2,1,1,0,0,0,0,43,220.0,144.0,0,4,4,50.0,23_24,33,26/04/2024,1,"[{'amarillas': [7, 11.0]}, {'rojas': [10, 1.0]}]"
Álvaro Odriozola,DF,2,real sociedad,real madrid,1,74,0,0,0.0,0.0,0,0,0,53,92.5,0,0,0.0,0.0,0.0,7,1,1,0,0,0,0,0,2,2,2,0,26,153.0,81.0,2,0,2,0.0,23_24,33,26/04/2024,1,[]
Aritz Elustondo,DF,6,real sociedad,real madrid,0,16,0,0,0.0,0.0,0,0,0,22,72.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,4,15.0,5.0,0,0,2,0.0,23_24,33,26/04/2024,1,"[{'rojas': [8, 1.0]}]"
Álex Remiro,PT,1,real sociedad,real madrid,1,90,0,0,0.0,0.0,0,0,0,28,85.7,0,0,1.0,66.7,0.9,5,0,0,0,0,0,0,0,0,0,0,0,16,73.0,53.0,0,0,0,0.0,23_24,33,26/04/2024,1,"[{'minutos': [8, 3275.0]}, {'rojas': [10, 1.0]}, {'porterias_cero': [2, 15.0]}, {'save_pct': [3, 76.2]}]"
Joselu,DT,14,real madrid,real sociedad,1,90,0,0,0.0,0.0,0,0,0,18,50.0,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,12,26.0,6.0,0,7,4,63.6,23_24,33,26/04/2024,0,[]
Dani Ceballos,DT,19,real madrid,real sociedad,1,67,0,0,0.0,0.0,0,0,0,29,79.3,0,0,0.0,0.0,0.0,4,0,0,0,0,1,0,1,0,1,0,1,26,227.0,124.0,4,0,2,0.0,23_24,33,26/04/2024,0,"[{'pases_completados_pct': [2, 94.3]}]"
Federico Valverde,DT,15,real madrid,real sociedad,0,23,0,0,0.0,0.0,0,0,0,10,80.0,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,1,1,0,1,6,22.0,10.0,0,1,1,50.0,23_24,33,26/04/2024,0,"[{'pases_ultimo_tercio': [6, 229.0]}, {'intercepciones': [8, 43.0]}]"
Arda Güler,DT,24,real madrid,real sociedad,1,67,1,0,0.2,0.0,3,2,1,17,88.2,1,0,0.0,0.0,0.0,12,2,4,0,2,0,0,0,4,3,2,1,18,105.0,47.0,0,0,0,0.0,23_24,33,26/04/2024,0,"[{'asistencias': [4, 5.0]}, {'asistencias_90': [8, 0.4]}, {'pases_clave': [2, 40.0]}, {'corners': [7, 48.0]}]"
Vinicius Júnior,DT,7,real madrid,real sociedad,0,23,0,0,0.0,0.0,0,0,0,10,40.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,1,9,37.0,20.0,0,0,0,0.0,23_24,33,26/04/2024,0,"[{'goles': [8, 15.0]}, {'goles_90': [4, 0.72]}, {'tiros_puerta': [2, 38.0]}, {'regates_exitosos': [6, 65.0]}]"
Brahim Díaz,MC,21,real madrid,real sociedad,1,75,0,0,0.0,0.0,0,0,0,17,82.4,0,0,0.0,0.0,0.0,5,1,2,0,1,1,0,1,1,5,1,4,15,89.0,43.0,2,1,0,100.0,23_24,33,26/04/2024,0,"[{'asistencias_90': [5, 0.35]}]"
Antonio Rüdiger,DF,22,real madrid,real sociedad,0,15,0,0,0.0,0.0,0,0,0,10,70.0,0,0,0.0,0.0,0.0,2,0,0,0,0,1,1,0,1,0,0,0,7,13.0,8.0,0,1,0,100.0,23_24,33,26/04/2024,0,"[{'pases_completados_pct': [9, 91.8]}]"
Luka Modrić,MC,10,real madrid,real sociedad,1,83,0,0,0.0,0.0,0,0,0,60,90.0,0,0,0.0,0.0,0.0,7,1,6,0,5,1,0,1,0,1,0,0,48,224.0,78.0,0,1,0,100.0,23_24,33,26/04/2024,0,"[{'asistencias_90': [9, 0.32]}, {'pases_clave': [8, 55.0]}]"
Lucas Vázquez,DT,17,real madrid,real sociedad,0,7,0,0,0.0,0.0,0,0,0,3,33.3,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,3,13.0,2.0,0,0,1,0.0,23_24,33,26/04/2024,0,"[{'asistencias_90': [4, 0.38]}]"
Aurélien Tchouaméni,MC,18,real madrid,real sociedad,1,90,0,0,0.0,0.1,1,0,1,47,91.5,1,0,0.0,0.0,0.0,7,3,2,0,1,2,1,1,3,0,0,0,39,185.0,81.0,2,2,1,66.7,23_24,33,26/04/2024,0,"[{'pases_completados_pct': [6, 92.3]}, {'pases_ultimo_tercio': [9, 176.0]}, {'intercepciones': [9, 46.0]}]"
Fran Garcia,DF,20,real madrid,real sociedad,1,75,0,0,0.0,0.0,0,0,0,39,94.9,1,0,0.0,0.0,0.0,7,3,3,0,1,1,0,1,3,0,0,0,17,95.0,26.0,1,1,1,50.0,23_24,33,26/04/2024,0,"[{'asistencias_90': [9, 0.32]}]"
Eduardo Camavinga,DT,12,real madrid,real sociedad,0,15,0,0,0.1,0.0,1,0,1,5,60.0,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,2,0,0,0,3,8.0,5.0,0,0,0,0.0,23_24,33,26/04/2024,0,"[{'pases_completados_pct': [10, 90.7]}, {'entradas': [8, 76.0]}, {'faltas_recibidas': [8, 68.0]}]"
Nacho,DF,6,real madrid,real sociedad,1,90,0,0,0.0,0.0,0,0,0,55,83.6,1,0,0.0,0.0,0.0,6,1,2,0,1,1,0,1,3,1,1,0,38,130.0,37.0,0,3,0,100.0,23_24,33,26/04/2024,0,"[{'pases_completados_pct': [4, 92.3]}, {'rojas': [2, 2.0]}]"
Éder Militão,DF,3,real madrid,real sociedad,1,90,0,0,0.0,0.0,0,0,0,44,84.1,0,0,0.0,0.0,0.0,8,2,3,0,1,0,0,0,3,1,0,0,35,119.0,43.0,0,2,2,50.0,23_24,33,26/04/2024,0,[]
Dani Carvajal,DF,2,real madrid,real sociedad,1,90,0,1,0.0,0.2,0,0,0,40,75.0,0,0,0.0,0.0,0.0,13,1,0,0,0,1,0,1,6,1,1,0,20,39.0,13.0,0,4,3,57.1,23_24,33,26/04/2024,0,"[{'rojas': [10, 1.0]}]"
Kepa Arrizabalaga,PT,25,real madrid,real sociedad,1,90,0,0,0.0,0.0,0,0,0,51,76.5,0,0,0.0,100.0,0.8,11,0,0,0,0,0,0,0,0,0,0,0,31,123.0,73.0,0,1,0,100.0,23_24,33,26/04/2024,0,"[{'save_pct': [2, 76.3]}]"
