player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Kiké,DT,alaves,celta,1,81,0,1,0.5,0.5,3,1,2,15,66.7,0,0,0.0,0.0,0.0,13,0,0,0,0,1,0,1,0,7,2,5,16,109.0,42.0,3,1,3,25.0,23_24,33,27/04/2024,1,"[{'goles': [9, 13.0]}, {'penaltis_marcados': [10, 3.0]}, {'rojas': [8, 1.0]}]"
Samu Omorodion,DT,alaves,celta,0,9,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,1,2.0,1.0,0,0,1,0.0,23_24,33,27/04/2024,1,[]
Giuliano Simeone,DT,alaves,celta,1,88,1,0,0.5,0.1,2,1,1,18,72.2,0,0,0.0,0.0,0.0,10,1,2,0,2,2,0,2,0,0,0,0,14,52.0,34.0,1,0,0,0.0,23_24,33,27/04/2024,1,"[{'asistencias': [8, 4.0]}]"
Luis Rioja,DT,alaves,celta,0,2,0,0,0.0,0.0,0,0,0,3,33.3,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,23_24,33,27/04/2024,1,"[{'penaltis_marcados': [7, 3.0]}, {'centros_area': [10, 19.0]}]"
Carlos Vicente,DT,alaves,celta,1,81,0,0,0.1,0.7,1,0,1,37,62.2,0,0,0.0,0.0,0.0,10,3,1,0,0,0,0,0,0,3,1,2,17,77.0,14.0,1,3,2,60.0,23_24,33,27/04/2024,1,"[{'pases_clave': [7, 63.0]}, {'centros_area': [3, 29.0]}, {'corners': [8, 85.0]}, {'faltas_recibidas': [9, 62.0]}]"
Alex Sola,DT,alaves,celta,0,9,0,1,0.0,0.2,0,0,0,5,80.0,0,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,1,0,0,1,23.0,20.0,0,0,1,0.0,23_24,33,27/04/2024,1,[]
Jon Guridi,MC,alaves,celta,1,88,1,0,0.7,0.2,2,1,1,21,76.2,0,0,0.0,0.0,0.0,16,0,0,0,0,0,0,0,2,1,0,1,13,82.0,51.0,2,1,0,100.0,23_24,33,27/04/2024,1,[]
Joaquín Panichelli,MC,alaves,celta,0,2,0,0,0.1,0.0,1,1,0,0,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,0,2,2.0,0.0,0,1,0,100.0,23_24,33,27/04/2024,1,[]
Antonio Blanco,MC,alaves,celta,1,90,0,0,0.0,0.0,1,1,0,29,62.1,1,0,0.0,0.0,0.0,4,0,1,0,1,1,0,1,0,1,0,1,9,39.0,17.0,0,0,0,0.0,23_24,33,27/04/2024,1,"[{'rojas': [10, 1.0]}]"
Carlos Benavídez,MC,alaves,celta,1,90,1,0,0.3,0.0,3,1,2,31,77.4,0,0,0.0,0.0,0.0,15,5,3,0,2,1,0,1,3,0,0,0,16,73.0,55.0,1,1,1,50.0,23_24,33,27/04/2024,1,[]
Javi López,DF,alaves,celta,1,90,0,0,0.1,0.0,1,0,1,39,61.5,0,0,0.0,0.0,0.0,5,2,3,0,1,1,1,0,1,2,0,2,16,153.0,20.0,0,0,1,0.0,23_24,33,27/04/2024,1,[]
Rubén Duarte,DF,alaves,celta,1,71,0,0,0.0,0.1,0,0,0,22,72.7,1,0,0.0,0.0,0.0,5,0,0,0,0,1,0,1,1,0,0,0,10,67.0,33.0,0,1,0,100.0,23_24,33,27/04/2024,1,[]
Ander Guevara,MC,alaves,celta,0,19,0,0,0.0,0.0,0,0,0,9,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,1,0,0,0,3,22.0,1.0,0,0,0,0.0,23_24,33,27/04/2024,1,[]
Nahuel Tenaglia,DF,alaves,celta,1,90,0,0,0.1,0.0,2,2,0,31,58.1,0,0,0.0,0.0,0.0,7,1,1,0,0,0,0,0,5,0,0,0,14,57.0,25.0,0,1,1,50.0,23_24,33,27/04/2024,1,"[{'entradas': [3, 96.0]}, {'intercepciones': [7, 47.0]}, {'amarillas': [6, 11.0]}]"
Andoni Gorosabel,DF,alaves,celta,1,90,0,0,0.0,0.3,0,0,0,52,80.8,0,0,0.0,0.0,0.0,11,3,2,0,0,0,0,0,3,1,1,0,24,107.0,52.0,1,1,0,100.0,23_24,33,27/04/2024,1,[]
Antonio Sivera,PT,alaves,celta,1,90,0,0,0.0,0.0,0,0,0,21,52.4,1,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,0,0,0,5,37.0,24.0,0,0,0,0.0,23_24,33,27/04/2024,1,"[{'porterias_cero': [8, 10.0]}, {'save_pct': [5, 75.6]}]"
Anastasios Douvikas,DT,celta,alaves,1,72,0,0,0.0,0.0,1,1,0,12,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,1,1,0,13,40.0,21.0,1,1,1,50.0,23_24,33,27/04/2024,0,"[{'goles_por_tiro': [5, 0.27]}, {'apariciones_suplente': [2, 25.0]}]"
Tadeo Allende,DT,celta,alaves,0,18,0,0,0.0,0.1,0,0,0,5,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,6,22.0,1.0,0,0,0,0.0,23_24,33,27/04/2024,0,[]
Hugo Álvarez,DT,celta,alaves,1,90,0,0,0.0,0.0,0,0,0,36,83.3,1,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1,3,0,3,30,126.0,37.0,0,1,1,50.0,23_24,33,27/04/2024,0,[]
Iago Aspas,DT,celta,alaves,1,90,0,0,0.2,0.0,2,2,0,36,66.7,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,31,111.0,47.0,1,1,0,100.0,23_24,33,27/04/2024,0,"[{'asistencias': [3, 10.0]}, {'asistencias_90': [8, 0.33]}, {'penaltis_marcados': [7, 3.0]}, {'pases_clave': [2, 90.0]}, {'corners': [6, 94.0]}, {'rojas': [10, 1.0]}]"
Manu Sánchez,MC,celta,alaves,1,53,0,0,0.0,0.0,0,0,0,28,82.1,0,0,0.0,0.0,0.0,-1,2,1,0,0,0,0,0,3,1,0,1,20,105.0,50.0,2,0,1,0.0,23_24,33,27/04/2024,0,"[{'entradas': [7, 83.0]}, {'rojas': [8, 1.0]}, {'faltas_cometidas': [6, 56.0]}]"
Luca de la Torre,MC,celta,alaves,0,37,0,0,0.0,0.0,0,0,0,22,86.4,0,0,0.0,0.0,0.0,2,2,2,0,0,0,0,0,0,1,1,0,19,119.0,89.0,3,1,0,100.0,23_24,33,27/04/2024,0,"[{'rojas': [10, 1.0]}]"
Jailson Siqueira,MC,celta,alaves,1,90,0,0,0.0,0.0,0,0,0,61,90.2,0,0,0.0,0.0,0.0,2,1,1,0,0,1,1,0,0,2,1,1,53,285.0,205.0,3,1,1,50.0,23_24,33,27/04/2024,0,[]
Fran Beltrán,MC,celta,alaves,1,72,0,0,0.0,0.0,0,0,0,40,85.0,0,0,0.0,0.0,0.0,5,0,0,0,0,2,0,2,3,1,1,0,29,161.0,68.0,1,0,2,0.0,23_24,33,27/04/2024,0,[]
Hugo Sotelo,MC,celta,alaves,0,18,0,0,0.0,0.0,0,0,0,22,90.9,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,0,0,0,22,52.0,5.0,0,0,0,0.0,23_24,33,27/04/2024,0,[]
Carles Pérez,MC,celta,alaves,1,77,0,0,0.0,0.0,0,0,0,31,80.6,1,0,0.0,0.0,0.0,0,4,2,0,0,2,0,2,2,3,0,2,29,207.0,51.0,2,1,1,50.0,23_24,33,27/04/2024,0,[]
Miguel Rodríguez,MC,celta,alaves,0,13,0,0,0.0,0.0,1,1,0,5,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,2,0,2,0,1,0,0,8,47.0,39.0,0,0,0,0.0,23_24,33,27/04/2024,0,[]
Unai Núñez,DF,celta,alaves,1,53,0,0,0.0,0.0,0,0,0,40,90.0,0,0,0.0,0.0,0.0,2,3,3,0,0,0,0,0,6,0,0,0,34,187.0,117.0,0,2,2,50.0,23_24,33,27/04/2024,0,"[{'intercepciones': [1, 52.0]}, {'despejes': [4, 153.0]}]"
Williot Swedberg,DT,celta,alaves,0,37,0,0,0.0,0.0,0,0,0,18,77.8,0,0,0.0,0.0,0.0,2,1,1,0,0,1,0,1,0,0,0,0,17,42.0,15.0,0,0,0,0.0,23_24,33,27/04/2024,0,"[{'asistencias_90': [6, 0.33]}]"
Carlos Dominguez,DF,celta,alaves,1,90,0,0,0.0,0.0,0,0,0,77,89.6,0,0,0.0,0.0,0.0,0,1,2,0,1,1,1,0,3,0,0,0,63,240.0,109.0,0,1,1,50.0,23_24,33,27/04/2024,0,[]
Óscar Mingueza,DF,celta,alaves,1,90,0,0,0.0,0.0,0,0,0,98,80.6,1,0,0.0,0.0,0.0,-1,1,1,0,1,1,0,1,2,2,2,0,74,359.0,177.0,3,1,0,100.0,23_24,33,27/04/2024,0,"[{'pases_ultimo_tercio': [9, 176.0]}, {'rojas': [8, 1.0]}]"
