player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Óscar Trejo,ARG,36,DT,8,rayo,almeria,1,90,0,0,0.1,0.4,2,2,0,74,87.8,1,0,0.0,0.0,0.0,6,1,3,0,2,2,0,2,0,5,4,1,58,199.0,89.0,3,1,1,50.0,23_24,34,05/05/2024,1,"[{'rojas': [10, 1.0]}]"
Radamel Falcao,COL,38,DT,9,rayo,almeria,1,58,0,0,0.3,0.0,5,3,2,10,90.0,1,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,1,0,1,14,79.0,50.0,1,1,0,100.0,23_24,34,05/05/2024,1,[]
Randy Nteka,ANG,26,DT,11,rayo,almeria,0,32,0,0,0.0,0.0,0,0,0,13,76.9,0,0,0.0,0.0,0.0,1,3,2,0,1,0,0,0,0,1,0,1,18,67.0,20.0,1,0,1,0.0,23_24,34,05/05/2024,1,[]
Álvaro García,ESP,31,MC,18,rayo,almeria,1,79,0,0,0.2,0.1,2,0,2,32,53.1,0,0,0.0,0.0,0.0,4,1,0,0,0,0,0,0,0,2,1,1,24,88.0,19.0,2,0,2,0.0,23_24,34,05/05/2024,1,"[{'centros_area': [7, 21.0]}, {'rojas': [10, 1.0]}]"
Bebé,CPV,33,MC,10,rayo,almeria,0,11,0,0,0.1,0.0,4,3,1,13,69.2,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,4,2,2,9,81.0,58.0,2,0,0,0.0,23_24,34,05/05/2024,1,[]
Unai López,ESP,28,MC,17,rayo,almeria,1,65,0,0,0.0,0.2,0,0,0,73,90.4,0,0,0.0,0.0,0.0,5,2,1,0,0,2,0,2,1,0,0,0,57,359.0,235.0,7,1,0,100.0,23_24,34,05/05/2024,1,"[{'rojas': [8, 1.0]}]"
Raúl de Tomás,ESP,29,DT,22,rayo,almeria,0,25,0,0,0.2,0.1,2,0,2,9,77.8,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,8,18.0,5.0,0,0,0,0.0,23_24,34,05/05/2024,1,[]
Óscar Valentín,ESP,29,MC,23,rayo,almeria,1,90,0,0,0.3,0.0,2,1,1,43,90.7,0,0,0.0,0.0,0.0,5,7,5,0,2,1,0,1,1,0,0,0,26,138.0,58.0,1,0,4,0.0,23_24,34,05/05/2024,1,"[{'entradas': [1, 107.0]}, {'rojas': [10, 1.0]}, {'faltas_cometidas': [2, 77.0]}]"
Isaac Palazón Camacho,ESP,29,MC,7,rayo,almeria,1,58,0,0,0.0,0.1,1,1,0,39,76.9,0,0,0.0,0.0,0.0,3,1,1,0,1,2,1,1,0,2,1,1,29,140.0,47.0,0,0,0,0.0,23_24,34,05/05/2024,1,"[{'tiros_puerta': [10, 31.0]}, {'faltas_recibidas': [3, 76.0]}]"
Jorge de Frutos,ESP,27,MC,19,rayo,almeria,0,32,0,0,0.0,0.0,1,1,0,21,71.4,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,1,1,0,17,98.0,73.0,3,0,0,0.0,23_24,34,05/05/2024,1,"[{'apariciones_suplente': [6, 22.0]}]"
Pep Chavarría,ESP,26,DF,3,rayo,almeria,1,90,0,0,0.1,0.0,1,0,1,100,77.0,0,0,0.0,0.0,0.0,1,1,1,0,1,1,0,1,0,1,0,1,63,237.0,76.0,1,3,2,60.0,23_24,34,05/05/2024,1,"[{'rojas': [10, 1.0]}]"
Florian Lejeune,FRA,32,DF,24,rayo,almeria,1,90,0,0,0.1,0.1,4,3,1,79,83.5,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,0,0,0,60,357.0,239.0,2,4,2,66.7,23_24,34,05/05/2024,1,"[{'despejes': [3, 155.0]}, {'minutos': [5, 3327.0]}]"
Abdul Mumin,GHA,25,DF,16,rayo,almeria,1,90,0,0,0.0,0.0,1,1,0,63,81.0,1,0,0.0,0.0,0.0,3,2,2,0,0,0,0,0,2,0,0,0,41,202.0,106.0,1,4,0,100.0,23_24,34,05/05/2024,1,"[{'rojas': [10, 1.0]}]"
Iván Balliu,ALB,32,DF,20,rayo,almeria,1,79,0,0,0.0,0.0,1,1,0,68,85.3,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,2,0,0,0,40,267.0,179.0,6,0,0,0.0,23_24,34,05/05/2024,1,[]
Crespo,POR,27,DF,15,rayo,almeria,0,11,0,0,0.0,0.0,1,1,0,9,77.8,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,1,1,11,78.0,29.0,0,1,0,100.0,23_24,34,05/05/2024,1,[]
Stole Dimitrievski,MKD,30,PT,1,rayo,almeria,1,90,0,0,0.0,0.0,0,0,0,31,87.1,0,0,1.0,50.0,0.5,5,0,0,0,0,0,0,0,0,0,0,0,15,67.0,17.0,0,0,0,0.0,23_24,34,05/05/2024,1,"[{'minutos': [4, 3330.0]}, {'porterias_cero': [4, 13.0]}, {'paradas': [6, 104.0]}]"
Anthony Lozano,HON,31,DT,15,almeria,rayo,1,74,1,0,0.2,0.0,1,0,1,12,58.3,0,0,0.0,0.0,0.0,9,2,1,0,0,1,0,1,1,2,0,2,15,75.0,53.0,2,2,4,33.3,23_24,34,05/05/2024,0,[]
Luis Javier Suárez,COL,26,DT,9,almeria,rayo,0,16,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0.0,0.0,0.0,1,1,1,0,1,1,0,1,1,1,0,1,2,5.0,0.0,0,0,2,0.0,23_24,34,05/05/2024,0,[]
Adri Embarba,ESP,31,DT,10,almeria,rayo,1,90,0,1,0.0,0.3,2,2,0,25,68.0,0,0,0.0,0.0,0.0,13,4,3,0,1,3,1,2,1,4,2,2,24,120.0,52.0,1,0,3,0.0,23_24,34,05/05/2024,0,"[{'corners': [6, 94.0]}]"
Léo Baptistão,BRA,31,DT,12,almeria,rayo,1,71,0,0,0.1,0.0,2,1,1,30,66.7,0,0,0.0,0.0,0.0,5,2,1,0,0,1,0,1,1,3,2,1,14,46.0,28.0,0,2,2,50.0,23_24,34,05/05/2024,0,"[{'rojas': [10, 1.0]}]"
Alejandro Pozo Pozo,ESP,25,DT,17,almeria,rayo,0,19,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0,0,0,0.0,23_24,34,05/05/2024,0,[]
Sergio Arribas,ESP,22,MC,19,almeria,rayo,1,81,0,0,0.0,0.1,0,0,0,29,86.2,0,0,0.0,0.0,0.0,6,0,1,0,1,0,0,0,0,1,1,0,21,132.0,81.0,2,0,0,0.0,23_24,34,05/05/2024,0,[]
Iddrisu Baba,GHA,28,MC,4,almeria,rayo,0,9,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,23_24,34,05/05/2024,0,[]
Marcos Peña,ESP,19,MC,26,almeria,rayo,1,90,0,0,0.0,0.0,0,0,0,26,76.9,1,0,0.0,0.0,0.0,0,7,2,0,0,1,1,0,5,0,0,0,17,86.0,46.0,0,1,1,50.0,23_24,34,05/05/2024,0,[]
Édgar González,ESP,27,MC,3,almeria,rayo,1,82,0,0,0.0,0.0,0,0,0,31,74.2,0,0,0.0,0.0,0.0,8,2,1,0,1,3,2,1,2,1,0,1,13,64.0,14.0,1,1,0,100.0,23_24,34,05/05/2024,0,"[{'despejes': [9, 130.0]}, {'rojas': [10, 1.0]}]"
Gonzalo Melero,ESP,30,MC,11,almeria,rayo,0,8,0,0,0.0,0.0,0,0,0,2,0.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,2,7.0,0.0,0,1,0,100.0,23_24,34,05/05/2024,0,[]
Álex Centelles,ESP,26,DF,20,almeria,rayo,1,90,0,0,0.0,0.0,0,0,0,31,74.2,0,0,0.0,0.0,0.0,8,0,2,0,2,0,0,0,7,0,0,0,15,33.0,18.0,0,1,1,50.0,23_24,34,05/05/2024,0,[]
Chumi,ESP,25,DF,21,almeria,rayo,1,90,0,0,0.0,0.0,1,1,0,29,62.1,0,0,0.0,0.0,0.0,9,0,1,0,1,1,0,1,10,0,0,0,23,152.0,87.0,1,1,0,100.0,23_24,34,05/05/2024,0,[]
César Montes,MEX,27,DF,22,almeria,rayo,1,90,0,0,0.0,0.0,0,0,0,29,65.5,1,0,0.0,0.0,0.0,8,2,2,0,1,0,0,0,10,1,1,0,13,95.0,66.0,0,2,0,100.0,23_24,34,05/05/2024,0,[]
