player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Joselu,DT,14,real madrid,cadiz,1,90,1,0,1.4,0.0,4,3,1,13,69.2,0,0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,0,0,0,8,20.0,4.0,0,0,2,0.0,23_24,34,04/05/2024,1,[]
Brahim Díaz,DT,21,real madrid,cadiz,1,72,1,1,0.1,0.2,2,1,1,50,88.0,0,0,0.0,0.0,0.0,19,0,0,0,0,1,0,1,0,13,6,6,50,205.0,122.0,6,0,0,0.0,23_24,34,04/05/2024,1,"[{'asistencias_90': [5, 0.35]}]"
Vinicius Júnior,DT,7,real madrid,cadiz,0,18,0,0,0.1,0.1,1,0,1,14,78.6,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,1,0,1,14,148.0,90.0,5,0,0,0.0,23_24,34,04/05/2024,1,"[{'goles': [8, 15.0]}, {'goles_90': [4, 0.72]}, {'tiros_puerta': [2, 38.0]}, {'regates_exitosos': [6, 65.0]}]"
Arda Güler,DT,24,real madrid,cadiz,1,65,0,0,0.1,0.0,2,2,0,40,80.0,0,0,0.0,0.0,0.0,6,1,1,0,0,0,0,0,0,7,3,3,33,159.0,76.0,1,0,0,0.0,23_24,34,04/05/2024,1,"[{'asistencias': [4, 5.0]}, {'asistencias_90': [8, 0.4]}, {'pases_clave': [2, 40.0]}, {'corners': [7, 48.0]}]"
Jude Bellingham,MC,5,real madrid,cadiz,0,25,1,0,0.2,0.3,1,0,1,35,94.3,0,0,0.0,0.0,0.0,11,2,1,0,1,2,0,2,1,2,1,1,27,128.0,58.0,1,0,0,0.0,23_24,34,04/05/2024,1,"[{'goles': [3, 19.0]}, {'goles_90': [3, 0.74]}, {'tiros_puerta': [8, 34.0]}, {'goles_por_tiro': [2, 0.29]}, {'rojas': [10, 1.0]}, {'faltas_recibidas': [5, 72.0]}]"
Dani Ceballos,MC,19,real madrid,cadiz,1,90,0,0,0.1,0.1,2,1,1,116,90.5,0,0,0.0,0.0,0.0,6,0,2,0,2,1,0,1,0,1,1,0,92,434.0,204.0,1,0,0,0.0,23_24,34,04/05/2024,1,"[{'pases_completados_pct': [2, 94.3]}]"
Eduardo Camavinga,MC,12,real madrid,cadiz,1,79,0,0,0.0,0.1,1,1,0,81,92.6,0,0,0.0,0.0,0.0,10,5,2,0,1,1,0,1,1,4,3,0,60,269.0,151.0,1,0,1,0.0,23_24,34,04/05/2024,1,"[{'pases_completados_pct': [10, 90.7]}, {'entradas': [8, 76.0]}, {'faltas_recibidas': [8, 68.0]}]"
Federico Valverde,MC,15,real madrid,cadiz,0,11,0,0,0.0,0.0,0,0,0,14,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,0,0,0,7,40.0,28.0,1,0,0,0.0,23_24,34,04/05/2024,1,"[{'pases_ultimo_tercio': [6, 229.0]}, {'intercepciones': [8, 43.0]}]"
Luka Modrić,MC,10,real madrid,cadiz,1,90,0,1,0.1,0.2,2,1,1,134,92.5,0,0,0.0,0.0,0.0,10,1,0,0,0,1,0,1,0,2,0,1,94,429.0,214.0,5,0,0,0.0,23_24,34,04/05/2024,1,"[{'asistencias_90': [9, 0.32]}, {'pases_clave': [8, 55.0]}]"
Fran Garcia,DF,20,real madrid,cadiz,1,90,0,0,0.0,0.2,1,1,0,92,88.0,0,0,0.0,0.0,0.0,10,1,2,0,1,1,0,1,3,1,1,0,52,276.0,165.0,6,0,0,0.0,23_24,34,04/05/2024,1,"[{'asistencias_90': [9, 0.32]}]"
