player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Artem Dovbyk,UKR,26,DT,9,girona,barcelona,1,90,1,1,1.0,0.2,2,1,1,7,71.4,0,0,0.0,0.0,0.0,14,1,0,0,0,0,0,0,0,1,0,1,11,27.0,13.0,1,0,2,0.0,23_24,34,04/05/2024,1,"[{'goles': [1, 24.0]}, {'goles_90': [1, 0.83]}, {'asistencias': [7, 8.0]}, {'penaltis_marcados': [1, 7.0]}, {'tiros_puerta': [4, 36.0]}]"
Sávio,BRA,20,DT,16,girona,barcelona,1,85,0,1,0.0,0.1,0,0,0,18,83.3,0,0,0.0,0.0,0.0,10,0,0,0,0,1,0,1,0,10,3,5,25,271.0,131.0,5,0,0,0.0,23_24,34,04/05/2024,1,"[{'asistencias': [3, 10.0]}, {'regates_exitosos': [1, 104.0]}, {'faltas_recibidas': [9, 66.0]}]"
Valery Fernández,ESP,24,DT,11,girona,barcelona,0,5,0,0,0.0,0.2,0,0,0,3,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,2.0,0.0,0,0,0,0.0,23_24,34,04/05/2024,1,"[{'apariciones_suplente': [2, 25.0]}]"
Viktor Tsyhankov,UKR,26,DT,8,girona,barcelona,1,64,0,0,0.1,0.0,1,1,0,18,83.3,0,0,0.0,0.0,0.0,2,1,0,0,0,2,0,2,0,1,0,1,20,81.0,26.0,0,0,0,0.0,23_24,34,04/05/2024,1,"[{'corners': [10, 80.0]}]"
Yan Couto,BRA,21,DT,20,girona,barcelona,0,26,0,0,0.0,0.0,0,0,0,10,80.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,6,8.0,1.0,0,0,0,0.0,23_24,34,04/05/2024,1,"[{'asistencias': [7, 8.0]}, {'asistencias_90': [9, 0.32]}]"
Iván Martín,ESP,25,MC,23,girona,barcelona,1,90,0,1,0.0,0.5,0,0,0,40,95.0,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,2,1,1,34,221.0,125.0,4,0,0,0.0,23_24,34,04/05/2024,1,"[{'goles_por_tiro': [7, 0.26]}, {'pases_completados_pct': [9, 91.3]}]"
Aleix García,ESP,26,MC,14,girona,barcelona,1,90,0,0,0.0,0.0,0,0,0,48,79.2,0,0,0.0,0.0,0.0,1,0,0,0,0,2,1,1,0,0,0,0,35,201.0,112.0,2,0,3,0.0,23_24,34,04/05/2024,1,"[{'pases_clave': [7, 57.0]}, {'pases_ultimo_tercio': [2, 306.0]}, {'corners': [3, 122.0]}, {'rojas': [10, 1.0]}]"
Yangel Herrera,VEN,26,MC,21,girona,barcelona,1,90,0,0,0.5,0.0,2,0,2,51,88.2,0,0,0.0,0.0,0.0,5,5,4,0,1,0,0,0,3,2,1,1,49,203.0,82.0,1,1,0,100.0,23_24,34,04/05/2024,1,"[{'faltas_cometidas': [6, 65.0]}]"
Miguel Gutiérrez,ESP,22,DF,3,girona,barcelona,1,90,1,0,0.2,0.0,2,1,1,38,78.9,0,0,0.0,0.0,0.0,7,2,3,0,2,0,0,0,1,1,1,0,33,143.0,87.0,2,0,0,0.0,23_24,34,04/05/2024,1,"[{'centros_area': [10, 19.0]}]"
Daley Blind,NED,34,DF,17,girona,barcelona,1,90,0,0,0.0,0.0,0,0,0,48,81.3,0,0,0.0,0.0,0.0,1,1,0,0,0,2,1,1,3,0,0,0,39,132.0,59.0,0,0,0,0.0,23_24,34,04/05/2024,1,"[{'pases_ultimo_tercio': [5, 256.0]}]"
David López,ESP,34,DF,5,girona,barcelona,1,64,0,0,0.0,0.0,0,0,0,34,94.1,0,0,0.0,0.0,0.0,1,0,1,0,1,2,1,1,1,0,0,0,27,113.0,40.0,0,0,0,0.0,23_24,34,04/05/2024,1,"[{'pases_completados_pct': [3, 92.8]}]"
Portu,ESP,31,DF,24,girona,barcelona,0,26,2,1,0.1,0.9,2,0,2,10,70.0,0,0,0.0,0.0,0.0,19,0,0,0,0,0,0,0,0,0,0,0,7,70.0,56.0,3,1,1,50.0,23_24,34,04/05/2024,1,"[{'asistencias_90': [5, 0.35]}, {'goles_por_tiro': [1, 0.32]}, {'apariciones_suplente': [2, 25.0]}]"
Eric García,ESP,23,DF,25,girona,barcelona,1,90,0,0,0.0,0.0,0,0,0,55,81.8,0,0,0.0,0.0,0.0,1,3,3,0,1,1,1,0,6,1,0,1,34,110.0,61.0,0,1,0,100.0,23_24,34,04/05/2024,1,"[{'goles_por_tiro': [2, 0.29]}, {'pases_ultimo_tercio': [7, 227.0]}]"
Paulo Gazzaniga,ARG,32,PT,13,girona,barcelona,1,90,0,0,0.0,0.0,0,0,0,36,58.3,0,0,2.0,85.7,2.0,5,0,0,0,0,0,0,0,0,0,0,0,22,95.0,24.0,0,0,0,0.0,23_24,34,04/05/2024,1,"[{'minutos': [1, 3420.0]}, {'porterias_cero': [7, 12.0]}, {'paradas': [2, 121.0]}, {'save_pct': [5, 75.6]}]"
Robert Lewandowski,POL,35,DT,9,barcelona,girona,1,78,1,0,0.8,0.0,0,0,0,16,62.5,0,0,0.0,0.0,0.0,6,0,0,0,0,1,0,1,0,2,1,1,14,70.0,10.0,0,2,1,66.7,23_24,34,04/05/2024,0,"[{'goles': [3, 19.0]}, {'goles_90': [8, 0.62]}, {'asistencias': [7, 8.0]}, {'penaltis_marcados': [3, 4.0]}, {'tiros_puerta': [3, 37.0]}]"
Ferrán Torres,ESP,24,DT,7,barcelona,girona,0,12,0,0,0.0,0.0,0,0,0,3,100.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,5,8.0,4.0,0,0,0,0.0,23_24,34,04/05/2024,0,"[{'goles_por_tiro': [9, 0.21]}, {'rojas': [8, 1.0]}]"
Fermin López,ESP,20,DT,16,barcelona,girona,1,68,0,0,0.7,0.1,2,2,0,29,93.1,0,0,0.0,0.0,0.0,1,2,0,0,0,1,0,1,0,0,0,0,14,56.0,27.0,0,0,1,0.0,23_24,34,04/05/2024,0,"[{'asistencias_90': [3, 0.36]}, {'rojas': [8, 1.0]}]"
Raphinha,BRA,27,DT,11,barcelona,girona,0,22,0,0,0.0,0.1,1,1,0,8,75.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,3,11.0,5.0,0,0,0,0.0,23_24,34,04/05/2024,0,"[{'asistencias': [5, 9.0]}, {'asistencias_90': [1, 0.59]}, {'rojas': [10, 1.0]}]"
Lamine Yamal,ESP,16,DT,27,barcelona,girona,1,83,0,1,0.1,0.8,1,0,1,48,87.5,0,0,0.0,0.0,0.0,13,2,1,0,1,0,0,0,0,5,2,2,39,273.0,214.0,6,0,0,0.0,23_24,34,04/05/2024,0,"[{'regates_exitosos': [5, 70.0]}]"
João Félix,POR,24,DT,14,barcelona,girona,0,7,0,0,0.0,0.0,0,0,0,4,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,6,35.0,21.0,1,0,0,0.0,23_24,34,04/05/2024,0,[]
Sergi Roberto,ESP,32,MC,20,barcelona,girona,1,78,0,0,0.1,0.1,1,1,0,44,90.9,1,0,0.0,0.0,0.0,-4,3,2,0,1,1,0,1,0,0,0,0,28,85.0,23.0,0,0,0,0.0,23_24,34,04/05/2024,0,[]
Oriol Romeu,ESP,32,MC,18,barcelona,girona,0,12,0,0,0.0,0.0,0,0,0,16,87.5,0,0,0.0,0.0,0.0,3,2,0,0,0,0,0,0,0,0,0,0,11,47.0,29.0,1,0,0,0.0,23_24,34,04/05/2024,0,[]
Andreas Christensen,DEN,28,MC,15,barcelona,girona,1,68,1,0,0.2,0.0,2,0,2,33,90.9,0,0,0.0,0.0,0.0,11,4,5,0,1,0,0,0,1,0,0,0,20,74.0,47.0,2,0,0,0.0,23_24,34,04/05/2024,0,"[{'pases_completados_pct': [1, 94.3]}]"
Pedri,ESP,21,MC,8,barcelona,girona,0,22,0,0,0.0,0.0,0,0,0,20,75.0,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,15,79.0,44.0,0,0,1,0.0,23_24,34,04/05/2024,0,"[{'pases_clave': [3, 70.0]}, {'pases_ultimo_tercio': [1, 331.0]}]"
İlkay Gündoğan,GER,33,MC,22,barcelona,girona,1,90,0,0,0.4,0.2,4,2,2,52,90.4,0,0,0.0,0.0,0.0,5,1,0,0,0,0,0,0,0,2,1,1,34,158.0,48.0,1,1,0,100.0,23_24,34,04/05/2024,0,"[{'asistencias': [5, 9.0]}, {'pases_clave': [1, 97.0]}, {'pases_ultimo_tercio': [10, 188.0]}, {'corners': [1, 140.0]}]"
João Cancelo,POR,29,DF,2,barcelona,girona,1,90,0,0,0.1,0.3,3,2,1,65,89.2,0,0,0.0,0.0,0.0,0,3,2,0,0,3,0,3,1,5,1,2,51,313.0,175.0,4,0,0,0.0,23_24,34,04/05/2024,0,"[{'regates_exitosos': [7, 61.0]}]"
Pau Cubarsí,ESP,17,DF,33,barcelona,girona,1,90,0,0,0.0,0.0,0,0,0,88,88.6,0,0,0.0,0.0,0.0,-1,0,0,0,0,1,1,0,0,0,0,0,66,337.0,150.0,1,1,0,100.0,23_24,34,04/05/2024,0,"[{'pases_completados_pct': [7, 91.5]}]"
Ronald Araújo,URU,25,DF,4,barcelona,girona,1,90,0,0,0.1,0.0,1,1,0,66,89.4,1,0,0.0,0.0,0.0,-3,1,2,0,1,1,1,0,2,0,0,0,48,242.0,113.0,0,2,0,100.0,23_24,34,04/05/2024,0,"[{'pases_completados_pct': [5, 92.5]}]"
Jules Koundé,FRA,25,DF,23,barcelona,girona,1,90,0,0,0.0,0.0,0,0,0,101,83.2,1,0,0.0,0.0,0.0,-4,2,3,0,1,1,1,0,0,0,0,0,79,378.0,228.0,1,0,0,0.0,23_24,34,04/05/2024,0,"[{'pases_ultimo_tercio': [4, 267.0]}]"
MarcAndré ter Stegen,GER,32,PT,1,barcelona,girona,1,90,0,0,0.0,0.0,0,0,0,28,89.3,0,0,4.0,33.3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,20,90.0,44.0,0,0,0,0.0,23_24,34,04/05/2024,0,[]
