player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Raúl,ESP,23,DT,23,osasuna,betis,1,65,0,0,0.1,0.0,1,1,0,10,70.0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,4,25.0,14.0,2,3,2,60.0,23_24,34,05/05/2024,1,"[{'apariciones_suplente': [6, 22.0]}]"
José Arnaiz,ESP,29,DT,20,osasuna,betis,0,25,0,0,0.0,0.0,0,0,0,13,76.9,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,1,0,8,45.0,17.0,1,0,1,0.0,23_24,34,05/05/2024,1,[]
Rubén Peña,ESP,32,MC,15,osasuna,betis,1,90,0,0,0.0,0.1,1,1,0,28,57.1,0,0,0.0,0.0,0.0,0,2,0,0,0,1,0,1,1,2,2,0,18,89.0,59.0,2,0,1,0.0,23_24,34,05/05/2024,1,[]
Rubén García,ESP,30,MC,14,osasuna,betis,1,90,0,0,0.1,0.3,3,2,1,45,60.0,0,0,0.0,0.0,0.0,5,2,1,0,0,0,0,0,1,3,2,0,26,127.0,49.0,1,0,2,0.0,23_24,34,05/05/2024,1,"[{'asistencias': [8, 4.0]}, {'asistencias_90': [5, 0.45]}, {'corners': [9, 32.0]}]"
Pablo Ibáñez,ESP,25,MC,19,osasuna,betis,1,65,0,0,0.0,0.0,1,0,1,25,76.0,0,0,0.0,0.0,0.0,0,0,2,0,2,3,0,3,0,3,0,3,15,92.0,46.0,1,3,4,42.9,23_24,34,05/05/2024,1,"[{'apariciones_suplente': [10, 21.0]}]"
Lucas Torró,ESP,29,MC,6,osasuna,betis,0,25,0,0,0.1,0.0,1,1,0,20,80.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,13,85.0,38.0,0,2,1,66.7,23_24,34,05/05/2024,1,"[{'faltas_cometidas': [1, 75.0]}]"
Iker Muñoz,ESP,21,MC,34,osasuna,betis,1,81,0,0,0.0,0.0,1,1,0,43,72.1,0,0,0.0,0.0,0.0,4,1,1,0,0,2,1,1,3,2,0,1,24,83.0,49.0,0,5,2,71.4,23_24,34,05/05/2024,1,[]
Xabier Huarte Armendáriz,ESP,23,MC,29,osasuna,betis,0,9,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.0,0.0,0,0,0,0.0,23_24,34,05/05/2024,1,[]
Jon Moncayola,ESP,25,MC,7,osasuna,betis,1,25,0,0,0.0,0.0,0,0,0,9,77.8,0,1,0.0,0.0,0.0,-2,0,0,0,0,0,0,0,0,0,0,0,3,6.0,0.0,0,0,0,0.0,23_24,34,05/05/2024,1,"[{'rojas': [10, 1.0]}]"
Johan Mojica,COL,31,DF,22,osasuna,betis,1,90,0,0,0.0,0.2,1,1,0,56,75.0,0,0,0.0,0.0,0.0,3,0,0,0,0,1,0,1,1,3,2,1,18,248.0,137.0,3,0,0,0.0,23_24,34,05/05/2024,1,"[{'centros_area': [3, 25.0]}]"
