player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Hugo Duro,DT,valencia,alaves,1,90,0,0,0.1,0.2,1,0,1,12,58.3,1,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,11,71.0,14.0,1,2,2,50.0,23_24,34,05/05/2024,1,"[{'faltas_recibidas': [1, 95.0]}]"
Domingos André Ribeiro Almeida,DT,valencia,alaves,1,45,0,0,0.1,0.1,1,1,0,14,78.6,0,0,0.0,0.0,0.0,3,3,2,0,0,2,1,1,1,1,0,1,7,74.0,62.0,2,0,0,0.0,23_24,34,05/05/2024,1,[]
Sergi Canós,MC,valencia,alaves,0,45,0,0,0.3,0.0,3,3,0,25,68.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,1,0,1,16,67.0,40.0,2,0,2,0.0,23_24,34,05/05/2024,1,[]
Diego López,DT,valencia,alaves,1,90,0,0,0.3,0.3,4,4,0,23,60.9,0,0,0.0,0.0,0.0,4,1,0,0,0,2,1,1,1,2,1,1,18,101.0,39.0,1,2,3,40.0,23_24,34,05/05/2024,1,[]
Javier Guerra,MC,valencia,alaves,1,90,0,0,0.0,0.0,1,1,0,41,68.3,0,0,0.0,0.0,0.0,3,2,3,0,3,1,1,0,0,3,1,2,26,190.0,31.0,0,3,1,75.0,23_24,34,05/05/2024,1,"[{'rojas': [10, 1.0]}]"
José Luis García Vayá,MC,valencia,alaves,1,90,0,0,0.1,0.0,1,1,0,65,72.3,0,0,0.0,0.0,0.0,4,0,1,0,1,0,0,0,0,3,2,1,36,155.0,74.0,1,3,1,75.0,23_24,34,05/05/2024,1,"[{'penaltis_marcados': [1, 7.0]}, {'pases_clave': [8, 55.0]}, {'pases_ultimo_tercio': [8, 216.0]}, {'corners': [4, 108.0]}, {'entradas': [6, 78.0]}, {'intercepciones': [3, 49.0]}, {'minutos': [6, 3302.0]}]"
Peter González,MC,valencia,alaves,1,75,0,0,0.1,0.3,1,1,0,24,62.5,0,0,0.0,0.0,0.0,9,1,2,0,2,1,0,1,0,4,1,2,21,119.0,39.0,1,0,0,0.0,23_24,34,05/05/2024,1,[]
Roman Yaremchuk,MC,valencia,alaves,0,15,0,0,0.1,0.0,1,1,0,9,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,4,38.0,20.0,2,2,1,66.7,23_24,34,05/05/2024,1,[]
Jesus Vazquez,DF,valencia,alaves,1,65,0,0,0.0,0.0,0,0,0,26,80.8,0,0,0.0,0.0,0.0,6,3,1,0,0,1,1,0,4,3,1,2,16,204.0,45.0,2,1,2,33.3,23_24,34,05/05/2024,1,[]
Cenk Özkacar,DF,valencia,alaves,0,25,0,0,0.0,0.0,0,0,0,18,83.3,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,13,100.0,89.0,2,2,1,66.7,23_24,34,05/05/2024,1,[]
Yarek Gasiorowski,DF,valencia,alaves,1,90,0,0,0.0,0.0,0,0,0,56,80.4,0,0,0.0,0.0,0.0,4,2,1,0,1,1,0,1,8,0,0,0,34,141.0,76.0,0,2,0,100.0,23_24,34,05/05/2024,1,[]
Cristhian Mosquera,DF,valencia,alaves,1,90,0,0,0.0,0.0,0,0,0,69,94.2,0,0,0.0,0.0,0.0,6,0,0,0,0,3,2,1,3,1,1,0,52,330.0,260.0,1,0,1,0.0,23_24,34,05/05/2024,1,"[{'despejes': [7, 137.0]}]"
Thierry Correia,DF,valencia,alaves,1,75,0,0,0.0,0.0,0,0,0,53,83.0,0,0,0.0,0.0,0.0,5,1,0,0,0,2,0,2,0,5,2,3,31,129.0,74.0,0,0,2,0.0,23_24,34,05/05/2024,1,"[{'rojas': [10, 1.0]}]"
Dimitri Foulquier,DF,valencia,alaves,0,15,0,0,0.0,0.1,0,0,0,17,94.1,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,8,57.0,43.0,1,0,0,0.0,23_24,34,05/05/2024,1,[]
Jaume Doménech,PT,valencia,alaves,1,33,0,0,0.0,0.0,0,0,0,13,53.8,0,0,0.0,0.0,0.2,3,0,0,0,0,0,0,0,0,0,0,0,8,33.0,13.0,0,0,0,0.0,23_24,34,05/05/2024,1,[]
Cristian,PT,valencia,alaves,0,57,0,0,0.0,0.0,0,0,0,18,72.2,0,0,1.0,66.7,0.5,5,0,0,0,0,0,0,0,0,0,0,0,8,35.0,32.0,0,1,0,100.0,23_24,34,05/05/2024,1,[]
Kiké,DT,alaves,valencia,1,71,0,0,0.1,0.0,3,1,2,13,69.2,0,0,0.0,0.0,0.0,6,1,0,0,0,1,0,1,0,2,1,1,9,34.0,15.0,1,3,1,75.0,23_24,34,05/05/2024,0,"[{'goles': [9, 13.0]}, {'penaltis_marcados': [10, 3.0]}, {'rojas': [8, 1.0]}]"
Samu Omorodion,DT,alaves,valencia,0,19,0,0,0.0,0.0,0,0,0,5,60.0,1,0,0.0,0.0,0.0,0,0,1,0,1,2,1,1,1,1,1,0,7,51.0,20.0,1,1,2,33.3,23_24,34,05/05/2024,0,[]
Giuliano Simeone,DT,alaves,valencia,1,90,0,0,0.4,0.1,4,3,1,27,66.7,0,0,0.0,0.0,0.0,5,3,6,0,3,2,0,2,2,1,1,0,26,138.0,63.0,3,1,2,33.3,23_24,34,05/05/2024,0,"[{'asistencias': [8, 4.0]}]"
Carlos Vicente,DT,alaves,valencia,1,88,0,1,0.0,0.5,0,0,0,38,55.3,0,0,0.0,0.0,0.0,12,2,4,0,3,0,0,0,0,3,2,0,19,96.0,39.0,2,1,0,100.0,23_24,34,05/05/2024,0,"[{'pases_clave': [7, 63.0]}, {'centros_area': [3, 29.0]}, {'corners': [8, 85.0]}, {'faltas_recibidas': [9, 62.0]}]"
Luis Rioja,DT,alaves,valencia,0,2,0,0,0.0,0.1,0,0,0,4,100.0,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,1,1,1,0,4,74.0,55.0,1,0,0,0.0,23_24,34,05/05/2024,0,"[{'penaltis_marcados': [7, 3.0]}, {'centros_area': [10, 19.0]}]"
Jon Guridi,MC,alaves,valencia,1,88,0,0,0.0,0.0,1,1,0,21,61.9,0,0,0.0,0.0,0.0,4,3,2,0,1,0,0,0,1,0,0,0,13,53.0,13.0,0,1,2,33.3,23_24,34,05/05/2024,0,[]
Alex Sola,MC,alaves,valencia,0,2,0,0,0.0,0.0,0,0,0,3,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,1,1,50.0,23_24,34,05/05/2024,0,[]
Antonio Blanco,MC,alaves,valencia,1,71,0,0,0.0,0.1,1,1,0,31,83.9,1,0,0.0,0.0,0.0,6,2,1,0,0,0,0,0,1,0,0,0,14,36.0,5.0,0,0,0,0.0,23_24,34,05/05/2024,0,"[{'rojas': [10, 1.0]}]"
Ander Guevara,MC,alaves,valencia,0,19,0,0,0.0,0.0,0,0,0,7,71.4,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,5,25.0,8.0,0,0,1,0.0,23_24,34,05/05/2024,0,[]
Carlos Benavídez,MC,alaves,valencia,1,90,0,0,0.1,0.0,2,2,0,35,68.6,0,0,0.0,0.0,0.0,6,7,3,0,0,2,0,2,1,0,0,0,20,82.0,39.0,0,3,1,75.0,23_24,34,05/05/2024,0,[]
Javi López,DF,alaves,valencia,1,90,1,0,0.1,0.0,1,0,1,39,71.8,0,0,0.0,0.0,0.0,16,1,0,0,0,1,0,1,5,4,2,2,27,132.0,51.0,1,1,0,100.0,23_24,34,05/05/2024,0,[]
Nahuel Tenaglia,DF,alaves,valencia,1,90,0,0,0.0,0.0,1,1,0,33,66.7,1,0,0.0,0.0,0.0,5,3,3,0,1,1,1,0,2,1,0,0,16,109.0,75.0,1,2,1,66.7,23_24,34,05/05/2024,0,"[{'entradas': [3, 96.0]}, {'intercepciones': [7, 47.0]}, {'amarillas': [6, 11.0]}]"
Abdel Abqar,DF,alaves,valencia,1,90,0,0,0.0,0.0,0,0,0,23,56.5,0,0,0.0,0.0,0.0,8,0,0,0,0,1,1,0,5,0,0,0,11,77.0,51.0,1,1,3,25.0,23_24,34,05/05/2024,0,"[{'amarillas': [2, 13.0]}]"
Andoni Gorosabel,DF,alaves,valencia,1,53,0,0,0.0,0.0,1,1,0,24,91.7,0,0,0.0,0.0,0.0,3,2,2,0,0,2,1,1,1,0,0,0,11,50.0,14.0,1,1,4,20.0,23_24,34,05/05/2024,0,[]
Rafa Marín,DF,alaves,valencia,0,37,0,0,0.0,0.0,0,0,0,14,78.6,0,0,0.0,0.0,0.0,2,0,0,0,0,1,1,0,2,0,0,0,7,22.0,1.0,0,0,0,0.0,23_24,34,05/05/2024,0,"[{'despejes': [10, 129.0]}]"
Antonio Sivera,PT,alaves,valencia,1,90,0,0,0.0,0.0,0,0,0,33,57.6,0,0,0.0,100.0,0.1,10,0,0,0,0,0,0,0,1,0,0,0,10,65.0,50.0,0,0,0,0.0,23_24,34,05/05/2024,0,"[{'porterias_cero': [8, 10.0]}, {'save_pct': [5, 75.6]}]"
