player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Kiké,ESP,34,DT,15,alaves,girona,1,72,0,0,0.6,0.0,3,2,1,11,81.8,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,2,0,2,9,73.0,40.0,0,3,2,60.0,23_24,35,10/05/2024,1,"[{'goles': [9, 13.0]}, {'penaltis_marcados': [10, 3.0]}, {'rojas': [8, 1.0]}]"
Joaquín Panichelli,ARG,21,DT,29,alaves,girona,0,18,0,0,0.0,0.0,0,0,0,3,66.7,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,2,23.0,20.0,1,0,0,0.0,23_24,35,10/05/2024,1,[]
Giuliano Simeone,ARG,21,DT,20,alaves,girona,1,72,0,1,0.0,0.3,0,0,0,21,66.7,0,0,0.0,0.0,0.0,8,0,1,0,1,0,0,0,1,2,0,2,21,174.0,99.0,5,1,0,100.0,23_24,35,10/05/2024,1,"[{'asistencias': [8, 4.0]}]"
Alex Sola,ESP,24,DT,7,alaves,girona,0,18,0,0,0.0,0.0,1,0,1,10,60.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,0,2,8,77.0,22.0,0,0,0,0.0,23_24,35,10/05/2024,1,[]
Carlos Vicente,ESP,25,DT,22,alaves,girona,1,62,0,0,0.1,0.6,1,0,1,11,63.6,0,0,0.0,0.0,0.0,7,0,1,0,1,0,0,0,0,4,2,2,11,61.0,36.0,2,1,0,100.0,23_24,35,10/05/2024,1,"[{'pases_clave': [7, 63.0]}, {'centros_area': [3, 29.0]}, {'corners': [8, 85.0]}, {'faltas_recibidas': [9, 62.0]}]"
Luis Rioja,ESP,30,DT,11,alaves,girona,0,28,0,0,0.0,0.0,1,1,0,12,75.0,1,0,0.0,0.0,0.0,1,0,0,0,0,2,0,2,0,0,0,0,9,45.0,21.0,1,0,0,0.0,23_24,35,10/05/2024,1,"[{'penaltis_marcados': [7, 3.0]}, {'centros_area': [10, 19.0]}]"
Jon Guridi,ESP,29,MC,18,alaves,girona,1,90,2,0,0.7,0.0,4,1,3,32,90.6,0,0,0.0,0.0,0.0,17,1,0,0,0,1,0,1,0,1,1,0,24,155.0,96.0,2,2,1,66.7,23_24,35,10/05/2024,1,[]
Ander Guevara,ESP,26,MC,6,alaves,girona,1,90,0,0,0.0,0.1,0,0,0,30,83.3,0,0,0.0,0.0,0.0,2,4,2,0,0,2,1,1,1,0,0,0,20,107.0,58.0,0,0,0,0.0,23_24,35,10/05/2024,1,[]
Carlos Benavídez,URU,26,MC,23,alaves,girona,1,62,0,0,0.0,0.0,0,0,0,19,84.2,0,0,0.0,0.0,0.0,2,2,1,0,1,2,1,1,1,2,1,1,14,82.0,9.0,0,0,0,0.0,23_24,35,10/05/2024,1,[]
Ianis Hagi,ROU,25,MC,10,alaves,girona,0,28,0,1,0.0,0.4,0,0,0,17,70.6,0,0,0.0,0.0,0.0,10,1,0,0,0,1,0,1,0,1,1,0,10,45.0,15.0,1,2,0,100.0,23_24,35,10/05/2024,1,[]
Javi López,ESP,22,DF,27,alaves,girona,1,79,0,0,0.1,0.1,2,1,1,27,77.8,0,0,0.0,0.0,0.0,1,0,0,0,0,3,2,1,0,3,2,1,23,144.0,58.0,1,0,1,0.0,23_24,35,10/05/2024,1,[]
Rubén Duarte,ESP,28,DF,3,alaves,girona,0,11,0,0,0.0,0.0,0,0,0,11,36.4,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,3,7.0,2.0,0,1,0,100.0,23_24,35,10/05/2024,1,[]
Rafa Marín,ESP,21,DF,16,alaves,girona,1,90,0,0,0.2,0.0,1,0,1,38,92.1,1,0,0.0,0.0,0.0,1,5,4,0,0,1,0,1,3,0,0,0,24,91.0,40.0,0,2,1,66.7,23_24,35,10/05/2024,1,"[{'despejes': [10, 129.0]}]"
Abdel Abqar,MAR,25,DF,5,alaves,girona,1,90,0,0,0.0,0.0,0,0,0,31,90.3,0,0,0.0,0.0,0.0,2,1,1,0,1,1,1,0,3,0,0,0,24,84.0,42.0,1,1,2,33.3,23_24,35,10/05/2024,1,"[{'amarillas': [2, 13.0]}]"
Nahuel Tenaglia,ARG,28,DF,14,alaves,girona,1,90,0,0,0.0,0.1,1,1,0,38,81.6,0,0,0.0,0.0,0.0,1,2,2,0,1,0,0,0,1,0,0,0,26,136.0,67.0,1,1,1,50.0,23_24,35,10/05/2024,1,"[{'entradas': [3, 96.0]}, {'intercepciones': [7, 47.0]}, {'amarillas': [6, 11.0]}]"
Jesús Owono,EQG,23,PT,31,alaves,girona,1,90,0,0,0.0,0.0,0,0,0,28,67.9,1,0,2.0,60.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,12,49.0,31.0,0,1,0,100.0,23_24,35,10/05/2024,1,[]
Artem Dovbyk,UKR,26,DT,9,girona,alaves,1,90,0,1,0.7,0.5,2,1,1,20,75.0,0,0,0.0,0.0,0.0,7,0,1,0,1,0,0,0,0,1,0,1,18,85.0,31.0,2,0,0,0.0,23_24,35,10/05/2024,0,"[{'goles': [1, 24.0]}, {'goles_90': [1, 0.83]}, {'asistencias': [7, 8.0]}, {'penaltis_marcados': [1, 7.0]}, {'tiros_puerta': [4, 36.0]}]"
Sávio,BRA,20,DT,16,girona,alaves,1,83,0,0,0.6,0.3,2,1,1,43,83.7,0,0,0.0,0.0,0.0,5,2,3,0,1,0,0,0,0,8,3,3,37,416.0,257.0,8,0,0,0.0,23_24,35,10/05/2024,0,"[{'asistencias': [3, 10.0]}, {'regates_exitosos': [1, 104.0]}, {'faltas_recibidas': [9, 66.0]}]"
Valery Fernández,ESP,24,DT,11,girona,alaves,0,7,0,0,0.0,0.0,0,0,0,3,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,1,1,0,1,21.0,8.0,1,0,0,0.0,23_24,35,10/05/2024,0,"[{'apariciones_suplente': [2, 25.0]}]"
Viktor Tsyhankov,UKR,26,DT,8,girona,alaves,1,72,0,1,0.1,0.1,1,1,0,39,76.9,0,0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,3,1,1,26,145.0,62.0,2,0,0,0.0,23_24,35,10/05/2024,0,"[{'corners': [10, 80.0]}]"
Pablo Torre,ESP,21,MC,18,girona,alaves,0,18,0,0,0.0,0.0,0,0,0,8,50.0,0,0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,5,17.0,4.0,0,0,0,0.0,23_24,35,10/05/2024,0,"[{'apariciones_suplente': [6, 22.0]}]"
Portu,ESP,31,MC,24,girona,alaves,1,58,0,0,0.1,0.0,1,1,0,11,90.9,0,0,0.0,0.0,0.0,1,0,2,0,2,0,0,0,0,1,0,1,9,71.0,62.0,1,1,2,33.3,23_24,35,10/05/2024,0,"[{'asistencias_90': [5, 0.35]}, {'goles_por_tiro': [1, 0.32]}, {'apariciones_suplente': [2, 25.0]}]"
Yan Couto,BRA,21,DT,20,girona,alaves,0,32,0,0,0.0,0.0,1,1,0,9,66.7,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,2,0,0,0,7,82.0,29.0,2,0,0,0.0,23_24,35,10/05/2024,0,"[{'asistencias': [7, 8.0]}, {'asistencias_90': [9, 0.32]}]"
Iván Martín,ESP,25,MC,23,girona,alaves,1,72,0,0,0.1,0.0,2,1,1,52,94.2,0,0,0.0,0.0,0.0,4,0,1,0,1,0,0,0,0,1,0,1,35,220.0,136.0,5,0,0,0.0,23_24,35,10/05/2024,0,"[{'goles_por_tiro': [7, 0.26]}, {'pases_completados_pct': [9, 91.3]}]"
Aleix García,ESP,26,MC,14,girona,alaves,0,18,0,0,0.0,0.1,0,0,0,14,71.4,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,6,39.0,18.0,1,0,0,0.0,23_24,35,10/05/2024,0,"[{'pases_clave': [7, 57.0]}, {'pases_ultimo_tercio': [2, 306.0]}, {'corners': [3, 122.0]}, {'rojas': [10, 1.0]}]"
Yangel Herrera,VEN,26,MC,21,girona,alaves,1,90,1,0,0.1,0.0,2,1,1,52,84.6,1,0,0.0,0.0,0.0,8,1,2,0,1,0,0,0,3,1,0,0,24,127.0,76.0,2,1,6,14.3,23_24,35,10/05/2024,0,"[{'faltas_cometidas': [6, 65.0]}]"
Miguel Gutiérrez,ESP,22,DF,3,girona,alaves,1,58,0,0,0.1,0.7,2,2,0,27,96.3,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,1,0,0,0,23,83.0,38.0,1,0,0,0.0,23_24,35,10/05/2024,0,"[{'centros_area': [10, 19.0]}]"
