player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Alexander Sørloth,DT,11,villarreal,sevilla,1,90,2,0,0.5,0.7,4,2,2,19,84.2,0,0,0.0,0.0,0.0,15,0,0,0,0,0,0,0,0,0,0,0,18,125.0,75.0,2,3,1,75.0,23_24,35,11/05/2024,1,"[{'goles': [2, 23.0]}, {'goles_90': [1, 0.83]}, {'tiros_puerta': [4, 36.0]}, {'goles_por_tiro': [2, 0.29]}]"
Gonçalo Guedes,DT,9,villarreal,sevilla,1,81,0,0,0.7,0.3,4,3,1,28,78.6,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,2,0,2,27,137.0,81.0,4,0,0,0.0,23_24,35,11/05/2024,1,[]
José Luis Morales,DT,15,villarreal,sevilla,0,9,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,4.0,1.0,0,0,1,0.0,23_24,35,11/05/2024,1,"[{'goles_por_tiro': [5, 0.27]}, {'apariciones_suplente': [10, 21.0]}]"
Alex Baena,MC,16,villarreal,sevilla,1,90,0,1,0.8,0.8,5,3,2,62,62.9,0,0,0.0,0.0,0.0,9,1,1,0,0,0,0,0,0,0,0,0,54,305.0,148.0,4,0,0,0.0,23_24,35,11/05/2024,1,"[{'asistencias': [1, 14.0]}, {'asistencias_90': [2, 0.49]}, {'pases_clave': [3, 83.0]}, {'corners': [5, 95.0]}, {'amarillas': [7, 11.0]}, {'rojas': [10, 1.0]}]"
Daniel Parejo,MC,10,villarreal,sevilla,1,90,0,0,0.0,0.4,1,1,0,92,88.0,0,0,0.0,0.0,0.0,5,1,1,0,1,1,0,1,0,0,0,0,76,371.0,158.0,0,1,1,50.0,23_24,35,11/05/2024,1,"[{'penaltis_marcados': [7, 3.0]}]"
Francis Coquelin,MC,19,villarreal,sevilla,1,45,0,0,0.0,0.0,1,1,0,29,86.2,0,0,0.0,0.0,0.0,1,2,0,0,0,0,0,0,0,0,0,0,27,92.0,17.0,1,1,3,25.0,23_24,35,11/05/2024,1,[]
Ramón Terrats,MC,20,villarreal,sevilla,0,45,0,1,0.1,0.7,1,1,0,49,87.8,0,0,0.0,0.0,0.0,10,2,3,0,1,0,0,0,2,0,0,0,40,240.0,100.0,2,1,0,100.0,23_24,35,11/05/2024,1,[]
Ilias Akhomach,MC,27,villarreal,sevilla,1,63,0,0,0.1,0.2,2,2,0,26,73.1,0,0,0.0,0.0,0.0,4,2,0,0,0,0,0,0,0,8,3,3,32,179.0,132.0,3,0,0,0.0,23_24,35,11/05/2024,1,"[{'regates_exitosos': [9, 57.0]}]"
Bertrand Traoré,MC,25,villarreal,sevilla,0,27,0,0,0.0,0.0,2,1,1,11,72.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,3,0,3,17,118.0,55.0,1,0,0,0.0,23_24,35,11/05/2024,1,[]
Jorge Cuenca,DF,5,villarreal,sevilla,1,81,0,1,0.2,0.1,2,2,0,44,77.3,1,0,0.0,0.0,0.0,5,0,1,0,1,0,0,0,2,3,2,1,33,149.0,89.0,3,0,2,0.0,23_24,35,11/05/2024,1,[]
