player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Iñaki Williams,DT,9,athletic,osasuna,1,90,1,0,0.0,0.5,2,0,2,41,68.3,0,0,0.0,0.0,0.0,12,0,1,0,1,0,0,0,2,3,1,2,42,203.0,112.0,3,1,1,50.0,23_24,35,11/05/2024,1,"[{'tiros_puerta': [1, 43.0]}]"
Álex Berenguer,DT,7,athletic,osasuna,1,45,0,0,0.2,0.0,1,1,0,19,78.9,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,0,16,84.0,65.0,2,0,1,0.0,23_24,35,11/05/2024,1,"[{'asistencias': [8, 7.0]}, {'corners': [5, 101.0]}]"
Asier Villalibre,DT,20,athletic,osasuna,0,45,1,0,0.7,0.0,3,0,3,10,90.0,0,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,1,1,0,14,26.0,17.0,0,0,0,0.0,23_24,35,11/05/2024,1,[]
Nico Williams,DT,11,athletic,osasuna,1,75,0,0,0.1,0.3,4,3,1,31,71.0,0,0,0.0,0.0,0.0,1,1,2,0,2,0,0,0,0,6,2,4,33,286.0,150.0,6,1,1,50.0,23_24,35,11/05/2024,1,"[{'asistencias': [2, 11.0]}, {'asistencias_90': [3, 0.44]}, {'centros_area': [5, 22.0]}, {'regates_exitosos': [2, 86.0]}, {'rojas': [10, 1.0]}]"
Adu Ares,DT,23,athletic,osasuna,0,15,0,0,0.0,0.0,0,0,0,11,72.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,1,1,12,130.0,59.0,2,0,0,0.0,23_24,35,11/05/2024,1,[]
Iker Muniain,MC,10,athletic,osasuna,1,62,0,0,0.0,0.1,0,0,0,42,81.0,0,0,0.0,0.0,0.0,4,1,0,0,0,0,0,0,0,7,2,5,38,173.0,97.0,2,0,0,0.0,23_24,35,11/05/2024,1,[]
Raúl García,MC,22,athletic,osasuna,0,28,0,0,0.1,0.0,1,1,0,11,72.7,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,2,0,0,0,8,74.0,14.0,2,1,1,50.0,23_24,35,11/05/2024,1,[]
Ander Herrera,MC,21,athletic,osasuna,1,62,0,1,0.1,0.0,2,2,0,58,84.5,1,0,0.0,0.0,0.0,5,1,1,0,0,3,2,1,0,0,0,0,44,157.0,67.0,0,0,1,0.0,23_24,35,11/05/2024,1,[]
Unai Gómez,MC,30,athletic,osasuna,0,28,0,0,0.0,0.1,0,0,0,16,87.5,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,12,101.0,41.0,1,2,0,100.0,23_24,35,11/05/2024,1,[]
Mikel Vesga,MC,6,athletic,osasuna,1,62,0,0,0.0,0.0,0,0,0,50,90.0,0,0,0.0,0.0,0.0,2,3,2,0,1,0,0,0,2,0,0,0,32,106.0,61.0,1,2,2,50.0,23_24,35,11/05/2024,1,"[{'apariciones_suplente': [5, 11.0]}]"
