player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Chris Ramos,ESP,27,DT,16,cadiz,getafe,1,69,0,0,0.0,0.2,1,0,1,17,58.8,0,0,0.0,0.0,0.0,6,0,0,0,0,1,0,1,2,1,0,1,16,31.0,12.0,1,3,2,60.0,23_24,35,12/05/2024,1,[]
Maxi Gómez,URU,27,DT,25,cadiz,getafe,0,21,0,0,0.0,0.0,0,0,0,8,50.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,6,21.0,14.0,0,1,2,33.3,23_24,35,12/05/2024,1,[]
Roger Martí,ESP,33,DT,21,cadiz,getafe,1,63,0,0,0.3,0.0,3,2,1,16,56.3,0,0,0.0,0.0,0.0,4,1,1,0,0,1,0,1,0,1,0,1,20,94.0,17.0,1,0,1,0.0,23_24,35,12/05/2024,1,[]
Juanmi,ESP,30,DT,9,cadiz,getafe,0,27,0,0,0.0,0.0,0,0,0,3,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,4,33.0,1.0,0,0,0,0.0,23_24,35,12/05/2024,1,[]
Roberto Navarro,ESP,22,MC,27,cadiz,getafe,1,81,0,0,0.1,0.4,2,2,0,40,75.0,0,0,0.0,0.0,0.0,6,2,3,0,1,1,0,1,0,3,1,2,31,236.0,126.0,3,1,1,50.0,23_24,35,12/05/2024,1,"[{'rojas': [10, 1.0]}]"
Lucas,BRA,23,MC,33,cadiz,getafe,0,9,0,0,0.0,0.0,0,0,0,9,55.6,0,0,0.0,0.0,0.0,2,2,2,0,0,0,0,0,0,0,0,0,5,22.0,19.0,1,0,0,0.0,23_24,35,12/05/2024,1,[]
Rubén Alcaraz,ESP,33,MC,4,cadiz,getafe,1,90,1,0,0.8,0.0,1,1,0,54,87.0,0,0,0.0,0.0,0.0,14,2,2,0,2,0,0,0,2,0,0,0,39,274.0,68.0,1,0,1,0.0,23_24,35,12/05/2024,1,"[{'entradas': [2, 97.0]}, {'amarillas': [2, 14.0]}, {'faltas_cometidas': [1, 84.0]}, {'faltas_recibidas': [6, 71.0]}]"
Gonzalo Escalante,ARG,31,MC,17,cadiz,getafe,1,90,0,0,0.1,0.0,1,0,1,33,60.6,0,0,0.0,0.0,0.0,6,2,1,0,1,3,0,3,1,1,0,1,21,69.0,17.0,0,2,2,50.0,23_24,35,12/05/2024,1,"[{'rojas': [10, 1.0]}]"
Rubén Sobrino,ESP,31,MC,7,cadiz,getafe,1,63,0,0,0.0,0.0,0,0,0,18,72.2,1,0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,2,0,2,14,58.0,34.0,1,0,1,0.0,23_24,35,12/05/2024,1,"[{'rojas': [10, 1.0]}]"
Iván Alejo,ESP,29,MC,11,cadiz,getafe,0,27,0,0,0.0,0.0,1,1,0,2,50.0,1,0,0.0,0.0,0.0,0,1,2,0,1,0,0,0,0,2,1,1,5,33.0,9.0,0,0,0,0.0,23_24,35,12/05/2024,1,"[{'centros_area': [5, 22.0]}, {'amarillas': [1, 17.0]}]"
Javi Hernández,ESP,26,DF,15,cadiz,getafe,1,90,0,0,0.0,0.0,1,0,1,42,73.8,1,0,0.0,0.0,0.0,7,2,1,0,0,1,0,1,3,1,0,1,19,167.0,123.0,3,0,1,0.0,23_24,35,12/05/2024,1,[]
Víctor Chust,ESP,24,DF,5,cadiz,getafe,1,90,0,0,0.0,0.0,0,0,0,44,75.0,1,0,0.0,0.0,0.0,9,1,2,0,1,1,1,0,6,0,0,0,26,152.0,68.0,0,1,1,50.0,23_24,35,12/05/2024,1,"[{'rojas': [2, 2.0]}]"
Fali,ESP,30,DF,3,cadiz,getafe,1,90,0,0,0.1,0.0,2,1,1,32,93.8,0,0,0.0,0.0,0.0,11,2,1,0,0,0,0,0,8,0,0,0,24,77.0,32.0,0,0,2,0.0,23_24,35,12/05/2024,1,"[{'amarillas': [5, 12.0]}]"
Joseba Zaldúa,ESP,31,DF,2,cadiz,getafe,1,63,0,0,0.0,0.0,0,0,0,38,73.7,1,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,2,1,1,23,153.0,23.0,1,3,0,100.0,23_24,35,12/05/2024,1,[]
Isaac Carcelen,ESP,31,DF,20,cadiz,getafe,0,27,0,0,0.0,0.0,0,0,0,5,60.0,0,0,0.0,0.0,0.0,2,1,3,0,2,0,0,0,0,0,0,0,2,11.0,2.0,0,0,0,0.0,23_24,35,12/05/2024,1,[]
Jeremías Ledesma,ARG,31,PT,1,cadiz,getafe,1,90,0,0,0.0,0.0,0,0,0,33,63.6,0,0,0.0,100.0,0.2,13,0,0,0,0,0,0,0,0,0,0,0,17,107.0,78.0,0,0,1,0.0,23_24,35,12/05/2024,1,"[{'paradas': [6, 104.0]}]"
Jaime Mata,ESP,35,DT,7,getafe,cadiz,1,57,0,0,0.1,0.0,1,1,0,10,60.0,0,0,0.0,0.0,0.0,2,1,0,0,0,1,0,1,1,0,0,0,5,11.0,2.0,0,3,1,75.0,23_24,35,12/05/2024,0,"[{'rojas': [10, 1.0]}, {'faltas_cometidas': [8, 63.0]}]"
Juanmi Latasa,ESP,23,DT,14,getafe,cadiz,0,33,0,0,0.0,0.0,1,0,1,6,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,8,38.0,2.0,0,1,0,100.0,23_24,35,12/05/2024,0,"[{'rojas': [10, 1.0]}, {'faltas_cometidas': [5, 66.0]}]"
Mason Greenwood,ENG,22,DT,12,getafe,cadiz,1,90,0,0,0.1,0.2,2,2,0,34,79.4,0,0,0.0,0.0,0.0,6,1,1,0,0,1,0,1,1,13,7,6,35,261.0,187.0,7,0,0,0.0,23_24,35,12/05/2024,0,"[{'tiros_puerta': [10, 31.0]}, {'regates_exitosos': [4, 72.0]}, {'rojas': [10, 1.0]}]"
Luis Milla,ESP,29,MC,5,getafe,cadiz,1,90,0,0,0.1,0.0,1,1,0,62,85.5,0,0,0.0,0.0,0.0,6,1,2,0,1,2,0,2,4,0,0,0,42,351.0,178.0,4,0,1,0.0,23_24,35,12/05/2024,0,"[{'pases_clave': [3, 70.0]}, {'corners': [3, 113.0]}]"
Yellu Santiago,ESP,19,MC,25,getafe,cadiz,1,57,0,0,0.0,0.0,1,1,0,26,73.1,0,0,0.0,0.0,0.0,2,2,0,0,0,0,0,0,1,0,0,0,22,105.0,43.0,0,1,0,100.0,23_24,35,12/05/2024,0,[]
Carles Aleñá,ESP,26,MC,11,getafe,cadiz,0,33,0,0,0.0,0.0,0,0,0,22,95.5,0,0,0.0,0.0,0.0,2,3,1,0,0,0,0,0,0,0,0,0,19,68.0,15.0,0,1,0,100.0,23_24,35,12/05/2024,0,[]
Nemanja Maksimović,SRB,29,MC,20,getafe,cadiz,1,80,0,0,0.0,0.0,0,0,0,22,81.8,0,0,0.0,0.0,0.0,3,1,1,0,0,2,0,2,2,1,0,1,18,59.0,26.0,0,1,2,33.3,23_24,35,12/05/2024,0,"[{'intercepciones': [4, 46.0]}, {'minutos': [9, 3265.0]}]"
Ilaix Moriba,GUI,21,MC,24,getafe,cadiz,0,10,0,0,0.0,0.0,0,0,0,7,85.7,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,6,29.0,20.0,1,0,0,0.0,23_24,35,12/05/2024,0,"[{'rojas': [10, 1.0]}]"
Fabrizio Angileri,ARG,30,DF,3,getafe,cadiz,1,45,0,0,0.0,0.0,0,0,0,18,66.7,0,0,0.0,0.0,0.0,3,1,1,0,0,0,0,0,3,0,0,0,12,31.0,5.0,0,1,1,50.0,23_24,35,12/05/2024,0,"[{'rojas': [10, 1.0]}]"
Óscar Rodríguez Arnaiz,ESP,25,MC,9,getafe,cadiz,0,45,0,0,0.0,0.0,0,0,0,18,72.2,1,0,0.0,0.0,0.0,-1,0,0,0,0,0,0,0,0,0,0,0,18,99.0,19.0,1,0,1,0.0,23_24,35,12/05/2024,0,"[{'rojas': [8, 1.0]}]"
Diego Rico,ESP,31,DF,16,getafe,cadiz,1,90,0,0,0.1,0.1,3,0,3,65,70.8,0,0,0.0,0.0,0.0,7,6,3,0,1,0,0,0,4,1,0,1,50,138.0,71.0,1,1,1,50.0,23_24,35,12/05/2024,0,"[{'centros_area': [1, 32.0]}, {'intercepciones': [9, 41.0]}]"
Gastón Álvarez,URU,24,DF,4,getafe,cadiz,1,90,0,0,0.0,0.0,0,0,0,51,92.2,0,0,0.0,0.0,0.0,4,2,1,0,0,0,0,0,5,0,0,0,33,176.0,74.0,0,3,2,60.0,23_24,35,12/05/2024,0,[]
Djené,TOG,32,DF,2,getafe,cadiz,1,45,0,0,0.0,0.0,1,1,0,20,85.0,1,0,0.0,0.0,0.0,0,1,1,0,0,2,1,1,4,1,0,1,17,98.0,68.0,1,2,1,66.7,23_24,35,12/05/2024,0,"[{'amarillas': [2, 14.0]}, {'rojas': [10, 1.0]}]"
Omar Alderete,PAR,27,DF,15,getafe,cadiz,0,45,0,0,0.0,0.0,0,0,0,34,85.3,0,0,0.0,0.0,0.0,2,0,1,0,1,1,0,1,0,0,0,0,21,194.0,149.0,2,1,0,100.0,23_24,35,12/05/2024,0,"[{'rojas': [10, 1.0]}]"
Carmona,ESP,22,DF,18,getafe,cadiz,1,90,0,0,0.0,0.1,0,0,0,55,72.7,0,0,0.0,0.0,0.0,3,3,1,0,0,1,0,1,1,3,1,2,31,157.0,77.0,3,0,1,0.0,23_24,35,12/05/2024,0,"[{'entradas': [7, 83.0]}, {'intercepciones': [1, 68.0]}, {'amarillas': [6, 11.0]}]"
