player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Vinicius Júnior,DT,real madrid,alaves,1,90,2,0,0.7,0.6,6,3,3,49,79.6,1,0,0.0,0.0,0.0,16,0,0,0,0,1,0,1,0,4,1,3,50,456.0,323.0,15,0,0,0.0,23_24,36,14/05/2024,1,"[{'goles': [8, 15.0]}, {'goles_90': [4, 0.72]}, {'tiros_puerta': [2, 38.0]}, {'regates_exitosos': [6, 65.0]}]"
Rodrygo,DT,real madrid,alaves,1,90,0,0,0.8,0.2,6,3,3,46,95.7,0,0,0.0,0.0,0.0,6,1,2,0,1,0,0,0,0,1,1,0,40,307.0,222.0,8,0,1,0.0,23_24,36,14/05/2024,1,"[{'tiros_puerta': [6, 35.0]}, {'regates_exitosos': [8, 60.0]}]"
Jude Bellingham,MC,real madrid,alaves,1,90,1,2,0.2,0.7,3,1,2,101,92.1,0,0,0.0,0.0,0.0,22,2,2,0,2,2,0,2,0,7,4,3,79,482.0,298.0,6,0,0,0.0,23_24,36,14/05/2024,1,"[{'goles': [3, 19.0]}, {'goles_90': [3, 0.74]}, {'tiros_puerta': [8, 34.0]}, {'goles_por_tiro': [2, 0.29]}, {'rojas': [10, 1.0]}, {'faltas_recibidas': [5, 72.0]}]"
Toni Kroos,MC,real madrid,alaves,1,71,0,1,0.0,0.0,0,0,0,119,94.1,0,0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,1,0,0,0,95,360.0,200.0,0,1,1,50.0,23_24,36,14/05/2024,1,"[{'asistencias': [7, 8.0]}, {'asistencias_90': [7, 0.34]}, {'pases_clave': [5, 62.0]}, {'pases_completados_pct': [7, 91.5]}, {'pases_ultimo_tercio': [1, 327.0]}, {'corners': [10, 89.0]}]"
Dani Ceballos,MC,real madrid,alaves,0,19,0,0,0.0,0.1,0,0,0,40,90.0,0,0,0.0,0.0,0.0,3,1,2,0,1,0,0,0,0,1,0,1,26,141.0,85.0,1,0,0,0.0,23_24,36,14/05/2024,1,"[{'pases_completados_pct': [2, 94.3]}]"
Eduardo Camavinga,MC,real madrid,alaves,1,61,0,1,0.0,0.4,0,0,0,64,92.2,0,0,0.0,0.0,0.0,13,3,3,0,1,0,0,0,0,4,3,1,44,247.0,161.0,2,0,4,0.0,23_24,36,14/05/2024,1,"[{'pases_completados_pct': [10, 90.7]}, {'entradas': [8, 76.0]}, {'faltas_recibidas': [8, 68.0]}]"
Arda Güler,MC,real madrid,alaves,0,29,1,0,0.1,0.1,2,1,1,22,86.4,0,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,0,0,0,18,76.0,50.0,2,0,0,0.0,23_24,36,14/05/2024,1,"[{'asistencias': [4, 5.0]}, {'asistencias_90': [8, 0.4]}, {'pases_clave': [2, 40.0]}, {'corners': [7, 48.0]}]"
Federico Valverde,MC,real madrid,alaves,1,81,1,0,0.1,0.0,3,1,2,60,95.0,0,0,0.0,0.0,0.0,13,1,1,0,1,2,0,2,0,0,0,0,43,264.0,167.0,3,1,0,100.0,23_24,36,14/05/2024,1,"[{'pases_ultimo_tercio': [6, 229.0]}, {'intercepciones': [8, 43.0]}]"
Mario Martín,MC,real madrid,alaves,0,9,0,0,0.0,0.0,0,0,0,7,71.4,0,0,0.0,0.0,0.0,0,1,2,0,1,1,1,0,0,0,0,0,4,16.0,2.0,0,0,0,0.0,23_24,36,14/05/2024,1,"[{'rojas': [1, 3.0]}]"
Ferland Mendy,DF,real madrid,alaves,1,90,0,0,0.0,0.0,0,0,0,65,93.8,0,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,1,0,1,37,82.0,15.0,0,2,0,100.0,23_24,36,14/05/2024,1,"[{'pases_completados_pct': [2, 94.2]}]"
