player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Dodi Lukebakio,DT,sevilla,cadiz,1,45,0,0,0.3,0.0,3,2,1,13,100.0,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,1,3,2,0,17,209.0,124.0,3,1,0,100.0
Suso,DT,sevilla,cadiz,0,45,0,0,0.0,0.5,1,1,0,24,91.7,0,0,0.0,0.0,0.0,4,0,3,0,3,0,0,0,0,2,1,1,22,111.0,50.0,1,0,0,0.0
Youssef EnNesyri,DT,sevilla,cadiz,1,90,0,0,0.2,0.0,2,2,0,15,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,10,72.0,42.0,0,0,1,0.0
Lucien Agoume,MC,sevilla,cadiz,1,90,0,0,0.0,0.2,0,0,0,47,91.5,1,0,0.0,0.0,0.0,6,5,3,0,2,0,0,0,1,5,4,1,30,256.0,152.0,3,1,0,100.0
Boubakary Soumaré,MC,sevilla,cadiz,1,90,0,0,0.0,0.0,0,0,0,45,88.9,1,0,0.0,0.0,0.0,1,2,2,0,1,0,0,0,0,3,1,0,42,311.0,161.0,6,0,2,0.0
Lucas Ocampos,MC,sevilla,cadiz,1,83,0,0,0.0,0.0,1,1,0,35,80.0,1,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,4,0,4,34,199.0,98.0,4,1,0,100.0
Mariano,MC,sevilla,cadiz,0,7,0,0,0.2,0.0,3,3,0,3,66.7,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,4,13.0,4.0,0,0,0,0.0
Marcos Acuña,DF,sevilla,cadiz,1,87,0,0,0.0,0.1,0,0,0,62,71.0,1,0,0.0,0.0,0.0,4,4,0,0,0,0,0,0,1,4,1,3,35,233.0,153.0,2,0,1,0.0
Adrià Pedrosa,DF,sevilla,cadiz,0,3,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,3,16.0,0.0,0,0,0,0.0
Kike Salas,DF,sevilla,cadiz,1,90,0,0,0.0,0.2,1,1,0,53,90.6,1,0,0.0,0.0,0.0,2,2,1,0,0,1,1,0,2,0,0,0,33,138.0,93.0,1,6,4,60.0
Sergio Ramos,DF,sevilla,cadiz,1,90,0,0,0.0,0.0,1,1,0,51,88.2,0,0,0.0,0.0,0.0,8,2,2,0,1,2,2,0,8,0,0,0,41,293.0,132.0,2,3,1,75.0
Loïc Bade,DF,sevilla,cadiz,1,90,0,0,0.0,0.0,0,0,0,62,77.4,0,0,0.0,0.0,0.0,5,3,1,0,0,1,1,0,5,1,1,0,31,150.0,73.0,0,5,4,55.6
Jesús Navas,DF,sevilla,cadiz,1,83,0,0,0.0,0.2,1,0,1,57,78.9,1,0,0.0,0.0,0.0,10,4,0,0,0,0,0,0,6,0,0,0,38,115.0,52.0,1,0,0,0.0
Juanlu Sánchez,DF,sevilla,cadiz,0,7,0,0,0.4,0.0,1,0,1,9,77.8,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,3,25.0,23.0,1,0,0,0.0
Ørjan Nyland,PT,sevilla,cadiz,1,90,0,0,0.0,0.0,0,0,0,32,75.0,0,0,1.0,85.7,1.7,10,0,1,0,1,0,0,0,1,0,0,0,18,152.0,66.0,0,0,0,0.0
Roger Martí,DT,cadiz,sevilla,1,60,0,0,0.0,0.0,2,0,2,15,86.7,0,0,0.0,0.0,0.0,5,2,0,0,0,0,0,0,0,1,0,1,20,104.0,17.0,0,0,1,0.0
Sergi Guardiola,MC,cadiz,sevilla,0,30,1,0,0.6,0.0,2,0,2,10,60.0,0,0,0.0,0.0,0.0,9,0,1,0,1,0,0,0,0,0,0,0,10,61.0,18.0,1,0,0,0.0
Chris Ramos,DT,cadiz,sevilla,1,90,0,0,1.0,0.0,4,3,1,13,61.5,0,0,0.0,0.0,0.0,4,1,1,0,0,0,0,0,0,2,1,1,14,51.0,14.0,0,7,7,50.0
Rubén Sobrino,MC,cadiz,sevilla,1,60,0,0,0.0,0.0,1,0,1,25,76.0,0,0,0.0,0.0,0.0,4,2,3,0,2,1,0,1,1,1,0,1,23,175.0,104.0,3,0,1,0.0
Juanmi,DT,cadiz,sevilla,0,30,0,1,0.1,0.4,1,1,0,5,80.0,0,0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,1,1,0,7,56.0,37.0,2,0,0,0.0
Rubén Alcaraz,MC,cadiz,sevilla,1,90,0,0,0.0,0.1,2,1,1,58,81.0,0,0,0.0,0.0,0.0,8,5,5,0,3,3,0,3,0,0,0,0,42,257.0,129.0,2,0,0,0.0
Gonzalo Escalante,MC,cadiz,sevilla,1,90,0,0,0.3,0.2,2,2,0,42,85.7,1,0,0.0,0.0,0.0,5,2,4,0,3,0,0,0,2,1,1,0,30,129.0,61.0,0,3,2,60.0
