player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Jørgen Strand Larsen,NOR,24,DT,18,celta,athletic,1,72,0,0,0.3,0.0,2,1,1,17,64.7,0,0,0.0,0.0,0.0,4,0,0,0,0,1,0,1,0,1,0,1,14,71.0,41.0,1,1,4,20.0,23_24,36,15/05/2024,1,"[{'tiros_puerta': [6, 35.0]}, {'faltas_cometidas': [6, 65.0]}]"
Anastasios Douvikas,GRE,24,DT,12,celta,athletic,0,18,0,0,0.0,0.0,0,0,0,6,33.3,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,4,18.0,8.0,0,3,0,100.0,23_24,36,15/05/2024,1,"[{'goles_por_tiro': [5, 0.27]}, {'apariciones_suplente': [2, 25.0]}]"
Williot Swedberg,SWE,20,DT,19,celta,athletic,1,76,1,0,0.2,0.1,2,1,1,22,77.3,0,0,0.0,0.0,0.0,11,0,1,0,1,4,0,4,0,3,1,1,24,178.0,75.0,1,0,2,0.0,23_24,36,15/05/2024,1,"[{'asistencias_90': [6, 0.33]}]"
Franco Cervi,ARG,29,DT,11,celta,athletic,0,14,0,0,0.0,0.0,0,0,0,6,50.0,1,0,0.0,0.0,0.0,2,1,2,0,1,0,0,0,0,0,0,0,5,31.0,7.0,0,0,0,0.0,23_24,36,15/05/2024,1,[]
Jonathan Bamba,CIV,28,DT,17,celta,athletic,1,45,0,0,0.0,0.0,0,0,0,18,55.6,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,2,1,1,20,144.0,78.0,4,0,1,0.0,23_24,36,15/05/2024,1,[]
Iago Aspas,ESP,36,DT,10,celta,athletic,0,45,0,0,0.0,0.1,0,0,0,21,76.2,0,0,0.0,0.0,0.0,4,1,0,0,0,1,0,1,0,1,1,0,18,120.0,92.0,3,0,0,0.0,23_24,36,15/05/2024,1,"[{'asistencias': [3, 10.0]}, {'asistencias_90': [8, 0.33]}, {'penaltis_marcados': [7, 3.0]}, {'pases_clave': [2, 90.0]}, {'corners': [6, 94.0]}, {'rojas': [10, 1.0]}]"
Manu Sánchez,ESP,23,MC,23,celta,athletic,1,45,0,0,0.0,0.0,0,0,0,19,73.7,0,0,0.0,0.0,0.0,1,2,4,0,2,0,0,0,0,0,0,0,13,70.0,31.0,1,0,0,0.0,23_24,36,15/05/2024,1,"[{'entradas': [7, 83.0]}, {'rojas': [8, 1.0]}, {'faltas_cometidas': [6, 56.0]}]"
Hugo Álvarez,ESP,20,MC,33,celta,athletic,0,45,1,1,0.1,0.1,2,1,1,37,83.8,0,0,0.0,0.0,0.0,0,1,3,0,2,0,0,0,0,5,2,3,27,190.0,120.0,4,0,2,0.0,23_24,36,15/05/2024,1,[]
Fran Beltrán,ESP,25,MC,8,celta,athletic,1,90,0,0,0.0,0.0,1,1,0,36,94.4,0,0,0.0,0.0,0.0,4,4,3,0,0,0,0,0,2,2,0,2,20,110.0,25.0,0,1,2,33.3,23_24,36,15/05/2024,1,[]
Damián Rodríguez,ESP,21,MC,34,celta,athletic,1,90,0,1,0.0,0.2,0,0,0,68,91.2,0,0,0.0,0.0,0.0,0,3,2,0,1,0,0,0,0,0,0,0,39,148.0,61.0,1,0,2,0.0,23_24,36,15/05/2024,1,[]
Carles Pérez,ESP,26,MC,7,celta,athletic,1,45,0,0,0.1,0.0,2,1,1,22,63.6,0,0,0.0,0.0,0.0,2,1,1,0,1,1,0,1,1,2,0,2,20,118.0,64.0,3,1,2,33.3,23_24,36,15/05/2024,1,[]
Óscar Mingueza,ESP,25,MC,3,celta,athletic,0,45,0,0,0.0,0.2,0,0,0,35,74.3,0,0,0.0,0.0,0.0,5,3,1,0,0,1,0,1,0,2,1,1,25,105.0,48.0,0,0,0,0.0,23_24,36,15/05/2024,1,"[{'pases_ultimo_tercio': [9, 176.0]}, {'rojas': [8, 1.0]}]"
Carlos Dominguez,ESP,23,DF,28,celta,athletic,1,90,0,0,0.1,0.0,1,1,0,75,70.7,0,0,0.0,0.0,0.0,4,3,4,0,1,1,1,0,3,0,0,0,49,254.0,187.0,0,3,1,75.0,23_24,36,15/05/2024,1,[]
Carl Starfelt,SWE,28,DF,2,celta,athletic,1,90,0,0,0.0,0.0,0,0,0,70,91.4,1,0,0.0,0.0,0.0,2,2,0,0,0,1,1,0,3,0,0,0,45,162.0,85.0,0,4,1,80.0,23_24,36,15/05/2024,1,"[{'despejes': [1, 159.0]}]"
Javier Manquillo,ESP,30,DF,22,celta,athletic,1,90,0,0,0.0,0.0,0,0,0,86,86.0,0,0,0.0,0.0,0.0,5,0,1,0,1,1,0,1,3,0,0,0,54,189.0,101.0,0,1,2,33.3,23_24,36,15/05/2024,1,[]
