player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Mason Greenwood,MC,getafe,atletico madrid,1,90,0,0,0.5,0.1,4,2,2,52,88.5,0,0,0.0,0.0,0.0,8,1,1,0,1,1,0,1,0,7,5,2,44,231.0,115.0,2,0,0,0.0,23_24,36,15/05/2024,1,"[{'tiros_puerta': [10, 31.0]}, {'regates_exitosos': [4, 72.0]}, {'rojas': [10, 1.0]}]"
Ilaix Moriba,DT,getafe,atletico madrid,1,45,0,0,0.0,0.0,0,0,0,9,66.7,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,1,0,10,54.0,15.0,1,1,2,33.3,23_24,36,15/05/2024,1,"[{'rojas': [10, 1.0]}]"
Jaime Mata,DT,getafe,atletico madrid,0,45,0,0,0.0,0.0,0,0,0,6,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,7,30.0,8.0,0,0,2,0.0,23_24,36,15/05/2024,1,"[{'rojas': [10, 1.0]}, {'faltas_cometidas': [8, 63.0]}]"
Óscar Rodríguez Arnaiz,MC,getafe,atletico madrid,1,69,0,0,0.0,0.3,1,0,1,18,66.7,0,0,0.0,0.0,0.0,1,1,1,0,0,1,0,1,1,3,1,2,12,92.0,60.0,2,1,2,33.3,23_24,36,15/05/2024,1,"[{'rojas': [8, 1.0]}]"
Alberto Risco,MC,getafe,atletico madrid,0,21,0,0,0.0,0.0,0,0,0,13,69.2,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,27.0,8.0,0,0,0,0.0,23_24,36,15/05/2024,1,[]
Luis Milla,MC,getafe,atletico madrid,1,56,0,0,0.0,0.0,0,0,0,45,91.1,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,28,128.0,54.0,0,0,0,0.0,23_24,36,15/05/2024,1,"[{'pases_clave': [3, 70.0]}, {'corners': [3, 113.0]}]"
Yellu Santiago,MC,getafe,atletico madrid,0,34,0,0,0.0,0.0,1,1,0,19,73.7,1,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,1,0,14,153.0,84.0,2,0,0,0.0,23_24,36,15/05/2024,1,[]
Nemanja Maksimović,MC,getafe,atletico madrid,1,90,0,0,0.0,0.0,0,0,0,32,93.8,0,0,0.0,0.0,0.0,2,1,0,0,0,2,0,2,1,2,1,1,21,126.0,50.0,2,0,0,0.0,23_24,36,15/05/2024,1,"[{'intercepciones': [4, 46.0]}, {'minutos': [9, 3265.0]}]"
Carles Aleñá,MC,getafe,atletico madrid,1,45,0,0,0.0,0.0,0,0,0,16,81.3,0,0,0.0,0.0,0.0,1,1,2,0,2,1,0,1,0,1,1,0,15,79.0,7.0,0,0,1,0.0,23_24,36,15/05/2024,1,[]
Jordi,DF,getafe,atletico madrid,0,45,0,0,0.0,0.0,0,0,0,32,71.9,0,0,0.0,0.0,0.0,1,0,1,0,1,1,0,1,0,0,0,0,20,84.0,36.0,0,1,1,50.0,23_24,36,15/05/2024,1,[]
Diego Rico,DF,getafe,atletico madrid,1,45,0,0,0.0,0.0,0,0,0,19,73.7,1,0,0.0,0.0,0.0,-2,0,0,0,0,0,0,0,1,0,0,0,9,40.0,13.0,0,0,0,0.0,23_24,36,15/05/2024,1,"[{'centros_area': [1, 32.0]}, {'intercepciones': [9, 41.0]}]"
Juanmi Latasa,DT,getafe,atletico madrid,0,45,0,0,0.0,0.0,0,0,0,11,54.5,0,0,0.0,0.0,0.0,2,1,0,0,0,1,0,1,1,0,0,0,6,26.0,6.0,0,3,4,42.9,23_24,36,15/05/2024,1,"[{'rojas': [10, 1.0]}, {'faltas_cometidas': [5, 66.0]}]"
Omar Alderete,DF,getafe,atletico madrid,1,90,0,0,0.1,0.0,2,2,0,79,77.2,1,0,0.0,0.0,0.0,-1,1,2,0,1,2,1,1,0,1,1,0,69,448.0,373.0,1,1,0,100.0,23_24,36,15/05/2024,1,"[{'rojas': [10, 1.0]}]"
Gastón Álvarez,DF,getafe,atletico madrid,1,90,0,0,0.0,0.0,0,0,0,62,96.8,1,0,0.0,0.0,0.0,0,2,3,0,1,0,0,0,2,0,0,0,44,255.0,126.0,0,1,1,50.0,23_24,36,15/05/2024,1,[]
Carmona,DF,getafe,atletico madrid,1,90,0,0,0.0,0.0,0,0,0,63,87.3,0,0,0.0,0.0,0.0,1,3,3,0,1,2,1,1,4,4,1,3,44,165.0,109.0,2,0,0,0.0,23_24,36,15/05/2024,1,"[{'entradas': [7, 83.0]}, {'intercepciones': [1, 68.0]}, {'amarillas': [6, 11.0]}]"
David Soria,PT,getafe,atletico madrid,1,90,0,0,0.0,0.0,0,0,0,19,89.5,0,0,3.0,0.0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,7,32.0,23.0,0,0,0,0.0,23_24,36,15/05/2024,1,"[{'minutos': [3, 3413.0]}, {'porterias_cero': [8, 10.0]}, {'paradas': [3, 118.0]}]"
Ángel Correa,DT,atletico madrid,getafe,1,66,0,0,0.1,0.0,1,1,0,18,77.8,0,0,0.0,0.0,0.0,6,3,0,0,0,0,0,0,0,3,2,1,13,63.0,13.0,0,0,0,0.0,23_24,36,15/05/2024,0,"[{'apariciones_suplente': [1, 28.0]}, {'rojas': [8, 1.0]}]"
Rodrigo Riquelme,DF,atletico madrid,getafe,0,24,0,0,0.0,0.0,0,0,0,5,80.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,1,7,20.0,14.0,1,0,0,0.0,23_24,36,15/05/2024,0,[]
Antoine Griezmann,MC,atletico madrid,getafe,1,86,3,0,0.5,0.0,3,0,3,57,82.5,0,0,0.0,0.0,0.0,20,1,5,0,4,1,0,1,1,0,0,0,29,106.0,56.0,1,1,0,100.0,23_24,36,15/05/2024,0,"[{'goles': [6, 16.0]}, {'penaltis_marcados': [3, 4.0]}, {'corners': [6, 94.0]}]"
Memphis,DT,atletico madrid,getafe,0,4,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,3,9.0,9.0,0,0,0,0.0,23_24,36,15/05/2024,0,[]
Koke,MC,atletico madrid,getafe,1,90,0,0,0.0,0.0,0,0,0,68,97.1,0,0,0.0,0.0,0.0,8,0,1,0,1,1,0,1,4,0,0,0,48,173.0,93.0,0,0,0,0.0,23_24,36,15/05/2024,0,"[{'pases_ultimo_tercio': [9, 196.0]}]"
Rodrigo De Paul,MC,atletico madrid,getafe,1,90,0,1,0.0,0.2,0,0,0,64,78.1,0,0,0.0,0.0,0.0,11,1,1,0,0,1,0,1,0,2,1,1,50,363.0,140.0,3,0,0,0.0,23_24,36,15/05/2024,0,"[{'pases_ultimo_tercio': [8, 180.0]}]"
Pablo Barrios,MC,atletico madrid,getafe,1,45,0,0,0.0,0.1,0,0,0,24,83.3,0,0,0.0,0.0,0.0,3,2,1,0,0,0,0,0,1,2,1,1,17,77.0,29.0,0,1,1,50.0,23_24,36,15/05/2024,0,"[{'rojas': [8, 1.0]}]"
César Azpilicueta,DF,atletico madrid,getafe,0,45,0,0,0.0,0.0,0,0,0,27,81.5,0,0,0.0,0.0,0.0,3,1,2,0,1,0,0,0,0,0,0,0,12,86.0,62.0,3,2,1,66.7,23_24,36,15/05/2024,0,[]
Samuel Lino,DF,atletico madrid,getafe,1,75,0,2,0.7,0.4,2,2,0,38,76.3,0,0,0.0,0.0,0.0,15,3,3,0,1,1,0,1,0,3,2,1,27,140.0,92.0,5,0,0,0.0,23_24,36,15/05/2024,0,[]
Saúl Ñíguez,MC,atletico madrid,getafe,0,15,0,0,0.0,0.0,0,0,0,8,87.5,0,0,0.0,0.0,0.0,2,1,2,0,1,0,0,0,3,0,0,0,5,33.0,7.0,0,0,1,0.0,23_24,36,15/05/2024,0,"[{'rojas': [10, 1.0]}]"
