player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Kiké,DT,15,alaves,getafe,1,40,0,0,0.7,0.1,2,2,0,9,44.4,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,6,13.0,2.0,0,3,0,100.0,23_24,37,18/05/2024,1,"[{'goles': [9, 13.0]}, {'penaltis_marcados': [10, 3.0]}, {'rojas': [8, 1.0]}]"
Samu Omorodion,DT,32,alaves,getafe,0,50,0,0,0.1,0.1,2,2,0,8,62.5,1,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,2,2,0,9,46.0,5.0,0,3,3,50.0,23_24,37,18/05/2024,1,[]
Giuliano Simeone,DT,20,alaves,getafe,1,87,0,0,0.1,0.4,1,1,0,16,56.3,1,0,0.0,0.0,0.0,4,0,1,0,1,1,0,1,0,2,1,1,16,72.0,11.0,1,0,2,0.0,23_24,37,18/05/2024,1,"[{'asistencias': [8, 4.0]}]"
Luis Rioja,DT,11,alaves,getafe,0,3,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,1,9.0,0.0,0,0,0,0.0,23_24,37,18/05/2024,1,"[{'penaltis_marcados': [7, 3.0]}, {'centros_area': [10, 19.0]}]"
Carlos Vicente,DT,22,alaves,getafe,1,87,1,0,0.1,0.4,1,0,1,21,52.4,0,0,0.0,0.0,0.0,12,0,1,0,1,0,0,0,0,4,1,3,17,112.0,63.0,2,3,1,75.0,23_24,37,18/05/2024,1,"[{'pases_clave': [7, 63.0]}, {'centros_area': [3, 29.0]}, {'corners': [8, 85.0]}, {'faltas_recibidas': [9, 62.0]}]"
Andoni Gorosabel,DT,2,alaves,getafe,0,3,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2,1,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,23_24,37,18/05/2024,1,[]
Jon Guridi,MC,18,alaves,getafe,1,86,0,0,0.0,0.1,0,0,0,22,63.6,0,0,0.0,0.0,0.0,7,2,1,0,0,0,0,0,2,0,0,0,11,82.0,54.0,2,4,1,80.0,23_24,37,18/05/2024,1,[]
Ianis Hagi,MC,10,alaves,getafe,0,4,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0.0,23_24,37,18/05/2024,1,[]
Antonio Blanco,MC,8,alaves,getafe,1,90,0,0,0.0,0.0,0,0,0,27,70.4,1,0,0.0,0.0,0.0,4,3,4,0,2,0,0,0,1,0,0,0,10,17.0,5.0,0,1,0,100.0,23_24,37,18/05/2024,1,"[{'rojas': [10, 1.0]}]"
Carlos Benavídez,MC,23,alaves,getafe,1,61,0,0,0.0,0.0,0,0,0,19,57.9,1,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,1,0,0,0,11,53.0,35.0,0,2,1,66.7,23_24,37,18/05/2024,1,[]
