player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Alexander Sørloth,DT,villarreal,real madrid,1,90,4,0,1.2,0.0,9,5,4,22,81.8,0,0,0.0,0.0,0.0,22,1,0,0,0,0,0,0,1,2,1,1,26,119.0,47.0,2,5,3,62.5,23_24,37,1
Gerard Moreno,DT,villarreal,real madrid,1,72,0,2,0.0,0.4,0,0,0,46,82.6,0,0,0.0,0.0,0.0,13,0,1,0,1,0,0,0,0,3,2,1,35,209.0,98.0,3,0,0,0.0,23_24,37,1
Étienne Capoue,MC,villarreal,real madrid,0,18,0,0,0.1,0.0,1,1,0,25,84.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,1,1,15,78.0,43.0,1,0,0,0.0,23_24,37,1
Gonçalo Guedes,MC,villarreal,real madrid,1,90,0,0,0.1,0.2,3,3,0,39,76.9,0,0,0.0,0.0,0.0,6,3,3,0,2,1,0,1,1,3,3,0,30,215.0,96.0,3,0,0,0.0,23_24,37,1
Daniel Parejo,MC,villarreal,real madrid,1,45,0,0,0.0,0.1,0,0,0,35,91.4,0,0,0.0,0.0,0.0,1,1,2,0,1,0,0,0,0,0,0,0,19,88.0,42.0,0,0,0,0.0,23_24,37,1
Francis Coquelin,MC,villarreal,real madrid,0,45,0,0,0.0,0.0,0,0,0,28,92.9,0,0,0.0,0.0,0.0,2,3,2,0,1,0,0,0,0,0,0,0,18,96.0,23.0,0,0,0,0.0,23_24,37,1
Santi Comesaña,MC,villarreal,real madrid,1,90,0,0,0.1,0.0,2,1,1,59,91.5,0,0,0.0,0.0,0.0,2,4,4,0,1,0,0,0,1,2,2,0,43,222.0,120.0,0,1,1,50.0,23_24,37,1
Ilias Akhomach,MC,villarreal,real madrid,1,45,0,0,0.1,0.0,2,2,0,23,82.6,0,0,0.0,0.0,0.0,1,1,1,0,1,0,0,0,0,3,2,1,15,163.0,31.0,2,0,0,0.0,23_24,37,1
Bertrand Traoré,MC,villarreal,real madrid,0,45,0,0,0.1,0.0,2,1,1,17,82.4,1,0,0.0,0.0,0.0,2,1,0,0,0,1,0,1,0,5,2,3,16,72.0,36.0,1,1,0,100.0,23_24,37,1
Alberto Moreno,DF,villarreal,real madrid,1,79,0,0,0.0,0.1,1,1,0,46,84.8,1,0,0.0,0.0,0.0,-3,2,3,0,2,2,0,2,0,0,0,0,29,122.0,78.0,1,0,0,0.0,23_24,37,1
