player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Vedat Muriqi,DT,mallorca,almeria,1,90,0,0,0.6,0.2,6,6,0,27,81.5,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,1,0,1,26,100.0,27.0,1,2,6,25.0
Cyle Larin,DT,mallorca,almeria,1,62,1,0,1.4,0.0,7,5,2,6,66.7,0,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,1,2,0,2,12,55.0,18.0,1,1,2,33.3
Manu Morlanes,MC,mallorca,almeria,0,28,0,0,0.2,0.0,1,0,1,20,85.0,0,0,0.0,0.0,0.0,3,2,1,0,0,0,0,0,0,2,0,2,17,154.0,63.0,2,0,0,0.0
Sergi Darder,MC,mallorca,almeria,1,90,1,0,0.3,0.7,5,2,3,48,72.9,0,0,0.0,0.0,0.0,13,1,2,0,1,0,0,0,0,5,4,1,45,325.0,191.0,9,0,0,0.0
Samu Costa,MC,mallorca,almeria,1,45,0,0,0.0,0.0,1,1,0,31,71.0,0,0,0.0,0.0,0.0,3,0,0,0,0,1,1,0,0,0,0,0,18,56.0,7.0,0,2,1,66.7
Omar Mascarell,MC,mallorca,almeria,0,45,0,0,0.0,0.0,0,0,0,23,91.3,0,0,0.0,0.0,0.0,3,1,2,0,1,0,0,0,0,0,0,0,18,139.0,58.0,0,1,0,100.0
Dani Rodríguez,MC,mallorca,almeria,1,62,0,0,0.0,0.0,0,0,0,34,76.5,0,0,0.0,0.0,0.0,4,1,0,0,0,0,0,0,1,4,2,2,26,185.0,92.0,3,1,0,100.0
Abdón Prats,DT,mallorca,almeria,0,28,0,0,0.1,0.0,2,0,2,5,20.0,0,0,0.0,0.0,0.0,3,1,1,0,0,0,0,0,0,1,0,1,6,37.0,4.0,0,1,2,33.3
Jaume Costa,DF,mallorca,almeria,1,75,0,0,0.0,0.3,0,0,0,33,84.8,0,0,0.0,0.0,0.0,3,3,1,0,0,1,0,1,1,1,0,1,23,104.0,70.0,3,0,0,0.0
Toni Lato,DF,mallorca,almeria,0,15,0,0,0.0,0.0,0,0,0,12,83.3,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,4,12.0,8.0,0,1,0,100.0
Copete,DF,mallorca,almeria,1,68,0,1,0.0,0.6,1,1,0,32,68.8,1,0,0.0,0.0,0.0,5,1,2,0,1,0,0,0,3,0,0,0,24,118.0,64.0,0,0,2,0.0
Nemanja Radonjić,MC,mallorca,almeria,0,22,0,0,0.1,0.1,1,1,0,20,45.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,2,1,1,13,151.0,94.0,2,0,0,0.0
Antonio Raillo,DF,mallorca,almeria,1,90,0,1,0.1,0.2,3,3,0,63,85.7,1,0,0.0,0.0,0.0,6,2,1,0,0,3,1,2,2,1,1,0,36,248.0,155.0,1,7,1,87.5
Martin Valjent,DF,mallorca,almeria,1,90,0,0,0.1,0.2,2,2,0,50,92.0,0,0,0.0,0.0,0.0,1,1,2,0,1,1,0,1,2,0,0,0,39,249.0,168.0,3,3,1,75.0
Giovanni González,DF,mallorca,almeria,1,90,0,0,0.0,0.2,0,0,0,56,87.5,0,0,0.0,0.0,0.0,4,0,2,0,2,2,0,2,0,1,1,0,32,104.0,52.0,3,2,1,66.7
Predrag Rajković,PT,mallorca,almeria,1,90,0,0,0.0,0.0,0,0,0,31,67.7,0,0,2.0,33.3,0.8,1,0,0,0,0,0,0,0,0,0,0,0,15,122.0,93.0,0,0,0,0.0
Luis Javier Suárez,DT,almeria,mallorca,1,64,0,0,0.0,0.0,0,0,0,24,79.2,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,2,2,0,2,21,167.0,33.0,1,0,5,0.0
Léo Baptistão,DT,almeria,mallorca,0,26,0,0,0.0,0.0,0,0,0,15,86.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,1,0,0,12,92.0,68.0,1,0,1,0.0
Álex Centelles,DT,almeria,mallorca,1,81,0,0,0.0,0.1,0,0,0,31,74.2,0,0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,0,3,2,1,24,71.0,28.0,0,1,2,33.3
Aleksandar Radovanović,DF,almeria,mallorca,0,9,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,3,0,0,0,1,0.0,0.0,0,1,0,100.0
Luka Romero,DT,almeria,mallorca,1,64,0,0,0.0,0.0,1,1,0,21,95.2,1,0,0.0,0.0,0.0,1,0,2,0,2,1,0,1,0,1,1,0,21,127.0,62.0,2,1,0,100.0
Anthony Lozano,DT,almeria,mallorca,0,26,0,0,0.0,0.0,1,0,1,7,100.0,0,0,0.0,0.0,0.0,2,2,1,0,0,0,0,0,0,0,0,0,5,35.0,25.0,1,1,4,20.0
Sergio Arribas,MC,almeria,mallorca,1,81,1,1,0.2,0.1,2,1,1,45,75.6,1,0,0.0,0.0,0.0,13,3,3,0,1,0,0,0,0,3,1,2,32,189.0,118.0,1,1,0,100.0
Adri Embarba,MC,almeria,mallorca,0,9,0,0,0.0,0.0,0,0,0,6,66.7,0,0,0.0,0.0,0.0,1,0,1,0,1,2,0,2,0,1,0,1,6,51.0,37.0,0,0,0,0.0
Gonzalo Melero,MC,almeria,mallorca,1,57,0,0,0.1,0.0,1,1,0,32,81.3,0,0,0.0,0.0,0.0,2,0,2,0,2,1,1,0,2,1,1,0,21,54.0,25.0,0,3,2,60.0
Lucas Robertone,MC,almeria,mallorca,0,33,0,0,0.0,0.0,1,1,0,22,100.0,1,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,3,1,0,1,16,84.0,40.0,0,0,0,0.0
Édgar González,MC,almeria,mallorca,1,90,0,0,0.0,0.0,0,0,0,43,93.0,0,0,0.0,0.0,0.0,1,2,3,0,1,4,4,0,3,0,0,0,25,94.0,52.0,0,1,0,100.0
Bruno Langa,DF,almeria,mallorca,1,90,1,0,0.0,0.0,1,0,1,50,70.0,0,0,0.0,0.0,0.0,10,4,2,0,0,1,1,0,8,1,1,0,33,144.0,94.0,1,0,2,0.0
Chumi,DF,almeria,mallorca,1,90,0,0,0.0,0.0,0,0,0,30,93.3,0,0,0.0,0.0,0.0,2,1,1,0,0,2,1,1,6,0,0,0,21,107.0,48.0,0,0,1,0.0
César Montes,DF,almeria,mallorca,1,90,0,0,0.0,0.0,0,0,0,36,75.0,0,0,0.0,0.0,0.0,3,1,2,0,1,2,1,1,8,0,0,0,24,120.0,64.0,0,5,2,71.4
Alejandro Pozo Pozo,DF,almeria,mallorca,1,90,0,0,0.0,0.0,0,0,0,46,80.4,0,0,0.0,0.0,0.0,-1,2,2,0,0,1,0,1,2,1,0,1,28,141.0,70.0,1,0,2,0.0
Fernando,PT,almeria,mallorca,1,90,0,0,0.0,0.0,0,0,0,47,68.1,0,0,2.0,75.0,2.8,9,0,0,0,0,0,0,0,1,0,0,0,32,152.0,85.0,0,2,0,100.0
