player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Lucas Boyé,DT,granada,celta,1,90,0,0,0.1,0.0,2,1,1,24,70.8,0,0,0.0,0.0,0.0,3,2,0,0,0,1,0,1,0,6,2,4,25,161.0,29.0,2,5,7,41.7,23_24,37,1
Sergio Rodelas,DT,granada,celta,1,59,0,0,0.0,0.0,1,1,0,13,76.9,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,0,2,15,111.0,21.0,1,0,1,0.0,23_24,37,1
Gonzalo Villar,DT,granada,celta,0,31,0,0,0.0,0.7,0,0,0,10,90.0,0,0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,7,20.0,1.0,0,1,0,100.0,23_24,37,1
Facundo Pellistri,DT,granada,celta,1,89,0,0,0.8,0.0,3,2,1,23,73.9,0,0,0.0,0.0,0.0,2,1,3,0,3,1,0,1,0,2,2,0,20,130.0,61.0,1,0,0,0.0,23_24,37,1
Antonio Puertas,DT,granada,celta,0,1,0,0,0.8,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.0,4.0,0,0,0,0.0,23_24,37,1
Gerard Gumbau,MC,granada,celta,1,90,0,0,0.0,0.2,2,2,0,47,70.2,0,0,0.0,0.0,0.0,4,5,5,0,1,0,0,0,0,0,0,0,29,97.0,15.0,0,2,1,66.7,23_24,37,1
Martin Hongla,MC,granada,celta,1,72,0,0,0.0,0.0,0,0,0,36,83.3,0,0,0.0,0.0,0.0,1,2,3,0,2,1,0,1,1,0,0,0,24,70.0,19.0,0,1,2,33.3,23_24,37,1
Óscar Melendo,MC,granada,celta,0,18,0,0,0.0,0.0,0,0,0,8,62.5,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,1,0,1,9,52.0,49.0,1,0,1,0.0,23_24,37,1
Sergio Ruiz,MC,granada,celta,1,90,0,0,0.1,0.0,1,1,0,48,75.0,0,0,0.0,0.0,0.0,3,1,4,0,3,0,0,0,0,6,1,1,41,174.0,99.0,1,2,0,100.0,23_24,37,1
Carlos Neva,DF,granada,celta,1,90,0,0,0.0,0.0,0,0,0,62,74.2,0,0,0.0,0.0,0.0,1,1,1,0,1,1,0,1,2,1,1,0,39,182.0,49.0,3,0,1,0.0,23_24,37,1
