player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Luis Javier Suárez,COL,25,DT,9,almeria,celta,1,89,0,0,0.1,0.0,1,0,1,27,77.8,0,0,0.0,0.0,0.0,3,2,2,0,1,1,0,1,3,1,1,0,22,223.0,120.0,4,0,2,0.0,23_24,4,01/09/2023,1,[]
Léo Baptistão,BRA,31,DT,12,almeria,celta,0,1,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,100.0,23_24,4,01/09/2023,1,"[{'rojas': [10, 1.0]}]"
Largie Ramazani,BEL,22,DT,7,almeria,celta,1,90,0,1,0.6,1.3,5,5,0,32,81.3,0,0,0.0,0.0,0.0,13,4,5,0,2,1,0,1,0,14,8,6,40,308.0,206.0,6,1,1,50.0,23_24,4,01/09/2023,1,"[{'amarillas': [7, 11.0]}, {'rojas': [2, 2.0]}]"
Adri Embarba,ESP,31,DT,10,almeria,celta,1,45,0,0,0.0,0.1,1,1,0,22,72.7,0,0,0.0,0.0,0.0,3,0,0,0,0,1,0,1,0,3,2,0,13,86.0,50.0,2,0,1,0.0,23_24,4,01/09/2023,1,"[{'corners': [6, 94.0]}]"
Ibrahima Koné,MLI,24,DT,23,almeria,celta,0,45,0,0,0.2,0.0,1,0,1,9,55.6,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,5,33.0,27.0,1,2,1,66.7,23_24,4,01/09/2023,1,[]
Gonzalo Melero,ESP,29,MC,11,almeria,celta,1,66,0,1,0.3,0.5,2,1,1,41,85.4,0,0,0.0,0.0,0.0,7,0,1,0,1,0,0,0,0,1,1,0,32,125.0,57.0,2,4,1,80.0,23_24,4,01/09/2023,1,[]
Sergio Arribas,ESP,21,MC,19,almeria,celta,0,24,1,0,1.1,0.0,2,1,1,9,55.6,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,2,0,2,11,48.0,29.0,0,1,1,50.0,23_24,4,01/09/2023,1,[]
Iddrisu Baba,GHA,27,MC,4,almeria,celta,1,66,0,0,0.0,0.5,0,0,0,70,88.6,0,0,0.0,0.0,0.0,6,4,1,0,0,0,0,0,0,1,1,0,59,183.0,58.0,0,1,0,100.0,23_24,4,01/09/2023,1,[]
Dion Lopy,SEN,21,MC,6,almeria,celta,0,24,0,0,0.0,0.0,1,1,0,25,92.0,0,0,0.0,0.0,0.0,2,1,1,0,1,1,0,1,0,1,1,0,20,127.0,43.0,0,0,0,0.0,23_24,4,01/09/2023,1,[]
Lucas Robertone,ARG,26,MC,5,almeria,celta,1,90,0,0,0.0,0.1,0,0,0,105,83.8,0,0,0.0,0.0,0.0,5,2,3,0,1,2,1,1,2,0,0,0,80,327.0,159.0,3,1,0,100.0,23_24,4,01/09/2023,1,"[{'intercepciones': [2, 51.0]}, {'amarillas': [7, 11.0]}]"
Sergio Akieme,ESP,25,DF,15,almeria,celta,1,90,1,0,0.5,0.0,2,1,1,72,88.9,0,0,0.0,0.0,0.0,8,1,2,0,1,0,0,0,1,4,1,3,58,157.0,47.0,0,0,0,0.0,23_24,4,01/09/2023,1,[]
Kaiky,BRA,19,DF,2,almeria,celta,1,90,0,0,0.0,0.0,0,0,0,69,97.1,0,0,0.0,0.0,0.0,2,1,1,0,1,0,0,0,3,0,0,0,57,336.0,268.0,1,2,1,66.7,23_24,4,01/09/2023,1,[]
Chumi,ESP,24,DF,21,almeria,celta,1,90,0,0,0.0,0.1,0,0,0,81,95.1,0,0,0.0,0.0,0.0,2,2,1,0,0,1,0,1,2,0,0,0,69,385.0,243.0,0,1,0,100.0,23_24,4,01/09/2023,1,[]
Marc Pubill,ESP,20,DF,18,almeria,celta,1,87,0,0,0.0,0.0,1,1,0,59,81.4,1,0,0.0,0.0,0.0,0,7,7,0,2,2,2,0,5,1,1,0,38,172.0,104.0,2,1,0,100.0,23_24,4,01/09/2023,1,[]
Alejandro Pozo Pozo,ESP,24,DF,17,almeria,celta,0,3,0,0,0.0,0.0,0,0,0,16,62.5,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,10,79.0,63.0,2,0,0,0.0,23_24,4,01/09/2023,1,[]
Luís Maximiano,POR,24,PT,25,almeria,celta,1,90,0,0,0.0,0.0,0,0,0,28,75.0,0,0,3.0,57.1,2.3,4,0,0,0,0,0,0,0,1,0,0,0,17,77.0,62.0,0,0,0,0.0,23_24,4,01/09/2023,1,"[{'paradas': [4, 111.0]}]"
Iago Aspas,ESP,36,DT,10,celta,almeria,1,88,0,1,0.5,0.5,4,3,1,39,76.9,0,0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,1,4,3,1,31,143.0,60.0,2,0,0,0.0,23_24,4,01/09/2023,0,"[{'asistencias': [3, 10.0]}, {'asistencias_90': [8, 0.33]}, {'penaltis_marcados': [7, 3.0]}, {'pases_clave': [2, 90.0]}, {'corners': [6, 94.0]}, {'rojas': [10, 1.0]}]"
Anastasios Douvikas,GRE,24,DT,12,celta,almeria,0,2,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,3,50.0,2.0,0,0,2,0.0,23_24,4,01/09/2023,0,"[{'goles_por_tiro': [5, 0.27]}, {'apariciones_suplente': [2, 25.0]}]"
Jonathan Bamba,CIV,27,MC,17,celta,almeria,1,89,0,0,0.1,0.3,1,1,0,30,76.7,0,0,0.0,0.0,0.0,4,1,0,0,0,0,0,0,0,8,3,5,33,244.0,146.0,5,0,0,0.0,23_24,4,01/09/2023,0,[]
Renato Tapia,PER,28,MC,5,celta,almeria,0,1,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,2,15.0,12.0,1,0,1,0.0,23_24,4,01/09/2023,0,"[{'rojas': [10, 1.0]}]"
Luca de la Torre,USA,25,MC,14,celta,almeria,1,90,0,0,0.1,0.1,2,1,1,37,89.2,0,0,0.0,0.0,0.0,2,2,1,0,0,2,1,1,2,0,0,0,33,201.0,125.0,4,1,2,33.3,23_24,4,01/09/2023,0,"[{'rojas': [10, 1.0]}]"
Fran Beltrán,ESP,24,MC,8,celta,almeria,1,90,0,0,0.0,0.0,0,0,0,38,76.3,0,0,0.0,0.0,0.0,3,0,4,0,4,1,0,1,0,1,0,1,31,101.0,17.0,0,0,1,0.0,23_24,4,01/09/2023,0,[]
Jørgen Strand Larsen,NOR,23,MC,18,celta,almeria,1,69,1,0,0.3,0.0,3,2,1,13,69.2,0,0,0.0,0.0,0.0,8,2,1,0,1,1,0,1,0,3,2,1,18,49.0,13.0,0,0,1,0.0,23_24,4,01/09/2023,0,"[{'tiros_puerta': [6, 35.0]}, {'faltas_cometidas': [6, 65.0]}]"
Williot Swedberg,SWE,19,MC,19,celta,almeria,0,21,1,0,0.2,0.0,1,0,1,9,66.7,0,0,0.0,0.0,0.0,9,1,1,0,0,0,0,0,1,0,0,0,10,43.0,16.0,1,1,1,50.0,23_24,4,01/09/2023,0,"[{'asistencias_90': [6, 0.33]}]"
Manu Sánchez,ESP,23,DF,23,celta,almeria,1,90,0,1,0.0,0.3,0,0,0,59,79.7,1,0,0.0,0.0,0.0,7,2,2,0,2,0,0,0,8,2,1,1,45,377.0,154.0,5,0,1,0.0,23_24,4,01/09/2023,0,"[{'entradas': [7, 83.0]}, {'rojas': [8, 1.0]}, {'faltas_cometidas': [6, 56.0]}]"
Carlos Dominguez,ESP,22,DF,28,celta,almeria,1,88,0,0,0.0,0.0,0,0,0,37,91.9,0,0,0.0,0.0,0.0,2,1,3,0,2,0,0,0,4,0,0,0,31,203.0,143.0,1,0,3,0.0,23_24,4,01/09/2023,0,[]
Joseph Aidoo,GHA,27,DF,15,celta,almeria,0,2,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,1,4.0,1.0,0,0,0,0.0,23_24,4,01/09/2023,0,[]
Carl Starfelt,SWE,28,DF,2,celta,almeria,1,90,0,0,0.1,0.0,1,0,1,27,81.5,0,0,0.0,0.0,0.0,5,1,3,0,2,2,2,0,6,0,0,0,20,62.0,28.0,0,2,0,100.0,23_24,4,01/09/2023,0,"[{'despejes': [1, 159.0]}]"
Unai Núñez,ESP,26,DF,4,celta,almeria,1,90,1,0,0.3,0.0,1,0,1,41,68.3,0,0,0.0,0.0,0.0,11,2,4,0,3,1,0,1,7,1,1,0,32,140.0,89.0,0,2,2,50.0,23_24,4,01/09/2023,0,"[{'intercepciones': [1, 52.0]}, {'despejes': [4, 153.0]}]"
Óscar Mingueza,ESP,24,DF,3,celta,almeria,1,90,0,0,0.0,0.1,1,0,1,42,76.2,0,0,0.0,0.0,0.0,2,6,7,0,1,1,0,1,3,5,0,4,28,207.0,107.0,5,1,1,50.0,23_24,4,01/09/2023,0,"[{'pases_ultimo_tercio': [9, 176.0]}, {'rojas': [8, 1.0]}]"
Iván Villar,ESP,26,PT,13,celta,almeria,1,90,0,0,0.0,0.0,0,0,0,24,54.2,0,0,2.0,60.0,2.3,3,0,0,0,0,0,0,0,0,0,0,0,11,64.0,50.0,0,1,0,100.0,23_24,4,01/09/2023,0,"[{'rojas': [2, 2.0]}]"
