player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Rodrygo,DT,real madrid,getafe,1,90,0,0,0.4,0.0,9,8,1,51,88.2,0,0,0.0,0.0,0.0,4,1,0,0,0,0,0,0,0,4,1,2,61,614.0,352.0,12,1,2,33.3,23_24,4,02/09/2023,1,"[{'tiros_puerta': [6, 35.0]}, {'regates_exitosos': [8, 60.0]}]"
Joselu,DT,real madrid,getafe,1,90,1,0,1.2,0.1,5,2,3,26,84.6,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,20,81.0,15.0,1,1,4,20.0,23_24,4,02/09/2023,1,[]
Jude Bellingham,MC,real madrid,getafe,1,90,1,0,0.7,0.1,1,0,1,57,86.0,0,0,0.0,0.0,0.0,9,0,1,0,1,1,0,1,1,4,1,2,52,246.0,94.0,3,0,2,0.0,23_24,4,02/09/2023,1,"[{'goles': [3, 19.0]}, {'goles_90': [3, 0.74]}, {'tiros_puerta': [8, 34.0]}, {'goles_por_tiro': [2, 0.29]}, {'rojas': [10, 1.0]}, {'faltas_recibidas': [5, 72.0]}]"
Eduardo Camavinga,MC,real madrid,getafe,1,45,0,0,0.0,0.1,1,0,1,45,88.9,0,0,0.0,0.0,0.0,4,1,0,0,0,1,0,1,1,1,1,0,33,168.0,114.0,3,0,0,0.0,23_24,4,02/09/2023,1,"[{'pases_completados_pct': [10, 90.7]}, {'entradas': [8, 76.0]}, {'faltas_recibidas': [8, 68.0]}]"
Toni Kroos,MC,real madrid,getafe,0,45,0,0,0.2,0.3,3,1,2,80,90.0,1,0,0.0,0.0,0.0,3,1,1,0,0,1,0,1,0,0,0,0,57,235.0,113.0,1,0,0,0.0,23_24,4,02/09/2023,1,"[{'asistencias': [7, 8.0]}, {'asistencias_90': [7, 0.34]}, {'pases_clave': [5, 62.0]}, {'pases_completados_pct': [7, 91.5]}, {'pases_ultimo_tercio': [1, 327.0]}, {'corners': [10, 89.0]}]"
Aurélien Tchouaméni,MC,real madrid,getafe,1,79,0,0,0.0,0.0,1,1,0,74,85.1,0,0,0.0,0.0,0.0,5,3,1,0,0,0,0,0,3,0,0,0,60,247.0,90.0,0,5,2,71.4,23_24,4,02/09/2023,1,"[{'pases_completados_pct': [6, 92.3]}, {'pases_ultimo_tercio': [9, 176.0]}, {'intercepciones': [9, 46.0]}]"
Federico Valverde,MC,real madrid,getafe,0,11,0,0,0.1,0.1,1,0,1,14,78.6,0,0,0.0,0.0,0.0,3,1,1,0,0,0,0,0,0,0,0,0,10,117.0,77.0,1,0,0,0.0,23_24,4,02/09/2023,1,"[{'pases_ultimo_tercio': [6, 229.0]}, {'intercepciones': [8, 43.0]}]"
Luka Modrić,MC,real madrid,getafe,1,76,0,0,0.0,0.1,2,0,2,79,87.3,0,0,0.0,0.0,0.0,6,0,1,0,1,1,1,0,0,2,1,1,65,259.0,76.0,0,0,3,0.0,23_24,4,02/09/2023,1,"[{'asistencias_90': [9, 0.32]}, {'pases_clave': [8, 55.0]}]"
Brahim Díaz,MC,real madrid,getafe,0,14,0,0,0.0,0.1,0,0,0,8,100.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,2,1,1,7,25.0,0.0,0,0,1,0.0,23_24,4,02/09/2023,1,"[{'asistencias_90': [5, 0.35]}]"
Fran Garcia,DF,real madrid,getafe,1,45,0,0,0.0,0.6,0,0,0,36,88.9,0,0,0.0,0.0,0.0,5,0,0,0,0,1,0,1,0,1,1,0,30,142.0,78.0,1,0,0,0.0,23_24,4,02/09/2023,1,"[{'asistencias_90': [9, 0.32]}]"
