player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Willian José,DT,betis,rayo,1,75,1,0,0.1,0.0,1,0,1,19,73.7,0,0,0.0,0.0,0.0,9,2,0,0,0,0,0,0,0,0,0,0,8,28.0,2.0,0,0,0,0.0,23_24,4,1
Borja Iglesias,DT,betis,rayo,0,15,0,0,0.1,0.0,2,2,0,5,60.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,4,20.0,10.0,0,0,0,0.0,23_24,4,1
Ayoze Pérez,DT,betis,rayo,1,90,0,0,0.5,0.2,4,3,1,35,80.0,0,0,0.0,0.0,0.0,8,6,1,0,0,6,1,5,1,3,2,1,29,158.0,91.0,3,0,3,0.0,23_24,4,1
Rodri,DT,betis,rayo,1,75,0,0,0.1,0.1,1,0,1,39,74.4,0,0,0.0,0.0,0.0,5,0,1,0,1,0,0,0,0,3,1,2,34,274.0,143.0,5,0,0,0.0,23_24,4,1
Juan Cruz,DT,betis,rayo,0,15,0,0,0.0,0.0,1,1,0,3,100.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,3,21.0,18.0,0,0,0,0.0,23_24,4,1
Isco,MC,betis,rayo,1,89,0,0,0.1,0.2,2,0,2,58,87.9,0,0,0.0,0.0,0.0,8,2,2,0,0,1,0,1,0,5,1,3,48,320.0,122.0,3,0,1,0.0,23_24,4,1
Sergi Altimira,MC,betis,rayo,0,1,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,1,0,1,1,1.0,0.0,0,0,0,0.0,23_24,4,1
Marc Roca,MC,betis,rayo,1,90,0,0,0.0,0.0,0,0,0,53,88.7,1,0,0.0,0.0,0.0,5,2,2,0,0,1,0,1,0,0,0,0,34,234.0,140.0,3,0,0,0.0,23_24,4,1
Guido Rodríguez,MC,betis,rayo,1,45,0,0,0.0,0.2,0,0,0,30,93.3,1,0,0.0,0.0,0.0,2,2,1,0,1,0,0,0,1,0,0,0,17,83.0,54.0,0,0,0,0.0,23_24,4,1
Andrés Guardado,MC,betis,rayo,0,45,0,0,0.0,0.0,0,0,0,29,89.7,0,0,0.0,0.0,0.0,3,4,2,0,0,0,0,0,0,1,0,1,15,78.0,45.0,1,1,1,50.0,23_24,4,1
