player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Gorka Guruzeta,DT,athletic,cadiz,1,67,1,0,0.9,0.0,4,2,2,20,55.0,0,0,0.0,0.0,0.0,10,2,0,0,0,1,0,1,1,1,1,0,17,45.0,7.0,0,3,2,60.0,23_24,5,16/09/2023,1,"[{'goles_90': [9, 0.57]}]"
Asier Villalibre,DT,athletic,cadiz,0,23,1,1,0.3,0.6,1,0,1,8,87.5,0,0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,0,2,1,0,6,27.0,20.0,1,1,0,100.0,23_24,5,16/09/2023,1,[]
Álex Berenguer,DT,athletic,cadiz,1,62,0,0,0.1,0.4,2,1,1,24,58.3,0,0,0.0,0.0,0.0,7,0,1,0,1,0,0,0,1,4,1,3,18,115.0,27.0,1,1,1,50.0,23_24,5,16/09/2023,1,"[{'asistencias': [8, 7.0]}, {'corners': [5, 101.0]}]"
Iker Muniain,DT,athletic,cadiz,0,28,0,0,0.1,0.0,1,1,0,23,82.6,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,2,1,1,21,55.0,29.0,1,1,1,50.0,23_24,5,16/09/2023,1,[]
Iñaki Williams,DT,athletic,cadiz,1,90,1,0,0.8,0.1,6,3,3,41,65.9,0,0,0.0,0.0,0.0,12,1,0,0,0,2,0,2,1,5,2,2,48,255.0,151.0,5,0,2,0.0,23_24,5,16/09/2023,1,"[{'tiros_puerta': [1, 43.0]}]"
Oihan Sancet,MC,athletic,cadiz,1,80,0,0,0.5,0.2,3,2,1,32,81.3,0,0,0.0,0.0,0.0,7,1,1,0,1,1,0,1,0,4,3,1,36,243.0,117.0,4,0,0,0.0,23_24,5,16/09/2023,1,"[{'rojas': [2, 2.0]}]"
Ander Herrera,MC,athletic,cadiz,0,10,0,0,0.0,0.0,0,0,0,10,90.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,8,21.0,7.0,0,0,0,0.0,23_24,5,16/09/2023,1,[]
Iñigo Ruiz de Galarreta,MC,athletic,cadiz,1,80,0,0,0.0,0.2,0,0,0,54,81.5,0,0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,0,0,0,37,185.0,60.0,1,1,1,50.0,23_24,5,16/09/2023,1,"[{'amarillas': [1, 8.0]}, {'faltas_cometidas': [5, 29.0]}]"
Unai Gómez,MC,athletic,cadiz,0,10,0,0,0.0,0.0,0,0,0,5,60.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,6,30.0,9.0,0,1,0,100.0,23_24,5,16/09/2023,1,[]
Mikel Vesga,MC,athletic,cadiz,1,90,0,0,0.0,0.0,1,1,0,46,65.2,0,0,0.0,0.0,0.0,6,2,5,0,3,0,0,0,0,0,0,0,36,137.0,79.0,1,1,3,25.0,23_24,5,16/09/2023,1,"[{'apariciones_suplente': [5, 11.0]}]"
Yuri Berchiche,DF,athletic,cadiz,1,90,0,0,0.0,0.0,1,1,0,69,75.4,0,0,0.0,0.0,0.0,6,1,1,0,1,0,0,0,0,0,0,0,42,112.0,44.0,1,1,3,25.0,23_24,5,16/09/2023,1,[]
Aitor Paredes,DF,athletic,cadiz,1,67,0,0,0.2,0.0,1,1,0,50,80.0,1,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,1,0,1,40,260.0,152.0,2,0,1,0.0,23_24,5,16/09/2023,1,"[{'rojas': [10, 1.0]}]"
Yeray Álvarez,DF,athletic,cadiz,0,23,0,0,0.0,0.0,0,0,0,10,60.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,6,21.0,13.0,0,0,1,0.0,23_24,5,16/09/2023,1,"[{'rojas': [10, 1.0]}]"
Daniel Vivian,DF,athletic,cadiz,1,90,0,0,0.0,0.0,0,0,0,52,86.5,0,0,0.0,0.0,0.0,8,0,0,0,0,2,1,1,2,1,1,0,36,207.0,113.0,0,0,1,0.0,23_24,5,16/09/2023,1,"[{'goles_por_tiro': [7, 0.22]}, {'intercepciones': [7, 47.0]}]"
Óscar de Marcos,DF,athletic,cadiz,1,90,0,1,0.0,0.5,0,0,0,80,78.8,0,0,0.0,0.0,0.0,11,1,2,0,1,1,0,1,0,0,0,0,50,256.0,184.0,6,0,1,0.0,23_24,5,16/09/2023,1,"[{'centros_area': [2, 26.0]}]"
