player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Iago Aspas,ESP,36,DT,10,celta,mallorca,1,90,0,0,0.2,0.8,2,2,0,59,59.3,0,0,0.0,0.0,0.0,10,0,2,0,2,2,1,1,0,0,0,0,40,198.0,74.0,2,0,2,0.0,23_24,5,16/09/2023,1,"[{'asistencias': [3, 10.0]}, {'asistencias_90': [8, 0.33]}, {'penaltis_marcados': [7, 3.0]}, {'pases_clave': [2, 90.0]}, {'corners': [6, 94.0]}, {'rojas': [10, 1.0]}]"
Jonathan Bamba,CIV,27,DT,17,celta,mallorca,1,90,0,0,0.4,0.1,1,0,1,41,82.9,0,0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,3,1,1,41,228.0,107.0,4,0,1,0.0,23_24,5,16/09/2023,1,[]
Jørgen Strand Larsen,NOR,23,DT,18,celta,mallorca,1,66,0,0,0.0,0.0,1,1,0,14,85.7,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,2,1,1,19,79.0,32.0,2,2,0,100.0,23_24,5,16/09/2023,1,"[{'tiros_puerta': [6, 35.0]}, {'faltas_cometidas': [6, 65.0]}]"
Anastasios Douvikas,GRE,24,DT,12,celta,mallorca,0,24,0,0,0.2,0.0,2,1,1,2,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,5,13.0,1.0,0,1,1,50.0,23_24,5,16/09/2023,1,"[{'goles_por_tiro': [5, 0.27]}, {'apariciones_suplente': [2, 25.0]}]"
Mihailo Ristić,SRB,27,MC,21,celta,mallorca,1,90,0,0,0.0,0.0,1,1,0,68,73.5,0,0,0.0,0.0,0.0,2,1,1,0,0,2,0,2,1,2,0,1,57,371.0,198.0,5,1,1,50.0,23_24,5,16/09/2023,1,[]
Luca de la Torre,USA,25,MC,14,celta,mallorca,1,76,0,0,0.0,0.1,0,0,0,24,83.3,1,0,0.0,0.0,0.0,5,2,0,0,0,0,0,0,0,1,0,1,21,87.0,25.0,2,0,3,0.0,23_24,5,16/09/2023,1,"[{'rojas': [10, 1.0]}]"
Hugo Sotelo,ESP,19,MC,30,celta,mallorca,0,14,0,0,0.0,0.0,0,0,0,13,84.6,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,10,76.0,61.0,3,0,0,0.0,23_24,5,16/09/2023,1,[]
Fran Beltrán,ESP,24,MC,8,celta,mallorca,1,88,0,0,0.1,0.0,3,2,1,54,92.6,0,0,0.0,0.0,0.0,4,1,2,0,2,1,0,1,1,0,0,0,46,267.0,167.0,3,1,1,50.0,23_24,5,16/09/2023,1,[]
Miguel Rodríguez,ESP,20,MC,29,celta,mallorca,0,2,0,0,0.0,0.0,0,0,0,7,71.4,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,0,1,7,42.0,13.0,0,0,0,0.0,23_24,5,16/09/2023,1,[]
Óscar Mingueza,ESP,24,MC,3,celta,mallorca,1,90,0,0,0.0,0.1,0,0,0,65,73.8,0,0,0.0,0.0,0.0,3,1,1,0,0,0,0,0,1,1,0,0,44,140.0,101.0,1,1,0,100.0,23_24,5,16/09/2023,1,"[{'pases_ultimo_tercio': [9, 176.0]}, {'rojas': [8, 1.0]}]"
Carlos Dominguez,ESP,22,DF,28,celta,mallorca,1,88,0,0,0.0,0.0,1,1,0,61,78.7,0,0,0.0,0.0,0.0,5,1,1,0,0,0,0,0,3,1,1,0,46,184.0,117.0,0,3,3,50.0,23_24,5,16/09/2023,1,[]
Renato Tapia,PER,28,MC,5,celta,mallorca,0,2,0,0,0.0,0.0,1,1,0,11,63.6,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,7,45.0,31.0,0,0,1,0.0,23_24,5,16/09/2023,1,"[{'rojas': [10, 1.0]}]"
Carl Starfelt,SWE,28,DF,2,celta,mallorca,1,90,0,0,0.1,0.0,1,1,0,58,87.9,0,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,4,0,0,0,37,125.0,50.0,0,3,3,50.0,23_24,5,16/09/2023,1,"[{'despejes': [1, 159.0]}]"
Unai Núñez,ESP,26,DF,4,celta,mallorca,1,90,0,0,0.2,0.0,3,2,1,71,85.9,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,2,0,0,0,56,272.0,178.0,0,3,3,50.0,23_24,5,16/09/2023,1,"[{'intercepciones': [1, 52.0]}, {'despejes': [4, 153.0]}]"
Iván Villar,ESP,26,PT,13,celta,mallorca,1,90,0,0,0.0,0.0,0,0,0,29,75.9,0,0,1.0,66.7,1.3,7,0,0,0,0,0,0,0,1,0,0,0,25,96.0,73.0,0,0,0,0.0,23_24,5,16/09/2023,1,"[{'rojas': [2, 2.0]}]"
Vedat Muriqi,KVX,29,DT,7,mallorca,celta,1,89,1,0,0.6,0.0,2,1,1,19,47.4,0,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,2,1,1,0,15,17.0,0.0,0,7,6,53.8,23_24,5,16/09/2023,0,"[{'rojas': [2, 2.0]}]"
Amath,SEN,27,DT,23,mallorca,celta,0,1,0,0,0.1,0.0,1,1,0,0,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,1,0,0,0,1,8.0,2.0,0,0,0,0.0,23_24,5,16/09/2023,0,[]
Sergi Darder,ESP,29,MC,10,mallorca,celta,1,90,0,0,0.0,0.0,0,0,0,27,70.4,0,0,0.0,0.0,0.0,7,1,1,0,1,1,0,1,2,3,3,0,21,149.0,61.0,1,1,0,100.0,23_24,5,16/09/2023,0,"[{'corners': [9, 32.0]}]"
Samu Costa,POR,22,MC,12,mallorca,celta,1,90,0,0,0.0,0.0,1,0,1,51,82.4,0,0,0.0,0.0,0.0,5,4,2,0,0,3,2,1,0,0,0,0,44,212.0,82.0,1,0,1,0.0,23_24,5,16/09/2023,0,"[{'entradas': [3, 91.0]}, {'faltas_cometidas': [9, 62.0]}]"
Manu Morlanes,ESP,24,MC,8,mallorca,celta,1,75,0,0,0.0,0.0,0,0,0,31,93.5,0,0,0.0,0.0,0.0,8,1,0,0,0,0,0,0,2,1,1,0,25,130.0,38.0,1,2,0,100.0,23_24,5,16/09/2023,0,"[{'rojas': [2, 1.0]}]"
Cyle Larin,CAN,28,MC,17,mallorca,celta,0,15,0,0,0.0,0.1,1,0,1,7,85.7,0,0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,2,0,0,0,8,9.0,2.0,0,1,1,50.0,23_24,5,16/09/2023,0,[]
Dani Rodríguez,ESP,35,MC,14,mallorca,celta,1,89,0,1,0.0,0.6,1,1,0,22,81.8,1,0,0.0,0.0,0.0,9,1,0,0,0,2,0,2,0,2,1,1,16,31.0,10.0,0,1,1,50.0,23_24,5,16/09/2023,0,"[{'corners': [9, 90.0]}]"
Antonio Sánchez,ESP,26,MC,18,mallorca,celta,0,1,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,23_24,5,16/09/2023,0,"[{'apariciones_suplente': [6, 21.0]}]"
Toni Lato,ESP,25,DF,3,mallorca,celta,1,75,0,0,0.0,0.0,1,1,0,38,76.3,0,0,0.0,0.0,0.0,5,3,0,0,0,1,0,1,0,1,0,1,21,68.0,35.0,2,1,1,50.0,23_24,5,16/09/2023,0,"[{'rojas': [8, 1.0]}]"
Jaume Costa,ESP,35,DF,11,mallorca,celta,0,15,0,0,0.0,0.0,0,0,0,9,88.9,1,0,0.0,0.0,0.0,0,1,1,0,0,1,0,1,0,0,0,0,4,22.0,16.0,0,0,0,0.0,23_24,5,16/09/2023,0,[]
Siebe Van Der Heyden,BEL,25,DF,4,mallorca,celta,1,89,0,0,0.0,0.0,0,0,0,33,78.8,0,0,0.0,0.0,0.0,8,4,3,0,1,1,1,0,4,0,0,0,19,87.0,30.0,0,2,2,50.0,23_24,5,16/09/2023,0,"[{'rojas': [10, 1.0]}]"
Giovanni González,URU,28,DF,20,mallorca,celta,0,1,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,23_24,5,16/09/2023,0,"[{'entradas': [9, 73.0]}]"
Matija Nastasić,SRB,30,DF,2,mallorca,celta,1,90,0,0,0.0,0.0,0,0,0,28,85.7,1,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,10,0,0,0,16,47.0,14.0,0,0,1,0.0,23_24,5,16/09/2023,0,"[{'despejes': [10, 165.0]}]"
Martin Valjent,SVK,27,DF,24,mallorca,celta,1,90,0,0,0.0,0.0,0,0,0,37,83.8,0,0,0.0,0.0,0.0,8,0,0,0,0,1,0,1,4,0,0,0,27,103.0,36.0,0,1,1,50.0,23_24,5,16/09/2023,0,"[{'despejes': [7, 195.0]}]"
Pablo Maffeo,ESP,26,DF,15,mallorca,celta,1,90,0,0,0.0,0.0,0,0,0,43,72.1,0,0,0.0,0.0,0.0,7,1,1,0,1,0,0,0,5,2,0,1,27,67.0,19.0,0,2,1,66.7,23_24,5,16/09/2023,0,"[{'rojas': [10, 1.0]}]"
Predrag Rajković,SRB,27,PT,1,mallorca,celta,1,90,0,0,0.0,0.0,0,0,0,37,54.1,0,0,0.0,100.0,1.7,12,0,0,0,0,0,0,0,0,0,0,0,19,136.0,60.0,0,1,0,100.0,23_24,5,16/09/2023,0,"[{'paradas': [10, 95.0]}]"
