player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Ante Budimir,DT,osasuna,sevilla,1,84,0,0,0.1,0.2,1,0,1,10,50.0,1,0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,3,0,3,12,63.0,28.0,2,2,7,22.2,23_24,6,1
Rubén García,DT,osasuna,sevilla,0,6,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,2,26.0,14.0,1,0,0,0.0,23_24,6,1
Johan Mojica,DT,osasuna,sevilla,1,67,0,0,0.1,0.5,2,2,0,25,72.0,0,0,0.0,0.0,0.0,8,0,0,0,0,5,0,5,0,3,0,3,21,188.0,82.0,5,0,1,0.0,23_24,6,1
Kike Barja,DT,osasuna,sevilla,0,23,0,0,0.0,0.0,1,0,1,12,41.7,0,0,0.0,0.0,0.0,3,0,1,0,1,1,1,0,0,3,2,1,14,112.0,61.0,3,1,0,100.0,23_24,6,1
Ezequiel Ávila,DT,osasuna,sevilla,1,84,0,0,0.7,0.2,4,4,0,27,44.4,0,0,0.0,0.0,0.0,3,0,1,0,1,1,0,1,1,1,0,1,23,80.0,33.0,1,1,5,16.7,23_24,6,1
Raúl,DT,osasuna,sevilla,0,6,0,0,0.0,0.0,0,0,0,3,33.3,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0,0,2,0.0,23_24,6,1
Aimar Oroz,MC,osasuna,sevilla,1,90,0,0,0.2,0.0,2,2,0,36,83.3,0,0,0.0,0.0,0.0,6,2,0,0,0,2,0,2,0,4,1,3,29,120.0,56.0,1,2,2,50.0,23_24,6,1
Lucas Torró,MC,osasuna,sevilla,1,90,0,0,0.2,0.0,3,3,0,33,48.5,1,0,0.0,0.0,0.0,4,0,1,0,1,2,0,2,4,0,0,0,10,36.0,10.0,0,9,4,69.2,23_24,6,1
Iker Muñoz,MC,osasuna,sevilla,1,67,0,0,0.0,0.0,0,0,0,32,46.9,0,0,0.0,0.0,0.0,5,3,0,0,0,1,1,0,2,2,1,1,17,91.0,45.0,1,4,1,80.0,23_24,6,1
Moi Gómez,MC,osasuna,sevilla,0,23,0,0,0.0,0.0,1,1,0,12,75.0,0,0,0.0,0.0,0.0,2,0,1,0,1,1,0,1,0,0,0,0,8,57.0,48.0,2,1,0,100.0,23_24,6,1
Juan Cruz Armada,DF,osasuna,sevilla,1,90,0,0,0.0,0.0,0,0,0,42,57.1,0,0,0.0,0.0,0.0,5,2,3,0,1,0,0,0,1,2,0,2,23,100.0,60.0,1,0,1,0.0,23_24,6,1
David García,DF,osasuna,sevilla,1,90,0,0,0.0,0.0,0,0,0,30,63.3,0,0,0.0,0.0,0.0,8,0,1,0,1,0,0,0,6,0,0,0,12,43.0,31.0,0,3,3,50.0,23_24,6,1
Catena,DF,osasuna,sevilla,1,90,0,0,0.0,0.0,0,0,0,30,56.7,0,0,0.0,0.0,0.0,9,1,1,0,0,0,0,0,8,2,0,2,13,37.0,13.0,0,3,0,100.0,23_24,6,1
