player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Robert Lewandowski,DT,barcelona,celta,1,90,2,0,0.8,0.0,3,1,2,14,64.3,0,0,0.0,0.0,0.0,11,0,0,0,0,0,0,0,1,0,0,0,15,38.0,9.0,0,0,1,0.0
João Félix,DT,barcelona,celta,1,90,0,1,0.2,0.6,2,2,0,41,80.5,0,0,0.0,0.0,0.0,7,1,2,0,2,1,0,1,0,4,1,3,38,253.0,156.0,5,0,0,0.0
Ferrán Torres,DT,barcelona,celta,1,71,0,0,0.2,0.0,3,3,0,47,78.7,0,0,0.0,0.0,0.0,4,0,0,0,0,1,0,1,0,1,1,0,37,212.0,74.0,2,0,0,0.0
Raphinha,MC,barcelona,celta,0,19,0,0,0.0,0.0,0,0,0,21,81.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,1,16,69.0,17.0,0,0,0,0.0
Frenkie de Jong,MC,barcelona,celta,1,35,0,0,0.0,0.0,0,0,0,39,100.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,35,183.0,89.0,1,0,0,0.0
Gavi,MC,barcelona,celta,0,55,0,1,0.0,0.4,0,0,0,73,91.8,1,0,0.0,0.0,0.0,8,1,5,0,4,0,0,0,0,1,1,0,65,360.0,221.0,2,1,1,50.0
Oriol Romeu,MC,barcelona,celta,1,45,0,0,0.0,0.0,0,0,0,58,87.9,0,0,0.0,0.0,0.0,4,1,0,0,0,1,1,0,3,0,0,0,44,189.0,107.0,1,2,0,100.0
Ronald Araújo,DF,barcelona,celta,0,45,0,0,0.0,0.0,1,0,1,45,93.3,0,0,0.0,0.0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,34,140.0,78.0,0,0,2,0.0
İlkay Gündoğan,MC,barcelona,celta,1,90,0,0,0.0,0.2,1,1,0,63,85.7,0,0,0.0,0.0,0.0,3,1,1,0,0,1,0,1,0,0,0,0,34,134.0,37.0,0,0,1,0.0
Marcos Alonso,DF,barcelona,celta,1,45,0,0,0.0,0.0,2,1,1,51,90.2,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,1,2,1,1,46,272.0,135.0,3,1,0,100.0
Lamine Yamal,MC,barcelona,celta,0,45,0,0,0.0,0.0,0,0,0,13,92.3,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,15,93.0,58.0,2,0,1,0.0
Andreas Christensen,DF,barcelona,celta,1,59,0,0,0.0,0.0,0,0,0,67,97.0,1,0,0.0,0.0,0.0,1,0,1,0,1,1,1,0,0,0,0,0,58,253.0,131.0,0,0,0,0.0
Alejandro Balde,DF,barcelona,celta,0,31,0,0,0.0,0.0,1,0,1,31,96.8,0,0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,1,1,0,28,211.0,160.0,6,0,1,0.0
Jules Koundé,DF,barcelona,celta,1,90,0,0,0.0,0.0,0,0,0,143,95.8,0,0,0.0,0.0,0.0,3,0,0,0,0,1,0,1,0,0,0,0,111,712.0,523.0,6,5,2,71.4
João Cancelo,DF,barcelona,celta,1,90,1,1,0.4,0.3,2,1,1,115,80.9,0,0,0.0,0.0,0.0,14,4,4,0,0,0,0,0,4,3,2,1,91,405.0,207.0,2,4,1,80.0
MarcAndré ter Stegen,PT,barcelona,celta,1,90,0,0,0.0,0.0,0,0,0,37,94.6,0,0,2.0,71.4,2.2,6,0,0,0,0,0,0,0,0,0,0,0,23,94.0,73.0,0,0,0,0.0
Jørgen Strand Larsen,DT,celta,barcelona,1,65,1,0,0.1,0.1,2,0,2,10,100.0,0,0,0.0,0.0,0.0,10,0,2,0,2,0,0,0,0,2,1,1,10,49.0,44.0,3,1,2,33.3
Anastasios Douvikas,DT,celta,barcelona,0,25,1,0,0.4,0.0,1,0,1,6,83.3,0,0,0.0,0.0,0.0,5,1,0,0,0,1,0,1,0,0,0,0,4,32.0,30.0,0,3,1,75.0
Iago Aspas,DT,celta,barcelona,1,77,0,1,0.3,0.5,3,2,1,38,60.5,0,0,0.0,0.0,0.0,9,0,0,0,0,1,0,1,0,0,0,0,26,117.0,65.0,2,0,1,0.0
Williot Swedberg,DT,celta,barcelona,0,13,0,0,0.0,0.0,0,0,0,6,83.3,0,0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,1,1,0,5,11.0,1.0,0,1,0,100.0
Luca de la Torre,MC,celta,barcelona,1,90,0,1,0.3,0.1,2,2,0,24,75.0,0,0,0.0,0.0,0.0,6,2,1,0,0,1,1,0,1,2,1,1,14,173.0,126.0,5,0,4,0.0
Fran Beltrán,MC,celta,barcelona,1,90,0,0,0.0,0.0,1,1,0,25,100.0,0,0,0.0,0.0,0.0,3,1,2,0,1,0,0,0,1,1,0,1,17,96.0,30.0,0,0,0,0.0
Jonathan Bamba,MC,celta,barcelona,1,89,0,0,0.1,0.4,2,0,2,29,89.7,0,0,0.0,0.0,0.0,5,0,1,0,1,1,0,1,0,4,3,1,26,146.0,123.0,6,0,0,0.0
Carlos Dotor,MC,celta,barcelona,0,1,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,12.0,11.0,1,0,0,0.0
Mihailo Ristić,DF,celta,barcelona,1,90,0,0,0.0,0.0,0,0,0,29,55.2,0,0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,4,2,0,2,16,90.0,45.0,2,3,1,75.0
Carlos Dominguez,DF,celta,barcelona,1,90,0,0,0.0,0.0,0,0,0,21,52.4,0,0,0.0,0.0,0.0,1,1,0,0,0,1,1,0,5,0,0,0,14,33.0,4.0,0,0,1,0.0
Carl Starfelt,DF,celta,barcelona,1,90,0,0,0.0,0.0,0,0,0,16,75.0,0,0,0.0,0.0,0.0,4,2,1,0,0,1,0,1,7,0,0,0,6,29.0,11.0,0,2,0,100.0
