player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Gorka Guruzeta,ESP,27,DT,12,athletic,getafe,1,64,0,0,0.5,0.0,2,1,1,16,75.0,1,0,0.0,0.0,0.0,4,1,1,0,0,0,0,0,0,0,0,0,15,78.0,17.0,0,0,0,0.0,23_24,7,27/09/2023,1,"[{'goles_90': [9, 0.57]}]"
Raúl García,ESP,37,DT,22,athletic,getafe,0,26,0,0,0.0,0.0,0,0,0,7,42.9,1,0,0.0,0.0,0.0,0,1,4,0,3,1,0,1,0,0,0,0,2,17.0,1.0,0,3,1,75.0,23_24,7,27/09/2023,1,[]
Álex Berenguer,ESP,28,DT,7,athletic,getafe,1,84,0,1,0.0,0.0,1,1,0,29,69.0,0,0,0.0,0.0,0.0,8,2,0,0,0,1,0,1,2,2,2,0,19,163.0,92.0,4,1,2,33.3,23_24,7,27/09/2023,1,"[{'asistencias': [8, 7.0]}, {'corners': [5, 101.0]}]"
Iker Muniain,ESP,30,DT,10,athletic,getafe,0,6,0,0,0.0,0.0,0,0,0,7,85.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,4,22.0,15.0,0,0,0,0.0,23_24,7,27/09/2023,1,[]
Iñaki Williams,GHA,29,DT,9,athletic,getafe,1,90,1,0,0.2,0.5,2,1,1,41,73.2,1,0,0.0,0.0,0.0,10,1,1,0,0,2,0,2,4,4,2,1,34,259.0,134.0,9,2,0,100.0,23_24,7,27/09/2023,1,"[{'tiros_puerta': [1, 43.0]}]"
Oihan Sancet,ESP,23,MC,8,athletic,getafe,1,44,0,0,0.0,0.0,1,1,0,16,81.3,0,1,0.0,0.0,0.0,0,1,2,0,1,0,0,0,0,4,2,1,17,114.0,67.0,3,2,0,100.0,23_24,7,27/09/2023,1,"[{'rojas': [2, 2.0]}]"
Ander Herrera,ESP,34,MC,21,athletic,getafe,1,81,0,0,0.0,0.0,1,0,1,56,82.1,0,0,0.0,0.0,0.0,7,4,1,0,0,3,1,2,3,1,0,0,36,163.0,43.0,0,2,0,100.0,23_24,7,27/09/2023,1,[]
Beñat Prados,ESP,22,MC,24,athletic,getafe,0,9,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,2,3.0,0.0,0,1,0,100.0,23_24,7,27/09/2023,1,[]
Mikel Vesga,ESP,30,MC,6,athletic,getafe,1,64,0,0,0.0,0.0,0,0,0,27,70.4,0,0,0.0,0.0,0.0,5,1,0,0,0,1,0,1,5,0,0,0,10,73.0,39.0,1,1,0,100.0,23_24,7,27/09/2023,1,"[{'apariciones_suplente': [5, 11.0]}]"
Dani García,ESP,33,MC,14,athletic,getafe,0,26,0,0,0.0,0.0,0,0,0,6,66.7,0,0,0.0,0.0,0.0,1,0,1,0,1,1,0,1,1,0,0,0,6,16.0,8.0,0,0,1,0.0,23_24,7,27/09/2023,1,[]
