player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Jørgen Strand Larsen,NOR,23,DT,18,celta,alaves,1,55,0,0,0.0,0.0,0,0,0,11,90.9,1,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,1,2,2,0,10,32.0,16.0,1,1,2,33.3,23_24,7,28/09/2023,1,"[{'tiros_puerta': [6, 35.0]}, {'faltas_cometidas': [6, 65.0]}]"
Carles Pérez,ESP,25,DT,7,celta,alaves,0,35,0,0,0.1,0.0,1,1,0,10,80.0,1,0,0.0,0.0,0.0,0,2,4,0,2,0,0,0,0,2,1,0,6,31.0,4.0,0,1,1,50.0,23_24,7,28/09/2023,1,[]
Iago Aspas,ESP,36,DT,10,celta,alaves,1,62,0,0,0.0,0.1,1,1,0,26,80.8,1,0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,0,1,1,0,15,95.0,49.0,2,0,3,0.0,23_24,7,28/09/2023,1,"[{'asistencias': [3, 10.0]}, {'asistencias_90': [8, 0.33]}, {'penaltis_marcados': [7, 3.0]}, {'pases_clave': [2, 90.0]}, {'corners': [6, 94.0]}, {'rojas': [10, 1.0]}]"
Anastasios Douvikas,GRE,24,DT,12,celta,alaves,0,28,0,0,0.0,0.0,0,0,0,7,57.1,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,2,1,0,1,4,14.0,0.0,0,3,2,60.0,23_24,7,28/09/2023,1,"[{'goles_por_tiro': [5, 0.27]}, {'apariciones_suplente': [2, 25.0]}]"
Jonathan Bamba,CIV,27,MC,17,celta,alaves,1,73,0,0,0.1,0.3,1,1,0,28,82.1,0,0,0.0,0.0,0.0,3,0,0,0,0,2,0,2,0,1,0,1,22,149.0,67.0,4,0,1,0.0,23_24,7,28/09/2023,1,[]
Carlos Dotor,ESP,22,MC,6,celta,alaves,0,17,0,0,0.0,0.0,0,0,0,7,100.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,5,7.0,3.0,0,0,0,0.0,23_24,7,28/09/2023,1,[]
Luca de la Torre,USA,25,MC,14,celta,alaves,1,67,0,0,0.0,0.1,1,1,0,32,84.4,2,1,0.0,0.0,0.0,2,0,1,0,1,2,0,2,0,0,0,0,25,124.0,64.0,2,1,3,25.0,23_24,7,28/09/2023,1,"[{'rojas': [10, 1.0]}]"
Fran Beltrán,ESP,24,MC,8,celta,alaves,1,62,0,0,0.0,0.0,1,1,0,35,88.6,1,0,0.0,0.0,0.0,5,1,3,0,2,0,0,0,1,2,2,0,20,100.0,43.0,0,1,0,100.0,23_24,7,28/09/2023,1,[]
Renato Tapia,PER,28,MC,5,celta,alaves,0,28,0,0,0.0,0.0,0,0,0,10,80.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,1,0,0,0,3,19.0,9.0,0,1,0,100.0,23_24,7,28/09/2023,1,"[{'rojas': [10, 1.0]}]"
Mihailo Ristić,SRB,27,DF,21,celta,alaves,1,90,0,0,0.0,0.0,0,0,0,54,83.3,0,0,0.0,0.0,0.0,5,1,1,0,0,2,1,1,3,5,0,3,29,180.0,75.0,3,0,1,0.0,23_24,7,28/09/2023,1,[]
Unai Núñez,ESP,26,DF,4,celta,alaves,1,90,0,0,0.0,0.0,1,1,0,65,73.8,0,0,0.0,0.0,0.0,2,2,3,0,1,2,1,1,2,0,0,0,42,225.0,158.0,0,1,1,50.0,23_24,7,28/09/2023,1,"[{'intercepciones': [1, 52.0]}, {'despejes': [4, 153.0]}]"
Carl Starfelt,SWE,28,DF,2,celta,alaves,1,90,0,0,0.0,0.0,0,0,0,34,91.2,0,0,0.0,0.0,0.0,6,1,1,0,0,2,1,1,7,0,0,0,26,130.0,64.0,1,1,2,33.3,23_24,7,28/09/2023,1,"[{'despejes': [1, 159.0]}]"
Joseph Aidoo,GHA,27,DF,15,celta,alaves,1,90,0,0,0.0,0.0,0,0,0,31,80.6,0,0,0.0,0.0,0.0,6,3,1,0,1,2,1,1,7,0,0,0,22,89.0,56.0,1,1,0,100.0,23_24,7,28/09/2023,1,[]
Óscar Mingueza,ESP,24,DF,3,celta,alaves,1,90,0,0,0.3,0.0,2,2,0,44,61.4,0,0,0.0,0.0,0.0,4,1,4,0,3,2,1,1,5,5,2,2,29,128.0,62.0,1,1,1,50.0,23_24,7,28/09/2023,1,"[{'pases_ultimo_tercio': [9, 176.0]}, {'rojas': [8, 1.0]}]"
Iván Villar,ESP,26,PT,13,celta,alaves,1,90,0,0,0.0,0.0,0,0,0,34,52.9,0,0,1.0,88.9,1.7,8,0,0,0,0,0,0,0,2,0,0,0,13,73.0,47.0,0,0,0,0.0,23_24,7,28/09/2023,1,"[{'rojas': [2, 2.0]}]"
Samu Omorodion,ESP,19,DT,32,alaves,celta,1,90,1,0,1.6,0.2,6,4,2,10,80.0,0,0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,0,3,2,0,16,100.0,63.0,3,2,4,33.3,23_24,7,28/09/2023,0,[]
Abde Rebbach,ALG,25,DT,21,alaves,celta,1,61,0,0,0.1,0.2,2,1,1,18,66.7,0,0,0.0,0.0,0.0,1,0,3,0,3,0,0,0,1,4,1,2,11,56.0,34.0,1,1,0,100.0,23_24,7,28/09/2023,0,[]
Luis Rioja,ESP,29,DT,11,alaves,celta,0,29,0,0,0.0,0.0,0,0,0,18,72.2,1,0,0.0,0.0,0.0,1,2,1,0,0,0,0,0,1,1,0,1,14,85.0,71.0,3,1,1,50.0,23_24,7,28/09/2023,0,"[{'penaltis_marcados': [7, 3.0]}, {'centros_area': [10, 19.0]}]"
Alex Sola,ESP,24,DT,7,alaves,celta,1,68,0,0,0.1,0.0,3,1,2,26,69.2,0,0,0.0,0.0,0.0,6,1,1,0,0,1,0,1,2,4,2,1,24,104.0,61.0,1,1,0,100.0,23_24,7,28/09/2023,0,[]
Xeber,ESP,26,DT,17,alaves,celta,0,22,0,0,0.0,0.0,0,0,0,13,69.2,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,1,1,9,40.0,21.0,1,0,0,0.0,23_24,7,28/09/2023,0,[]
Ianis Hagi,ROU,24,MC,10,alaves,celta,1,68,0,0,0.4,0.0,5,4,1,23,78.3,0,0,0.0,0.0,0.0,5,1,1,0,0,0,0,0,0,2,0,0,20,64.0,19.0,0,0,2,0.0,23_24,7,28/09/2023,0,[]
Kiké,ESP,33,MC,15,alaves,celta,0,22,0,0,0.0,0.0,1,0,1,4,100.0,0,0,0.0,0.0,0.0,1,0,1,0,1,1,1,0,0,0,0,0,5,15.0,9.0,0,0,1,0.0,23_24,7,28/09/2023,0,"[{'goles': [9, 13.0]}, {'penaltis_marcados': [10, 3.0]}, {'rojas': [8, 1.0]}]"
Ander Guevara,ESP,26,MC,6,alaves,celta,1,90,0,0,0.0,0.0,0,0,0,68,83.8,0,0,0.0,0.0,0.0,4,3,2,0,1,0,0,0,0,3,1,2,37,131.0,78.0,2,1,2,33.3,23_24,7,28/09/2023,0,[]
Jon Guridi,ESP,28,MC,18,alaves,celta,1,62,0,0,0.0,0.1,0,0,0,38,89.5,0,0,0.0,0.0,0.0,3,1,3,0,2,1,0,1,0,0,0,0,22,105.0,27.0,0,3,0,100.0,23_24,7,28/09/2023,0,[]
Antonio Blanco,ESP,23,MC,8,alaves,celta,0,28,0,0,0.2,0.1,2,2,0,23,78.3,0,0,0.0,0.0,0.0,5,0,0,0,0,1,0,1,0,2,2,0,17,45.0,15.0,0,0,0,0.0,23_24,7,28/09/2023,0,"[{'rojas': [10, 1.0]}]"
