player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Sory Kaba,DT,las palmas,celta,1,62,0,0,0.0,0.0,0,0,0,5,80.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,1,0,0,0,7,29.0,6.0,0,1,0,100.0,23_24,8,1
Marvin,DT,las palmas,celta,0,28,0,0,0.0,0.0,0,0,0,22,68.2,0,0,0.0,0.0,0.0,4,2,0,0,0,0,0,0,0,0,0,0,14,114.0,55.0,3,0,0,0.0,23_24,8,1
Pejiño,DT,las palmas,celta,1,76,0,0,0.0,0.0,0,0,0,34,82.4,0,0,0.0,0.0,0.0,3,1,4,0,3,1,0,1,0,5,2,3,32,186.0,86.0,2,0,0,0.0,23_24,8,1
Marc Cardona,DT,las palmas,celta,0,14,1,0,0.3,0.0,1,0,1,6,50.0,1,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,2,1,1,7,30.0,10.0,0,0,2,0.0,23_24,8,1
Munir El Haddadi,DT,las palmas,celta,1,90,0,0,0.1,0.0,4,2,2,30,70.0,0,0,0.0,0.0,0.0,5,2,2,0,0,0,0,0,0,2,1,1,24,115.0,37.0,1,2,2,50.0,23_24,8,1
Enzo Loiodice,MC,las palmas,celta,1,76,0,0,0.0,0.0,1,0,1,46,80.4,0,0,0.0,0.0,0.0,2,2,1,0,0,2,0,2,0,0,0,0,38,137.0,48.0,1,2,0,100.0,23_24,8,1
Máximo Perrone,MC,las palmas,celta,0,14,0,0,0.0,0.0,0,0,0,21,100.0,0,0,0.0,0.0,0.0,4,2,0,0,0,0,0,0,0,1,0,0,17,67.0,36.0,1,0,0,0.0,23_24,8,1
Kirian Rodríguez,MC,las palmas,celta,1,90,0,0,0.2,0.0,4,4,0,119,95.8,0,0,0.0,0.0,0.0,5,0,2,0,2,2,0,2,0,2,2,0,91,305.0,117.0,0,0,1,0.0,23_24,8,1
Javier Muñoz,MC,las palmas,celta,1,62,0,0,0.2,0.1,1,1,0,25,76.0,0,0,0.0,0.0,0.0,5,1,1,0,1,0,0,0,0,0,0,0,20,64.0,18.0,0,1,0,100.0,23_24,8,1
Jonathan Viera,MC,las palmas,celta,0,28,1,1,0.8,0.3,0,0,0,40,87.5,0,0,0.0,0.0,0.0,11,1,0,0,0,0,0,0,0,2,0,2,31,165.0,78.0,2,1,1,50.0,23_24,8,1
Sergi Cardona,DF,las palmas,celta,1,90,0,0,0.2,0.3,3,3,0,132,86.4,0,0,0.0,0.0,0.0,4,7,4,0,1,2,1,1,1,1,1,0,98,555.0,322.0,9,3,0,100.0,23_24,8,1
Mika Mármol,DF,las palmas,celta,1,90,0,0,0.0,0.0,0,0,0,86,96.5,1,0,0.0,0.0,0.0,3,2,3,0,1,1,1,0,2,1,0,1,64,372.0,186.0,4,0,1,0.0,23_24,8,1
Álex Suárez,DF,las palmas,celta,1,90,0,0,0.0,0.0,0,0,0,68,95.6,0,0,0.0,0.0,0.0,6,1,1,0,0,1,1,0,3,0,0,0,50,188.0,55.0,0,2,2,50.0,23_24,8,1
Julian Araujo,DF,las palmas,celta,1,31,0,0,0.0,0.0,0,0,0,42,78.6,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,30,118.0,47.0,2,1,0,100.0,23_24,8,1
Álvaro Lemos,DF,las palmas,celta,0,59,0,0,0.0,0.0,1,1,0,68,76.5,0,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,2,0,0,0,46,244.0,155.0,5,2,0,100.0,23_24,8,1
Álvaro Vallés,PT,las palmas,celta,1,90,0,0,0.0,0.0,0,0,0,47,91.5,0,0,1.0,66.7,1.6,7,0,0,0,0,0,0,0,0,0,0,0,33,146.0,100.0,0,2,0,100.0,23_24,8,1
Jørgen Strand Larsen,DT,celta,las palmas,1,87,0,0,0.6,0.2,4,4,0,14,50.0,0,0,0.0,0.0,0.0,6,1,1,0,0,0,0,0,0,5,3,1,17,88.0,32.0,1,2,3,40.0,23_24,8,0
Williot Swedberg,DT,celta,las palmas,0,3,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,23_24,8,0
Anastasios Douvikas,DT,celta,las palmas,1,68,1,0,0.5,0.0,2,1,1,7,42.9,0,0,0.0,0.0,0.0,10,2,1,0,1,0,0,0,1,4,2,2,12,78.0,23.0,2,1,2,33.3,23_24,8,0
Iago Aspas,DT,celta,las palmas,0,22,0,0,0.0,0.1,1,0,1,14,71.4,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,6,37.0,22.0,1,0,0,0.0,23_24,8,0
Jonathan Bamba,MC,celta,las palmas,1,90,0,1,0.3,0.7,2,1,1,24,58.3,0,0,0.0,0.0,0.0,8,0,1,0,1,3,0,3,4,6,3,3,28,187.0,118.0,3,1,1,50.0,23_24,8,0
Fran Beltrán,MC,celta,las palmas,1,87,0,0,0.0,0.0,0,0,0,20,85.0,0,0,0.0,0.0,0.0,5,2,0,0,0,0,0,0,3,0,0,0,15,56.0,24.0,0,0,3,0.0,23_24,8,0
Hugo Sotelo,MC,celta,las palmas,0,3,0,0,0.0,0.0,0,0,0,7,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,6,40.0,18.0,1,0,0,0.0,23_24,8,0
Carlos Dotor,MC,celta,las palmas,1,90,0,0,0.0,0.1,0,0,0,30,80.0,0,0,0.0,0.0,0.0,3,0,1,0,1,2,0,2,0,0,0,0,25,69.0,19.0,0,0,2,0.0,23_24,8,0
Manu Sánchez,DF,celta,las palmas,1,90,0,0,0.0,0.0,0,0,0,27,63.0,0,0,0.0,0.0,0.0,1,3,1,0,0,1,0,1,1,1,0,1,17,100.0,38.0,2,0,1,0.0,23_24,8,0
Unai Núñez,DF,celta,las palmas,1,90,0,0,0.0,0.2,0,0,0,35,62.9,0,0,0.0,0.0,0.0,3,1,1,0,1,2,2,0,7,0,0,0,26,73.0,40.0,0,4,1,80.0,23_24,8,0
Carl Starfelt,DF,celta,las palmas,1,90,0,0,0.0,0.0,0,0,0,23,78.3,1,0,0.0,0.0,0.0,2,2,0,0,0,4,4,0,9,0,0,0,11,39.0,7.0,0,0,2,0.0,23_24,8,0
Joseph Aidoo,DF,celta,las palmas,1,90,0,0,0.0,0.0,1,1,0,21,76.2,0,0,0.0,0.0,0.0,3,2,3,0,1,1,0,1,8,0,0,0,14,45.0,31.0,0,1,1,50.0,23_24,8,0
Óscar Mingueza,DF,celta,las palmas,1,90,0,0,0.0,0.0,1,1,0,35,65.7,0,0,0.0,0.0,0.0,1,5,6,0,2,0,0,0,0,5,1,3,28,109.0,54.0,0,0,1,0.0,23_24,8,0
Iván Villar,PT,celta,las palmas,1,90,0,0,0.0,0.0,0,0,0,28,50.0,0,0,2.0,80.0,1.5,4,0,0,0,0,0,0,0,0,0,0,0,16,94.0,68.0,0,0,0,0.0,23_24,8,0
