player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Artem Dovbyk,UKR,26,DT,9,girona,real madrid,1,59,0,0,0.1,0.0,1,1,0,6,83.3,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,8,17.0,5.0,0,0,0,0.0,23_24,8,30/09/2023,1,"[{'goles': [1, 24.0]}, {'goles_90': [1, 0.83]}, {'asistencias': [7, 8.0]}, {'penaltis_marcados': [1, 7.0]}, {'tiros_puerta': [4, 36.0]}]"
Cristhian Stuani,URU,36,DT,7,girona,real madrid,0,31,0,0,0.0,0.0,0,0,0,4,75.0,1,0,0.0,0.0,0.0,0,2,1,0,0,0,0,0,0,0,0,0,3,5.0,3.0,0,0,1,0.0,23_24,8,30/09/2023,1,"[{'goles_por_tiro': [7, 0.26]}, {'apariciones_suplente': [1, 26.0]}]"
Sávio,BRA,19,MC,16,girona,real madrid,1,78,0,0,0.0,0.0,1,1,0,33,66.7,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,5,1,2,36,299.0,135.0,5,0,0,0.0,23_24,8,30/09/2023,1,"[{'asistencias': [3, 10.0]}, {'regates_exitosos': [1, 104.0]}, {'faltas_recibidas': [9, 66.0]}]"
Pablo Torre,ESP,20,MC,18,girona,real madrid,0,12,0,0,0.0,0.0,1,1,0,14,64.3,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,14,55.0,23.0,0,0,0,0.0,23_24,8,30/09/2023,1,"[{'apariciones_suplente': [6, 22.0]}]"
Aleix García,ESP,26,MC,14,girona,real madrid,1,90,0,0,0.0,0.1,1,1,0,113,90.3,0,0,0.0,0.0,0.0,6,2,5,0,3,2,1,1,0,0,0,0,93,392.0,201.0,1,0,0,0.0,23_24,8,30/09/2023,1,"[{'pases_clave': [7, 57.0]}, {'pases_ultimo_tercio': [2, 306.0]}, {'corners': [3, 122.0]}, {'rojas': [10, 1.0]}]"
Yangel Herrera,VEN,25,MC,21,girona,real madrid,1,86,0,0,0.3,0.0,2,2,0,34,97.1,0,0,0.0,0.0,0.0,4,2,2,0,1,1,0,1,1,2,2,0,33,168.0,81.0,1,0,0,0.0,23_24,8,30/09/2023,1,"[{'faltas_cometidas': [6, 65.0]}]"
Jhon Solis,COL,18,MC,22,girona,real madrid,0,4,0,0,0.0,0.0,0,0,0,4,100.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,6,58.0,7.0,0,0,0,0.0,23_24,8,30/09/2023,1,[]
Viktor Tsyhankov,UKR,25,MC,8,girona,real madrid,1,45,0,0,0.5,0.0,1,1,0,18,72.2,0,0,0.0,0.0,0.0,0,1,2,0,1,0,0,0,0,1,0,1,20,73.0,26.0,1,0,0,0.0,23_24,8,30/09/2023,1,"[{'corners': [10, 80.0]}]"
Valery Fernández,ESP,23,MC,11,girona,real madrid,0,45,0,0,0.0,0.0,0,0,0,24,75.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,21,139.0,39.0,1,1,0,100.0,23_24,8,30/09/2023,1,"[{'apariciones_suplente': [2, 25.0]}]"
David López,ESP,33,MC,5,girona,real madrid,1,59,0,0,0.1,0.0,2,0,2,59,96.6,0,0,0.0,0.0,0.0,4,2,1,0,0,0,0,0,0,0,0,0,47,209.0,118.0,1,1,0,100.0,23_24,8,30/09/2023,1,"[{'pases_completados_pct': [3, 92.8]}]"
Portu,ESP,31,MC,24,girona,real madrid,0,31,0,0,0.0,0.0,0,0,0,5,80.0,0,0,0.0,0.0,0.0,1,1,1,0,1,0,0,0,0,1,0,0,6,44.0,12.0,0,0,0,0.0,23_24,8,30/09/2023,1,"[{'asistencias_90': [5, 0.35]}, {'goles_por_tiro': [1, 0.32]}, {'apariciones_suplente': [2, 25.0]}]"
Miguel Gutiérrez,ESP,22,DF,3,girona,real madrid,1,90,0,0,0.0,0.6,1,1,0,54,88.9,0,0,0.0,0.0,0.0,2,1,2,0,2,0,0,0,0,0,0,0,42,230.0,95.0,2,0,0,0.0,23_24,8,30/09/2023,1,"[{'centros_area': [10, 19.0]}]"
Daley Blind,NED,33,DF,17,girona,real madrid,1,90,0,0,0.0,0.0,0,0,0,88,94.3,0,0,0.0,0.0,0.0,4,1,1,0,1,2,2,0,3,0,0,0,78,358.0,190.0,2,0,2,0.0,23_24,8,30/09/2023,1,"[{'pases_ultimo_tercio': [5, 256.0]}]"
Eric García,ESP,22,DF,25,girona,real madrid,1,90,0,0,0.5,0.0,2,1,1,57,94.7,1,0,0.0,0.0,0.0,0,1,1,0,1,1,1,0,2,0,0,0,47,247.0,156.0,0,1,0,100.0,23_24,8,30/09/2023,1,"[{'goles_por_tiro': [2, 0.29]}, {'pases_ultimo_tercio': [7, 227.0]}]"
Yan Couto,BRA,21,DF,20,girona,real madrid,1,90,0,0,0.1,0.3,1,1,0,62,83.9,0,0,0.0,0.0,0.0,3,2,4,0,2,0,0,0,1,3,1,2,53,412.0,183.0,7,0,0,0.0,23_24,8,30/09/2023,1,"[{'asistencias': [7, 8.0]}, {'asistencias_90': [9, 0.32]}]"
Paulo Gazzaniga,ARG,31,PT,13,girona,real madrid,1,90,0,0,0.0,0.0,0,0,0,27,81.5,0,0,3.0,57.1,2.9,5,0,0,0,0,0,0,0,0,0,0,0,22,77.0,49.0,0,0,0,0.0,23_24,8,30/09/2023,1,"[{'minutos': [1, 3420.0]}, {'porterias_cero': [7, 12.0]}, {'paradas': [2, 121.0]}, {'save_pct': [5, 75.6]}]"
Joselu,ESP,33,DT,14,real madrid,girona,1,86,1,1,0.7,0.5,3,1,2,18,61.1,0,0,0.0,0.0,0.0,15,1,0,0,0,0,0,0,2,2,1,1,23,70.0,21.0,1,2,0,100.0,23_24,8,30/09/2023,0,[]
Lucas Vázquez,ESP,32,DT,17,real madrid,girona,0,4,0,0,0.0,0.1,0,0,0,9,77.8,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,1,0,10,32.0,8.0,0,0,0,0.0,23_24,8,30/09/2023,0,"[{'asistencias_90': [4, 0.38]}]"
Vinicius Júnior,BRA,23,DT,7,real madrid,girona,1,67,0,0,0.0,0.4,0,0,0,29,75.9,0,0,0.0,0.0,0.0,5,2,1,0,1,0,0,0,0,2,0,0,34,307.0,168.0,9,0,0,0.0,23_24,8,30/09/2023,0,"[{'goles': [8, 15.0]}, {'goles_90': [4, 0.72]}, {'tiros_puerta': [2, 38.0]}, {'regates_exitosos': [6, 65.0]}]"
Rodrygo,BRA,22,DT,11,real madrid,girona,0,23,0,0,0.1,0.0,1,1,0,7,85.7,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,1,1,0,10,58.0,43.0,1,0,0,0.0,23_24,8,30/09/2023,0,"[{'tiros_puerta': [6, 35.0]}, {'regates_exitosos': [8, 60.0]}]"
Jude Bellingham,ENG,20,MC,5,real madrid,girona,1,73,1,1,1.2,0.7,5,2,3,45,95.6,0,0,0.0,0.0,0.0,20,4,3,0,2,3,1,2,0,6,2,4,50,285.0,175.0,3,0,0,0.0,23_24,8,30/09/2023,0,"[{'goles': [3, 19.0]}, {'goles_90': [3, 0.74]}, {'tiros_puerta': [8, 34.0]}, {'goles_por_tiro': [2, 0.29]}, {'rojas': [10, 1.0]}, {'faltas_recibidas': [5, 72.0]}]"
Dani Ceballos,ESP,27,MC,19,real madrid,girona,0,17,0,0,0.0,0.0,0,0,0,19,94.7,0,0,0.0,0.0,0.0,2,1,1,0,1,1,1,0,0,1,0,1,17,61.0,27.0,1,0,0,0.0,23_24,8,30/09/2023,0,"[{'pases_completados_pct': [2, 94.3]}]"
Toni Kroos,GER,33,MC,8,real madrid,girona,1,90,0,1,0.1,0.3,1,0,1,85,92.9,0,0,0.0,0.0,0.0,12,1,0,0,0,0,0,0,0,1,1,0,69,240.0,125.0,2,0,0,0.0,23_24,8,30/09/2023,0,"[{'asistencias': [7, 8.0]}, {'asistencias_90': [7, 0.34]}, {'pases_clave': [5, 62.0]}, {'pases_completados_pct': [7, 91.5]}, {'pases_ultimo_tercio': [1, 327.0]}, {'corners': [10, 89.0]}]"
Aurélien Tchouaméni,FRA,23,MC,18,real madrid,girona,1,90,1,0,0.2,0.1,1,0,1,50,92.0,0,0,0.0,0.0,0.0,14,4,1,0,0,1,0,1,1,3,1,0,50,310.0,167.0,3,0,0,0.0,23_24,8,30/09/2023,0,"[{'pases_completados_pct': [6, 92.3]}, {'pases_ultimo_tercio': [9, 176.0]}, {'intercepciones': [9, 46.0]}]"
Federico Valverde,URU,25,MC,15,real madrid,girona,1,86,0,0,0.0,0.0,2,2,0,42,90.5,0,0,0.0,0.0,0.0,8,0,0,0,0,1,0,1,0,2,2,0,41,250.0,107.0,3,0,0,0.0,23_24,8,30/09/2023,0,"[{'pases_ultimo_tercio': [6, 229.0]}, {'intercepciones': [8, 43.0]}]"
Brahim Díaz,MAR,24,MC,21,real madrid,girona,0,4,0,0,0.0,0.0,0,0,0,3,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,1,0,3,31.0,23.0,1,0,0,0.0,23_24,8,30/09/2023,0,"[{'asistencias_90': [5, 0.35]}]"
Eduardo Camavinga,FRA,20,DF,12,real madrid,girona,1,90,0,0,0.0,0.0,1,1,0,62,93.5,0,0,0.0,0.0,0.0,8,9,3,0,0,3,0,3,3,4,2,2,57,385.0,273.0,6,0,0,0.0,23_24,8,30/09/2023,0,"[{'pases_completados_pct': [10, 90.7]}, {'entradas': [8, 76.0]}, {'faltas_recibidas': [8, 68.0]}]"
Nacho,ESP,33,DF,6,real madrid,girona,1,89,0,0,0.0,0.0,0,0,0,57,98.2,0,1,0.0,0.0,0.0,3,0,0,0,0,0,0,0,2,0,0,0,39,130.0,68.0,0,1,0,100.0,23_24,8,30/09/2023,0,"[{'pases_completados_pct': [4, 92.3]}, {'rojas': [2, 2.0]}]"
