player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Gorka Guruzeta,DT,athletic,almeria,1,74,1,0,0.2,0.0,1,0,1,25,76.0,0,0,0.0,0.0,0.0,8,1,1,0,1,3,0,3,0,0,0,0,20,87.0,36.0,2,2,1,66.7,23_24,9,06/10/2023,1,"[{'goles_90': [9, 0.57]}]"
Asier Villalibre,DT,athletic,almeria,0,16,0,0,0.2,0.0,1,1,0,3,66.7,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,18.0,18.0,2,1,0,100.0,23_24,9,06/10/2023,1,[]
Nico Williams,DT,athletic,almeria,1,90,0,0,0.1,0.4,3,2,1,39,69.2,0,0,0.0,0.0,0.0,12,3,3,0,3,3,1,2,0,11,5,6,39,302.0,178.0,8,0,0,0.0,23_24,9,06/10/2023,1,"[{'asistencias': [2, 11.0]}, {'asistencias_90': [3, 0.44]}, {'centros_area': [5, 22.0]}, {'regates_exitosos': [2, 86.0]}, {'rojas': [10, 1.0]}]"
Iñaki Williams,DT,athletic,almeria,1,90,0,0,0.3,0.0,6,3,3,27,74.1,0,0,0.0,0.0,0.0,7,2,3,0,2,1,0,1,0,4,3,1,29,128.0,41.0,1,0,0,0.0,23_24,9,06/10/2023,1,"[{'tiros_puerta': [1, 43.0]}]"
Oihan Sancet,MC,athletic,almeria,1,82,1,0,0.4,0.0,3,2,1,47,78.7,0,0,0.0,0.0,0.0,10,2,3,0,2,0,0,0,0,6,3,3,47,247.0,77.0,3,1,0,100.0,23_24,9,06/10/2023,1,"[{'rojas': [2, 2.0]}]"
Unai Gómez,MC,athletic,almeria,0,8,0,0,0.0,0.0,0,0,0,4,50.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,1,1,0,3,36.0,28.0,1,1,0,100.0,23_24,9,06/10/2023,1,[]
Dani García,MC,athletic,almeria,1,82,1,0,0.3,0.0,1,0,1,43,86.0,0,0,0.0,0.0,0.0,10,1,4,0,3,1,0,1,0,0,0,0,25,109.0,37.0,1,2,0,100.0,23_24,9,06/10/2023,1,[]
Iker Muniain,MC,athletic,almeria,0,8,0,0,0.0,0.0,1,1,0,9,88.9,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,1,1,8,34.0,24.0,1,0,0,0.0,23_24,9,06/10/2023,1,[]
Ander Herrera,MC,athletic,almeria,1,74,0,0,0.1,0.2,2,2,0,54,85.2,1,0,0.0,0.0,0.0,4,4,3,0,2,0,0,0,1,0,0,0,42,133.0,41.0,0,0,3,0.0,23_24,9,06/10/2023,1,[]
Beñat Prados,MC,athletic,almeria,0,16,0,0,0.0,0.0,0,0,0,16,87.5,0,0,0.0,0.0,0.0,2,3,4,0,1,0,0,0,0,0,0,0,12,73.0,52.0,2,0,1,0.0,23_24,9,06/10/2023,1,[]
