player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Maxi Gómez,DT,25,cadiz,girona,1,72,0,0,0.0,0.0,0,0,0,12,33.3,0,0,0.0,0.0,0.0,2,0,0,0,0,1,1,0,0,0,0,0,11,26.0,2.0,0,3,2,60.0,23_24,9,07/10/2023,1,[]
Sergi Guardiola,MC,19,cadiz,girona,0,18,0,0,0.0,0.0,0,0,0,6,50.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,4,7.0,4.0,0,0,1,0.0,23_24,9,07/10/2023,1,"[{'apariciones_suplente': [10, 21.0]}]"
Chris Ramos,MC,16,cadiz,girona,1,78,0,0,0.1,0.0,3,1,2,13,46.2,0,0,0.0,0.0,0.0,3,1,1,0,1,0,0,0,0,3,1,2,14,25.0,7.0,0,4,3,57.1,23_24,9,07/10/2023,1,[]
Álvaro Negredo,DT,9,cadiz,girona,0,12,0,0,0.0,0.1,0,0,0,5,40.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,3,9.0,5.0,0,2,1,66.7,23_24,9,07/10/2023,1,[]
Darwin Machís,MC,18,cadiz,girona,1,9,0,0,0.0,0.0,0,0,0,1,100.0,0,1,0.0,0.0,0.0,-2,0,0,0,0,1,0,1,0,0,0,0,2,22.0,0.0,0,0,0,0.0,23_24,9,07/10/2023,1,"[{'rojas': [10, 1.0]}]"
Rubén Alcaraz,MC,4,cadiz,girona,1,90,0,0,0.0,0.0,0,0,0,24,75.0,1,0,0.0,0.0,0.0,1,4,3,0,2,3,2,1,1,1,0,1,19,108.0,66.0,2,1,2,33.3,23_24,9,07/10/2023,1,"[{'entradas': [2, 97.0]}, {'amarillas': [2, 14.0]}, {'faltas_cometidas': [1, 84.0]}, {'faltas_recibidas': [6, 71.0]}]"
Gonzalo Escalante,MC,17,cadiz,girona,1,65,0,0,0.0,0.0,0,0,0,20,65.0,0,0,0.0,0.0,0.0,3,1,4,0,3,1,1,0,1,0,0,0,6,37.0,17.0,0,1,0,100.0,23_24,9,07/10/2023,1,"[{'rojas': [10, 1.0]}]"
Lucas,DF,33,cadiz,girona,0,25,0,0,0.0,0.0,0,0,0,12,83.3,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,1,0,0,0,9,75.0,18.0,2,0,0,0.0,23_24,9,07/10/2023,1,[]
Iván Alejo,MC,11,cadiz,girona,1,90,0,0,0.0,0.2,0,0,0,23,43.5,0,0,0.0,0.0,0.0,7,2,2,0,1,1,0,1,3,5,3,2,18,147.0,92.0,1,2,1,66.7,23_24,9,07/10/2023,1,"[{'centros_area': [5, 22.0]}, {'amarillas': [1, 17.0]}]"
Javi Hernández,DF,15,cadiz,girona,1,90,0,0,0.3,0.0,3,3,0,36,47.2,0,0,0.0,0.0,0.0,4,2,3,0,2,1,0,1,3,2,1,1,20,96.0,43.0,2,1,1,50.0,23_24,9,07/10/2023,1,[]
Fali,DF,3,cadiz,girona,1,90,0,0,0.0,0.0,1,1,0,16,56.3,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,3,0,0,0,7,44.0,38.0,1,1,2,33.3,23_24,9,07/10/2023,1,"[{'amarillas': [5, 12.0]}]"
Jorge Meré,DF,22,cadiz,girona,1,78,0,0,0.0,0.0,1,1,0,9,22.2,0,0,0.0,0.0,0.0,6,0,1,0,1,3,3,0,6,0,0,0,1,1.0,1.0,0,0,1,0.0,23_24,9,07/10/2023,1,[]
Rubén Sobrino,MC,7,cadiz,girona,0,12,0,0,0.0,0.0,0,0,0,3,66.7,0,0,0.0,0.0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,4,36.0,4.0,0,0,1,0.0,23_24,9,07/10/2023,1,"[{'rojas': [10, 1.0]}]"
Isaac Carcelen,DF,20,cadiz,girona,1,65,0,0,0.0,0.0,0,0,0,11,72.7,0,0,0.0,0.0,0.0,3,2,0,0,0,0,0,0,2,0,0,0,3,44.0,33.0,0,0,0,0.0,23_24,9,07/10/2023,1,[]
Rominigue Kouamé,MC,12,cadiz,girona,0,25,0,0,0.0,0.0,0,0,0,12,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,6,51.0,20.0,0,1,0,100.0,23_24,9,07/10/2023,1,[]
Jeremías Ledesma,PT,1,cadiz,girona,1,90,0,0,0.0,0.0,0,0,0,40,47.5,0,0,1.0,80.0,1.8,7,0,0,0,0,0,0,0,1,0,0,0,20,195.0,145.0,0,0,0,0.0,23_24,9,07/10/2023,1,"[{'paradas': [6, 104.0]}]"
Artem Dovbyk,DT,9,girona,cadiz,1,71,0,0,0.0,0.1,0,0,0,12,75.0,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,2,2,0,10,33.0,13.0,0,1,1,50.0,23_24,9,07/10/2023,0,"[{'goles': [1, 24.0]}, {'goles_90': [1, 0.83]}, {'asistencias': [7, 8.0]}, {'penaltis_marcados': [1, 7.0]}, {'tiros_puerta': [4, 36.0]}]"
Cristhian Stuani,DT,7,girona,cadiz,0,19,0,0,0.0,0.1,0,0,0,5,60.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,2,0,0,0,3,23.0,16.0,0,0,1,0.0,23_24,9,07/10/2023,0,"[{'goles_por_tiro': [7, 0.26]}, {'apariciones_suplente': [1, 26.0]}]"
Sávio,DT,16,girona,cadiz,1,71,0,0,0.1,0.0,2,1,1,35,82.9,0,0,0.0,0.0,0.0,6,1,0,0,0,2,0,2,0,5,2,1,35,203.0,110.0,4,0,1,0.0,23_24,9,07/10/2023,0,"[{'asistencias': [3, 10.0]}, {'regates_exitosos': [1, 104.0]}, {'faltas_recibidas': [9, 66.0]}]"
Valery Fernández,MC,11,girona,cadiz,0,19,0,0,0.0,0.0,1,1,0,11,90.9,0,0,0.0,0.0,0.0,3,1,1,0,0,0,0,0,0,0,0,0,10,115.0,82.0,2,0,0,0.0,23_24,9,07/10/2023,0,"[{'apariciones_suplente': [2, 25.0]}]"
Iván Martín,DT,23,girona,cadiz,1,87,0,0,0.0,0.1,0,0,0,46,95.7,0,0,0.0,0.0,0.0,5,1,2,0,1,0,0,0,0,1,1,0,43,221.0,103.0,2,0,1,0.0,23_24,9,07/10/2023,0,"[{'goles_por_tiro': [7, 0.26]}, {'pases_completados_pct': [9, 91.3]}]"
Juanpe,DF,15,girona,cadiz,0,3,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,1,1.0,0.0,0,1,0,100.0,23_24,9,07/10/2023,0,[]
Miguel Gutiérrez,MC,3,girona,cadiz,1,61,0,0,0.1,0.0,3,3,0,34,85.3,0,0,0.0,0.0,0.0,8,1,2,0,2,0,0,0,1,3,2,0,24,116.0,56.0,1,0,0,0.0,23_24,9,07/10/2023,0,"[{'centros_area': [10, 19.0]}]"
