player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Vinicius Júnior,DT,7,real madrid,osasuna,1,71,1,1,1.0,0.1,3,2,1,27,77.8,0,0,0.0,0.0,0.0,12,1,1,0,1,0,0,0,0,5,1,4,31,182.0,111.0,3,0,0,0.0,23_24,9,07/10/2023,1,"[{'goles': [8, 15.0]}, {'goles_90': [4, 0.72]}, {'tiros_puerta': [2, 38.0]}, {'regates_exitosos': [6, 65.0]}]"
Rodrygo,DT,11,real madrid,osasuna,0,19,0,0,0.5,0.0,2,2,0,7,85.7,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,2,0,2,9,49.0,21.0,1,0,0,0.0,23_24,9,07/10/2023,1,"[{'tiros_puerta': [6, 35.0]}, {'regates_exitosos': [8, 60.0]}]"
Joselu,DT,14,real madrid,osasuna,1,90,1,0,1.1,0.0,2,1,1,15,80.0,0,0,0.0,0.0,0.0,7,0,0,0,0,1,0,1,0,0,0,0,13,36.0,14.0,1,0,1,0.0,23_24,9,07/10/2023,1,[]
Jude Bellingham,MC,5,real madrid,osasuna,1,71,2,0,0.7,0.0,3,0,3,56,85.7,0,0,0.0,0.0,0.0,17,2,1,0,1,4,0,4,0,1,0,1,47,179.0,71.0,2,0,1,0.0,23_24,9,07/10/2023,1,"[{'goles': [3, 19.0]}, {'goles_90': [3, 0.74]}, {'tiros_puerta': [8, 34.0]}, {'goles_por_tiro': [2, 0.29]}, {'rojas': [10, 1.0]}, {'faltas_recibidas': [5, 72.0]}]"
Dani Ceballos,MC,19,real madrid,osasuna,0,19,0,0,0.0,0.0,1,1,0,22,81.8,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,1,1,0,17,129.0,51.0,2,0,0,0.0,23_24,9,07/10/2023,1,"[{'pases_completados_pct': [2, 94.3]}]"
Eduardo Camavinga,MC,12,real madrid,osasuna,1,66,0,0,0.0,0.0,1,1,0,64,89.1,0,0,0.0,0.0,0.0,6,1,1,0,1,2,1,1,1,2,1,1,55,321.0,166.0,1,0,0,0.0,23_24,9,07/10/2023,1,"[{'pases_completados_pct': [10, 90.7]}, {'entradas': [8, 76.0]}, {'faltas_recibidas': [8, 68.0]}]"
Toni Kroos,MC,8,real madrid,osasuna,0,24,0,0,0.1,0.0,2,2,0,37,91.9,0,0,0.0,0.0,0.0,2,0,0,0,0,1,1,0,0,0,0,0,31,125.0,71.0,0,0,0,0.0,23_24,9,07/10/2023,1,"[{'asistencias': [7, 8.0]}, {'asistencias_90': [7, 0.34]}, {'pases_clave': [5, 62.0]}, {'pases_completados_pct': [7, 91.5]}, {'pases_ultimo_tercio': [1, 327.0]}, {'corners': [10, 89.0]}]"
Luka Modrić,MC,10,real madrid,osasuna,1,78,0,0,0.0,0.2,0,0,0,96,88.5,0,0,0.0,0.0,0.0,6,2,1,0,0,0,0,0,0,0,0,0,73,314.0,163.0,3,0,0,0.0,23_24,9,07/10/2023,1,"[{'asistencias_90': [9, 0.32]}, {'pases_clave': [8, 55.0]}]"
Brahim Díaz,MC,21,real madrid,osasuna,0,12,0,0,0.0,0.0,0,0,0,8,87.5,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,8,64.0,26.0,1,0,0,0.0,23_24,9,07/10/2023,1,"[{'asistencias_90': [5, 0.35]}]"
Federico Valverde,MC,15,real madrid,osasuna,1,90,0,2,0.0,1.5,1,1,0,62,91.9,0,0,0.0,0.0,0.0,18,4,2,0,0,1,0,1,0,4,2,2,53,291.0,153.0,2,0,0,0.0,23_24,9,07/10/2023,1,"[{'pases_ultimo_tercio': [6, 229.0]}, {'intercepciones': [8, 43.0]}]"
Ferland Mendy,DF,23,real madrid,osasuna,1,90,0,0,0.0,0.0,0,0,0,72,95.8,0,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,1,2,2,0,61,224.0,91.0,3,0,0,0.0,23_24,9,07/10/2023,1,"[{'pases_completados_pct': [2, 94.2]}]"
Antonio Rüdiger,DF,22,real madrid,osasuna,1,90,0,0,0.0,0.0,0,0,0,83,91.6,1,0,0.0,0.0,0.0,6,0,0,0,0,1,1,0,0,0,0,0,59,339.0,213.0,0,1,2,33.3,23_24,9,07/10/2023,1,"[{'pases_completados_pct': [9, 91.8]}]"
Aurélien Tchouaméni,DF,18,real madrid,osasuna,1,90,0,0,0.0,0.1,0,0,0,91,91.2,1,0,0.0,0.0,0.0,5,2,1,0,1,0,0,0,2,0,0,0,74,426.0,302.0,0,4,1,80.0,23_24,9,07/10/2023,1,"[{'pases_completados_pct': [6, 92.3]}, {'pases_ultimo_tercio': [9, 176.0]}, {'intercepciones': [9, 46.0]}]"
