player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Antoine Griezmann,DT,7,atletico madrid,real sociedad,1,90,1,0,1.3,0.2,3,3,0,31,74.2,1,0,0.0,0.0,0.0,8,1,3,0,2,1,0,1,0,0,0,0,27,111.0,58.0,0,2,1,66.7,23_24,9,08/10/2023,1,"[{'goles': [6, 16.0]}, {'penaltis_marcados': [3, 4.0]}, {'corners': [6, 94.0]}]"
Álvaro Morata,DT,19,atletico madrid,real sociedad,1,90,0,0,0.2,0.1,3,2,1,19,78.9,0,0,0.0,0.0,0.0,7,2,0,0,0,0,0,0,3,2,2,0,17,73.0,22.0,0,5,2,71.4,23_24,9,08/10/2023,1,"[{'goles': [8, 15.0]}, {'goles_90': [5, 0.71]}, {'tiros_puerta': [9, 33.0]}, {'goles_por_tiro': [10, 0.23]}, {'rojas': [10, 1.0]}]"
Rodrigo De Paul,MC,5,atletico madrid,real sociedad,1,71,0,0,0.2,0.3,3,2,1,27,85.2,0,0,0.0,0.0,0.0,11,2,1,0,0,3,0,3,0,5,3,1,26,144.0,72.0,0,0,0,0.0,23_24,9,08/10/2023,1,"[{'pases_ultimo_tercio': [8, 180.0]}]"
Saúl Ñíguez,MC,8,atletico madrid,real sociedad,0,19,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,2,0,0,0,1,2.0,1.0,0,0,1,0.0,23_24,9,08/10/2023,1,"[{'rojas': [10, 1.0]}]"
Koke,MC,6,atletico madrid,real sociedad,1,90,0,1,0.0,0.4,0,0,0,47,83.0,1,0,0.0,0.0,0.0,6,1,0,0,0,1,1,0,2,1,0,1,37,112.0,28.0,0,1,4,20.0,23_24,9,08/10/2023,1,"[{'pases_ultimo_tercio': [9, 196.0]}]"
Marcos Llorente,MC,14,atletico madrid,real sociedad,1,71,0,0,0.0,0.1,1,1,0,18,55.6,0,0,0.0,0.0,0.0,4,1,0,0,0,1,0,1,0,1,1,0,15,82.0,27.0,1,1,0,100.0,23_24,9,08/10/2023,1,"[{'rojas': [8, 1.0]}]"
Rodrigo Riquelme,MC,25,atletico madrid,real sociedad,0,19,0,0,0.1,0.0,1,0,1,2,100.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0,0,0,3,8.0,2.0,0,0,1,0.0,23_24,9,08/10/2023,1,[]
Samuel Lino,MC,12,atletico madrid,real sociedad,1,78,1,0,0.2,0.0,1,0,1,29,75.9,0,0,0.0,0.0,0.0,9,2,3,0,1,2,0,2,3,1,0,1,26,140.0,78.0,2,0,0,0.0,23_24,9,08/10/2023,1,[]
Javi Galán,MC,17,atletico madrid,real sociedad,0,12,0,0,0.0,0.0,0,0,0,0,0.0,1,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,23_24,9,08/10/2023,1,[]
Nahuel Molina,MC,16,atletico madrid,real sociedad,1,90,0,0,0.0,0.0,0,0,0,49,61.2,0,0,0.0,0.0,0.0,2,4,4,0,2,2,0,2,3,2,1,1,29,148.0,92.0,1,1,1,50.0,23_24,9,08/10/2023,1,"[{'rojas': [10, 1.0]}]"
Mario Hermoso,DF,22,atletico madrid,real sociedad,1,90,0,0,0.0,0.0,0,0,0,45,66.7,0,0,0.0,0.0,0.0,4,1,0,0,0,2,2,0,4,1,1,0,25,102.0,50.0,1,5,0,100.0,23_24,9,08/10/2023,1,[]
Axel Witsel,DF,20,atletico madrid,real sociedad,1,90,0,0,0.2,0.0,1,1,0,28,82.1,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,4,0,0,0,13,39.0,5.0,0,2,0,100.0,23_24,9,08/10/2023,1,"[{'pases_completados_pct': [6, 91.9]}]"
César Azpilicueta,DF,3,atletico madrid,real sociedad,1,78,0,0,0.0,0.2,0,0,0,46,73.9,0,0,0.0,0.0,0.0,6,0,0,0,0,1,0,1,3,0,0,0,30,133.0,63.0,1,0,1,0.0,23_24,9,08/10/2023,1,[]
Stefan Savić,DF,15,atletico madrid,real sociedad,0,12,0,0,0.0,0.0,0,0,0,6,66.7,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,3,0,0,0,4,15.0,8.0,0,3,0,100.0,23_24,9,08/10/2023,1,"[{'rojas': [10, 1.0]}]"
Jan Oblak,PT,13,atletico madrid,real sociedad,1,90,0,0,0.0,0.0,0,0,0,20,65.0,0,0,1.0,75.0,0.9,5,0,0,0,0,0,0,0,0,1,1,0,14,105.0,59.0,0,1,0,100.0,23_24,9,08/10/2023,1,"[{'minutos': [1, 3420.0]}, {'porterias_cero': [4, 13.0]}, {'paradas': [9, 101.0]}]"
Mikel Oyarzabal,DT,10,real sociedad,atletico madrid,1,89,1,0,1.0,0.0,4,2,2,17,88.2,0,0,0.0,0.0,0.0,7,2,2,0,1,2,0,2,0,1,1,0,18,69.0,22.0,1,0,6,0.0,23_24,9,08/10/2023,0,"[{'penaltis_marcados': [6, 4.0]}, {'rojas': [8, 1.0]}]"
