player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Kiké,DT,alaves,betis,1,76,0,0,0.7,0.0,5,4,1,11,63.6,0,0,0.0,0.0,0.0,3,0,0,0,0,1,0,1,1,1,1,0,18,57.0,8.0,1,2,0,100.0,23_24,9,08/10/2023,1,"[{'goles': [9, 13.0]}, {'penaltis_marcados': [10, 3.0]}, {'rojas': [8, 1.0]}]"
Samu Omorodion,DT,alaves,betis,0,14,0,0,0.0,0.0,1,1,0,5,60.0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,8,22.0,2.0,0,0,0,0.0,23_24,9,08/10/2023,1,[]
Luis Rioja,DT,alaves,betis,1,85,0,0,0.2,0.1,4,1,3,33,60.6,1,0,0.0,0.0,0.0,4,1,0,0,0,2,0,2,1,3,1,2,28,177.0,100.0,4,0,0,0.0,23_24,9,08/10/2023,1,"[{'penaltis_marcados': [7, 3.0]}, {'centros_area': [10, 19.0]}]"
Abde Rebbach,DT,alaves,betis,0,5,0,0,0.0,0.0,0,0,0,3,33.3,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,1,0,4,31.0,4.0,0,2,0,100.0,23_24,9,08/10/2023,1,[]
Alex Sola,DT,alaves,betis,1,72,0,0,0.3,0.0,2,2,0,16,68.8,0,0,0.0,0.0,0.0,4,0,1,0,1,1,0,1,0,4,2,1,15,156.0,78.0,2,0,1,0.0,23_24,9,08/10/2023,1,[]
Xeber,DT,alaves,betis,0,18,0,0,0.1,0.0,1,1,0,10,70.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,1,0,0,0,5,35.0,15.0,1,1,0,100.0,23_24,9,08/10/2023,1,[]
Ianis Hagi,MC,alaves,betis,1,72,0,0,0.1,0.5,1,1,0,38,81.6,0,0,0.0,0.0,0.0,7,0,3,0,3,2,0,2,0,3,1,1,22,128.0,81.0,3,0,0,0.0,23_24,9,08/10/2023,1,[]
Carlos Benavídez,MC,alaves,betis,0,18,0,0,0.0,0.0,0,0,0,10,70.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,5,43.0,18.0,0,1,0,100.0,23_24,9,08/10/2023,1,[]
Ander Guevara,MC,alaves,betis,1,90,0,0,0.0,0.0,0,0,0,53,69.8,0,0,0.0,0.0,0.0,3,4,8,0,4,2,1,1,2,1,1,0,32,229.0,153.0,4,1,1,50.0,23_24,9,08/10/2023,1,[]
Jon Guridi,MC,alaves,betis,1,90,0,0,0.0,0.2,0,0,0,31,77.4,0,0,0.0,0.0,0.0,5,2,2,0,1,1,0,1,1,0,0,0,16,79.0,40.0,0,1,2,33.3,23_24,9,08/10/2023,1,[]
Javi López,DF,alaves,betis,1,85,0,0,0.0,0.1,0,0,0,36,72.2,0,0,0.0,0.0,0.0,4,0,2,0,2,0,0,0,1,3,3,0,26,200.0,97.0,2,0,0,0.0,23_24,9,08/10/2023,1,[]
Rubén Duarte,DF,alaves,betis,0,5,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,6.0,6.0,0,0,0,0.0,23_24,9,08/10/2023,1,[]
Aleksandar Sedlar,DF,alaves,betis,1,90,0,0,0.0,0.0,0,0,0,42,88.1,1,0,0.0,0.0,0.0,4,0,0,0,0,1,0,1,5,1,1,0,21,155.0,46.0,1,0,0,0.0,23_24,9,08/10/2023,1,"[{'rojas': [8, 1.0]}]"
Abdel Abqar,DF,alaves,betis,1,90,0,0,0.0,0.0,0,0,0,35,82.9,0,0,0.0,0.0,0.0,6,0,1,0,1,1,0,1,4,2,2,0,23,112.0,79.0,0,0,0,0.0,23_24,9,08/10/2023,1,"[{'amarillas': [2, 13.0]}]"
Andoni Gorosabel,DF,alaves,betis,1,90,0,0,0.0,0.0,1,0,1,37,70.3,0,0,0.0,0.0,0.0,4,2,3,0,1,2,0,2,1,0,0,0,17,86.0,32.0,0,2,1,66.7,23_24,9,08/10/2023,1,[]
Antonio Sivera,PT,alaves,betis,1,90,0,0,0.0,0.0,0,0,0,25,64.0,0,0,1.0,50.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,10,51.0,36.0,0,0,0,0.0,23_24,9,08/10/2023,1,"[{'porterias_cero': [8, 10.0]}, {'save_pct': [5, 75.6]}]"
Ayoze Pérez,DT,betis,alaves,1,88,1,0,0.8,0.0,2,1,1,10,80.0,0,0,0.0,0.0,0.0,7,1,1,0,1,2,0,2,1,1,1,0,13,34.0,7.0,0,0,0,0.0,23_24,9,08/10/2023,0,"[{'goles': [5, 19.0]}, {'goles_90': [4, 0.87]}, {'tiros_puerta': [8, 31.0]}, {'goles_por_tiro': [4, 0.25]}]"
Aitor Ruibal,DT,betis,alaves,0,2,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,0,2,5.0,0.0,0,0,0,0.0,23_24,9,08/10/2023,0,[]
Rodri,DT,betis,alaves,1,64,0,0,0.0,0.0,1,1,0,39,79.5,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,2,2,0,28,143.0,63.0,2,0,1,0.0,23_24,9,08/10/2023,0,[]
Abde Ezzalzouli,DT,betis,alaves,0,26,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,3,1,1,3,17.0,9.0,0,0,2,0.0,23_24,9,08/10/2023,0,"[{'apariciones_suplente': [6, 22.0]}]"
Assane Diao,DT,betis,alaves,1,75,0,0,0.0,0.0,1,1,0,32,78.1,0,0,0.0,0.0,0.0,5,0,1,0,1,1,0,1,0,4,3,0,29,214.0,84.0,4,2,0,100.0,23_24,9,08/10/2023,0,[]
Willian José,DT,betis,alaves,0,14,0,0,0.0,0.0,0,0,0,2,100.0,0,1,0.0,0.0,0.0,-2,0,0,0,0,0,0,0,0,1,0,1,4,7.0,0.0,0,0,1,0.0,23_24,9,08/10/2023,0,"[{'rojas': [10, 1.0]}]"
Isco,MC,betis,alaves,1,90,0,0,0.0,0.0,0,0,0,66,77.3,1,0,0.0,0.0,0.0,2,1,4,0,3,1,0,1,0,7,2,2,52,363.0,175.0,7,0,2,0.0,23_24,9,08/10/2023,0,"[{'pases_clave': [4, 81.0]}, {'corners': [2, 127.0]}, {'regates_exitosos': [3, 76.0]}, {'faltas_recibidas': [2, 79.0]}]"
Marc Roca,MC,betis,alaves,1,75,0,0,0.0,0.0,0,0,0,50,76.0,0,0,0.0,0.0,0.0,2,2,3,0,2,2,0,2,0,1,0,1,37,219.0,147.0,1,1,0,100.0,23_24,9,08/10/2023,0,[]
Andrés Guardado,MC,betis,alaves,0,15,0,0,0.0,0.0,0,0,0,11,81.8,0,0,0.0,0.0,0.0,3,2,1,0,0,0,0,0,0,0,0,0,9,67.0,36.0,1,0,0,0.0,23_24,9,08/10/2023,0,[]
Guido Rodríguez,MC,betis,alaves,1,45,0,0,0.0,0.0,1,0,1,23,82.6,1,0,0.0,0.0,0.0,1,0,1,0,1,1,1,0,0,3,3,0,15,41.0,16.0,0,0,0,0.0,23_24,9,08/10/2023,0,[]
William Carvalho,MC,betis,alaves,0,45,0,0,0.0,0.0,0,0,0,46,84.8,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,2,0,2,27,86.0,48.0,0,0,0,0.0,23_24,9,08/10/2023,0,[]
Abner,DF,betis,alaves,1,90,0,0,0.0,0.1,0,0,0,35,74.3,1,0,0.0,0.0,0.0,2,1,2,0,2,2,0,2,1,0,0,0,19,63.0,30.0,1,2,1,66.7,23_24,9,08/10/2023,0,[]
Chadi Riad,DF,betis,alaves,1,90,0,0,0.0,0.0,0,0,0,77,93.5,0,0,0.0,0.0,0.0,6,3,2,0,0,0,0,0,4,0,0,0,53,241.0,149.0,0,0,1,0.0,23_24,9,08/10/2023,0,[]
Germán Pezzella,DF,betis,alaves,1,90,0,0,0.0,0.0,1,1,0,75,86.7,0,0,0.0,0.0,0.0,4,0,1,0,1,0,0,0,5,1,1,0,49,177.0,99.0,0,0,0,0.0,23_24,9,08/10/2023,0,"[{'despejes': [5, 150.0]}]"
