player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Jørgen Strand Larsen,DT,celta,getafe,1,90,1,0,0.7,0.2,5,2,3,17,76.5,0,0,0.0,0.0,0.0,8,0,0,0,0,1,0,1,0,0,0,0,17,76.0,31.0,1,7,0,100.0,23_24,9,1
Iago Aspas,DT,celta,getafe,1,90,0,0,1.6,0.1,5,2,3,60,83.3,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,2,1,1,44,152.0,31.0,1,0,0,0.0,23_24,9,1
Jonathan Bamba,MC,celta,getafe,1,78,1,0,0.5,0.2,3,2,1,34,70.6,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,2,0,2,32,221.0,143.0,5,0,0,0.0,23_24,9,1
Miguel Rodríguez,MC,celta,getafe,0,12,0,0,0.0,0.0,1,1,0,7,42.9,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,1,0,1,10,81.0,59.0,2,0,0,0.0,23_24,9,1
Luca de la Torre,MC,celta,getafe,1,90,0,1,0.0,0.4,0,0,0,60,85.0,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,2,2,0,45,310.0,179.0,8,2,1,66.7,23_24,9,1
Fran Beltrán,MC,celta,getafe,1,59,0,0,0.0,0.0,0,0,0,40,90.0,1,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,31,201.0,101.0,1,0,1,0.0,23_24,9,1
Hugo Sotelo,MC,celta,getafe,0,31,0,0,0.1,0.1,2,1,1,62,95.2,0,0,0.0,0.0,0.0,4,1,0,0,0,1,0,1,0,1,0,1,54,232.0,119.0,2,0,0,0.0,23_24,9,1
Carles Pérez,MC,celta,getafe,1,85,0,0,0.2,0.0,4,4,0,24,70.8,0,0,0.0,0.0,0.0,3,1,0,0,0,2,0,2,0,3,2,0,28,211.0,93.0,4,0,1,0.0,23_24,9,1
Anastasios Douvikas,MC,celta,getafe,0,5,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,100.0,23_24,9,1
Mihailo Ristić,DF,celta,getafe,1,85,0,0,0.0,0.0,1,1,0,65,81.5,0,0,0.0,0.0,0.0,3,1,0,0,0,1,0,1,1,5,2,2,40,176.0,87.0,1,1,2,33.3,23_24,9,1
Manu Sánchez,DF,celta,getafe,0,5,0,0,0.0,0.0,1,1,0,10,90.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,7,69.0,49.0,0,0,0,0.0,23_24,9,1
Unai Núñez,DF,celta,getafe,1,90,0,0,0.0,0.1,1,0,1,86,86.0,0,0,0.0,0.0,0.0,5,2,2,0,1,0,0,0,0,0,0,0,65,389.0,239.0,4,3,1,75.0,23_24,9,1
Carl Starfelt,DF,celta,getafe,1,90,0,0,0.1,0.0,2,1,1,66,86.4,0,0,0.0,0.0,0.0,4,1,1,0,0,0,0,0,4,0,0,0,38,135.0,75.0,0,8,2,80.0,23_24,9,1
