player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Arnaut Danjuma,DT,villarreal,atletico madrid,1,78,1,0,0.5,0.0,3,2,1,13,53.8,0,0,0.0,0.0,0.0,8,0,1,0,1,0,0,0,0,2,0,2,12,112.0,48.0,2,1,0,100.0,24_25,1,1
Ayoze Pérez,DT,villarreal,atletico madrid,0,12,0,0,0.0,0.0,0,0,0,8,75.0,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,0,0,0,5,30.0,23.0,1,1,0,100.0,24_25,1,1
Gerard Moreno,DT,villarreal,atletico madrid,1,70,0,0,0.1,0.0,2,0,2,26,76.9,0,0,0.0,0.0,0.0,4,1,0,0,0,0,0,0,1,2,1,1,24,119.0,29.0,0,1,0,100.0,24_25,1,1
Nicolas Pépé,DT,villarreal,atletico madrid,0,20,0,0,0.1,0.0,2,2,0,6,100.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,1,4,2,2,5,36.0,2.0,0,0,1,0.0,24_25,1,1
Alex Baena,MC,villarreal,atletico madrid,1,70,0,0,0.0,0.0,1,1,0,31,80.6,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,5,2,2,20,88.0,51.0,1,0,2,0.0,24_25,1,1
Pape Gueye,MC,villarreal,atletico madrid,0,20,0,0,0.0,0.0,0,0,0,18,83.3,0,0,0.0,0.0,0.0,1,0,0,0,0,2,0,2,0,0,0,0,8,36.0,21.0,1,0,0,0.0,24_25,1,1
Santi Comesaña,MC,villarreal,atletico madrid,1,90,0,0,0.0,0.0,0,0,0,39,94.9,0,0,0.0,0.0,0.0,2,1,0,0,0,2,0,2,0,1,1,0,21,118.0,41.0,0,1,3,25.0,24_25,1,1
Daniel Parejo,MC,villarreal,atletico madrid,1,89,0,0,0.0,0.0,0,0,0,59,93.2,0,0,0.0,0.0,0.0,5,1,2,0,1,1,0,1,0,1,1,0,22,118.0,58.0,1,0,1,0.0,24_25,1,1
Ramón Terrats,MC,villarreal,atletico madrid,0,1,0,0,0.0,0.0,0,0,0,4,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,3,11.0,3.0,0,0,0,0.0,24_25,1,1
Yeremi Pino,MC,villarreal,atletico madrid,1,70,0,0,0.1,0.4,1,1,0,22,77.3,1,0,0.0,0.0,0.0,2,1,1,0,1,1,0,1,1,2,2,0,15,95.0,69.0,1,0,0,0.0,24_25,1,1
Ilias Akhomach,MC,villarreal,atletico madrid,0,20,0,0,0.0,0.0,0,0,0,9,77.8,0,0,0.0,0.0,0.0,3,1,2,0,2,0,0,0,0,5,2,2,10,85.0,29.0,1,0,0,0.0,24_25,1,1
Sergi Cardona,DF,villarreal,atletico madrid,1,90,0,0,0.0,0.1,0,0,0,57,78.9,0,0,0.0,0.0,0.0,1,1,1,0,1,2,0,2,3,1,0,1,25,148.0,88.0,2,0,0,0.0,24_25,1,1
Eric Bailly,DF,villarreal,atletico madrid,1,90,0,0,0.0,0.0,0,0,0,55,90.9,0,0,0.0,0.0,0.0,3,1,0,0,0,2,1,1,4,2,2,0,31,213.0,86.0,1,0,1,0.0,24_25,1,1
Raúl Albiol,DF,villarreal,atletico madrid,1,90,0,0,0.0,0.0,0,0,0,60,91.7,0,0,0.0,0.0,0.0,4,1,1,0,1,0,0,0,9,0,0,0,30,115.0,51.0,0,1,0,100.0,24_25,1,1
Kiko Femenía,DF,villarreal,atletico madrid,1,90,0,0,0.0,0.0,0,0,0,74,93.2,0,0,0.0,0.0,0.0,5,3,3,0,1,2,0,2,2,2,1,0,39,262.0,142.0,4,0,0,0.0,24_25,1,1
Diego Conde,PT,villarreal,atletico madrid,1,90,0,1,0.0,0.1,0,0,0,24,75.0,0,0,2.0,50.0,0.4,7,0,0,0,0,0,0,0,0,0,0,0,14,64.0,49.0,0,0,0,0.0,24_25,1,1
Alexander Sørloth,DT,atletico madrid,villarreal,1,45,1,0,0.1,0.0,1,0,1,11,63.6,0,0,0.0,0.0,0.0,6,1,0,0,0,0,0,0,0,0,0,0,3,7.0,4.0,0,2,0,100.0,24_25,1,0
Ángel Correa,DT,atletico madrid,villarreal,0,45,0,0,0.1,0.1,1,1,0,11,81.8,0,0,0.0,0.0,0.0,4,1,3,0,2,0,0,0,0,3,3,0,10,54.0,25.0,1,0,0,0.0,24_25,1,0
Samuel Lino,MC,atletico madrid,villarreal,1,90,0,0,0.7,0.0,3,2,1,41,80.5,1,0,0.0,0.0,0.0,2,1,4,0,3,1,0,1,0,4,2,2,32,215.0,76.0,2,0,1,0.0,24_25,1,0
Antoine Griezmann,MC,atletico madrid,villarreal,1,77,0,1,0.1,0.1,1,0,1,43,81.4,0,0,0.0,0.0,0.0,6,0,2,0,2,0,0,0,0,0,0,0,28,140.0,81.0,1,0,0,0.0,24_25,1,0
Julián Álvarez,DT,atletico madrid,villarreal,0,13,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,1,2.0,1.0,0,0,0,0.0,24_25,1,0
Koke,MC,atletico madrid,villarreal,1,63,0,0,0.0,0.6,0,0,0,50,90.0,0,0,0.0,0.0,0.0,3,3,3,0,1,0,0,0,0,0,0,0,31,143.0,24.0,0,0,1,0.0,24_25,1,0
Rodrigo De Paul,MC,atletico madrid,villarreal,0,27,0,0,0.0,0.1,0,0,0,30,86.7,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,23,110.0,50.0,0,0,0,0.0,24_25,1,0
Pablo Barrios,MC,atletico madrid,villarreal,1,90,0,1,0.0,0.1,2,2,0,60,83.3,1,0,0.0,0.0,0.0,8,2,2,0,2,0,0,0,0,3,3,0,45,246.0,110.0,1,1,1,50.0,24_25,1,0
Reinildo Mandava,MC,atletico madrid,villarreal,1,53,0,0,0.0,0.0,0,0,0,35,74.3,0,0,0.0,0.0,0.0,-2,2,1,0,1,1,0,1,1,0,0,0,20,37.0,7.0,0,0,1,0.0,24_25,1,0
Nahuel Molina,MC,atletico madrid,villarreal,0,37,0,0,0.0,0.0,0,0,0,38,81.6,0,0,0.0,0.0,0.0,3,2,1,0,0,1,0,1,0,0,0,0,20,70.0,29.0,0,0,0,0.0,24_25,1,0
Marcos Llorente,MC,atletico madrid,villarreal,1,90,1,0,0.1,0.1,1,0,1,50,84.0,0,0,0.0,0.0,0.0,10,1,1,0,0,1,0,1,0,1,0,1,34,173.0,121.0,3,1,0,100.0,24_25,1,0
Robin Le Normand,DF,atletico madrid,villarreal,1,90,0,0,0.0,0.0,0,0,0,71,93.0,1,0,0.0,0.0,0.0,-1,0,0,0,0,1,1,0,4,0,0,0,53,239.0,76.0,1,0,0,0.0,24_25,1,0
Axel Witsel,DF,atletico madrid,villarreal,1,45,0,0,0.0,0.0,0,0,0,30,93.3,0,0,0.0,0.0,0.0,-1,0,0,0,0,1,1,0,1,0,0,0,26,95.0,27.0,0,0,0,0.0,24_25,1,0
José María Giménez,DF,atletico madrid,villarreal,0,45,0,0,0.0,0.0,0,0,0,42,95.2,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,2,0,0,0,27,103.0,55.0,0,2,1,66.7,24_25,1,0
César Azpilicueta,DF,atletico madrid,villarreal,1,90,0,0,0.0,0.0,0,0,0,97,90.7,0,0,0.0,0.0,0.0,1,4,7,0,3,1,0,1,2,0,0,0,63,349.0,280.0,2,2,0,100.0,24_25,1,0
Jan Oblak,PT,atletico madrid,villarreal,1,90,0,0,0.0,0.0,0,0,0,20,95.0,0,0,2.0,33.3,0.8,2,0,0,0,0,0,0,0,0,0,0,0,11,39.0,19.0,0,0,0,0.0,24_25,1,0
