player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Mikel Oyarzabal,DT,real sociedad,rayo,1,82,0,0,0.2,0.0,2,2,0,17,58.8,0,0,0.0,0.0,0.0,2,0,2,0,2,0,0,0,1,1,1,0,13,34.0,16.0,0,1,3,25.0,24_25,1,18/08/2024,1,"[{'penaltis_marcados': [6, 4.0]}, {'rojas': [8, 1.0]}]"
Luka Sučić,DT,real sociedad,rayo,0,8,0,0,0.0,0.0,0,0,0,9,77.8,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,5,33.0,6.0,0,1,0,100.0,24_25,1,18/08/2024,1,[]
Sheraldo Becker,DT,real sociedad,rayo,1,90,0,0,0.1,0.2,2,1,1,31,48.4,0,0,0.0,0.0,0.0,4,1,0,0,0,0,0,0,1,0,0,0,21,194.0,105.0,6,2,2,50.0,24_25,1,18/08/2024,1,"[{'rojas': [8, 1.0]}]"
Takefusa Kubo,DT,real sociedad,rayo,1,67,0,0,0.0,0.1,0,0,0,14,78.6,0,0,0.0,0.0,0.0,4,1,0,0,0,3,0,3,0,6,2,3,17,216.0,85.0,2,0,3,0.0,24_25,1,18/08/2024,1,"[{'regates_exitosos': [6, 75.0]}, {'faltas_recibidas': [1, 73.0]}]"
Sergio Gómez,DT,real sociedad,rayo,0,23,0,0,0.0,0.0,0,0,0,23,69.6,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,1,0,0,13,79.0,6.0,0,0,1,0.0,24_25,1,18/08/2024,1,"[{'pases_clave': [10, 56.0]}, {'corners': [2, 133.0]}]"
Beñat Turrientes,MC,real sociedad,rayo,1,67,0,0,0.0,0.0,1,0,1,25,76.0,0,0,0.0,0.0,0.0,4,4,2,0,0,2,0,2,0,1,1,0,13,121.0,50.0,1,1,1,50.0,24_25,1,18/08/2024,1,[]
Ander Barrenetxea,MC,real sociedad,rayo,0,23,0,0,0.0,0.1,0,0,0,15,73.3,0,0,0.0,0.0,0.0,2,0,0,0,0,2,0,2,0,0,0,0,14,118.0,61.0,2,1,1,50.0,24_25,1,18/08/2024,1,"[{'regates_exitosos': [7, 32.0]}]"
Urko González,MC,real sociedad,rayo,1,45,0,0,0.0,0.0,0,0,0,17,58.8,1,0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,12,41.0,5.0,0,0,2,0.0,24_25,1,18/08/2024,1,[]
Martín Zubimendi,MC,real sociedad,rayo,0,45,1,0,0.4,0.0,2,1,1,26,76.9,0,0,0.0,0.0,0.0,8,1,2,0,1,1,0,1,0,0,0,0,11,76.0,35.0,1,3,0,100.0,24_25,1,18/08/2024,1,[]
Brais Méndez,MC,real sociedad,rayo,1,90,0,0,0.1,0.0,2,1,1,50,74.0,0,0,0.0,0.0,0.0,2,1,1,0,0,1,0,1,1,1,1,0,33,162.0,69.0,1,0,2,0.0,24_25,1,18/08/2024,1,[]
Javi López,DF,real sociedad,rayo,1,90,0,0,0.0,0.0,1,1,0,55,81.8,0,0,0.0,0.0,0.0,1,0,1,0,1,3,1,2,4,1,0,1,28,202.0,72.0,3,0,0,0.0,24_25,1,18/08/2024,1,[]
Jon Pacheco,DF,real sociedad,rayo,1,90,0,0,0.0,0.0,0,0,0,51,88.2,0,0,0.0,0.0,0.0,3,1,0,0,0,1,1,0,5,0,0,0,27,179.0,110.0,1,2,1,66.7,24_25,1,18/08/2024,1,[]
Aritz Elustondo,DF,real sociedad,rayo,1,90,0,0,0.2,0.0,1,1,0,77,90.9,0,0,0.0,0.0,0.0,3,1,0,0,0,1,1,0,3,0,0,0,49,346.0,219.0,1,1,2,33.3,24_25,1,18/08/2024,1,"[{'rojas': [8, 1.0]}]"
