player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Mamadou Sylla,SEN,30,DT,7,valladolid,espanyol,1,90,0,0,0.3,0.0,3,3,0,13,61.5,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,1,0,0,0,7,18.0,8.0,0,1,4,20.0,24_25,1,19/08/2024,1,"[{'penaltis_marcados': [6, 4.0]}]"
Raúl Moro,ESP,21,DT,11,valladolid,espanyol,1,90,1,0,0.1,0.2,1,0,1,34,52.9,0,0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,9,5,3,32,308.0,145.0,7,0,1,0.0,24_25,1,19/08/2024,1,"[{'regates_exitosos': [9, 57.0]}]"
Amath,SEN,28,DT,19,valladolid,espanyol,1,69,0,1,0.0,0.1,1,1,0,22,77.3,0,0,0.0,0.0,0.0,10,0,0,0,0,1,0,1,0,2,2,0,17,86.0,53.0,1,1,0,100.0,24_25,1,19/08/2024,1,[]
Iván Sánchez,ESP,31,DT,10,valladolid,espanyol,0,21,0,0,0.0,0.0,0,0,0,3,66.7,1,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,5,26.0,13.0,1,0,0,0.0,24_25,1,19/08/2024,1,"[{'apariciones_suplente': [6, 21.0]}]"
Selim Amallah,MAR,27,MC,21,valladolid,espanyol,1,68,0,0,0.2,0.0,2,2,0,25,84.0,0,0,0.0,0.0,0.0,9,1,0,0,0,3,0,3,0,2,2,0,16,103.0,72.0,2,0,2,0.0,24_25,1,19/08/2024,1,"[{'rojas': [10, 1.0]}]"
Víctor Meseguer,ESP,25,MC,4,valladolid,espanyol,0,22,0,0,0.0,0.0,0,0,0,7,100.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,1,0,0,0,5,12.0,6.0,0,1,1,50.0,24_25,1,19/08/2024,1,[]
Eray Cömert,SUI,26,MC,15,valladolid,espanyol,1,81,0,0,0.2,0.0,3,3,0,29,72.4,0,0,0.0,0.0,0.0,5,2,2,0,0,2,1,1,1,0,0,0,16,65.0,23.0,1,2,1,66.7,24_25,1,19/08/2024,1,[]
David Torres,ESP,21,DF,3,valladolid,espanyol,0,9,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0,0,0,0.0,24_25,1,19/08/2024,1,[]
Kike Pérez,ESP,27,MC,8,valladolid,espanyol,1,81,0,0,0.0,0.2,1,1,0,45,91.1,0,0,0.0,0.0,0.0,9,2,1,0,1,1,0,1,0,3,1,2,36,211.0,104.0,0,0,1,0.0,24_25,1,19/08/2024,1,[]
Chuky san jose,ESP,20,MC,28,valladolid,espanyol,0,9,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,0,0,0,4,11.0,4.0,0,0,0,0.0,24_25,1,19/08/2024,1,[]
Lucas Oliveira Rosa,BRA,24,DF,22,valladolid,espanyol,1,90,0,0,0.0,0.0,1,1,0,48,70.8,1,0,0.0,0.0,0.0,5,1,0,0,0,1,1,0,3,0,0,0,21,112.0,36.0,0,0,1,0.0,24_25,1,19/08/2024,1,[]
Enzo Boyomo,CMR,22,DF,6,valladolid,espanyol,1,90,0,0,0.0,0.0,0,0,0,56,94.6,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,1,0,0,0,41,172.0,83.0,0,0,2,0.0,24_25,1,19/08/2024,1,"[{'minutos': [6, 3257.0]}]"
Javi Sánchez,ESP,27,DF,5,valladolid,espanyol,1,61,0,0,0.0,0.2,0,0,0,42,88.1,0,0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,3,0,0,0,27,61.0,23.0,0,3,3,50.0,24_25,1,19/08/2024,1,[]
Stanko Jurić,CRO,28,MC,20,valladolid,espanyol,0,29,0,0,0.0,0.0,0,0,0,17,88.2,0,0,0.0,0.0,0.0,2,0,1,0,1,3,1,2,1,0,0,0,10,23.0,12.0,0,0,0,0.0,24_25,1,19/08/2024,1,"[{'rojas': [8, 1.0]}]"
Luis Pérez,ESP,29,DF,2,valladolid,espanyol,1,90,0,0,0.0,0.1,0,0,0,59,79.7,0,0,0.0,0.0,0.0,12,1,0,0,0,3,0,3,7,3,3,0,30,186.0,104.0,4,1,2,33.3,24_25,1,19/08/2024,1,"[{'centros_area': [3, 29.0]}]"
Karl Jakob Hein,EST,22,PT,13,valladolid,espanyol,1,90,0,0,0.0,0.0,0,0,0,38,63.2,0,0,0.0,100.0,0.8,12,0,0,0,0,0,0,0,1,0,0,0,25,107.0,72.0,0,0,0,0.0,24_25,1,19/08/2024,1,"[{'paradas': [4, 96.0]}]"
Javi Puado,ESP,26,DT,7,espanyol,valladolid,1,90,0,0,0.1,0.0,3,3,0,26,84.6,0,0,0.0,0.0,0.0,3,0,0,0,0,1,0,1,0,1,0,1,21,140.0,71.0,1,2,0,100.0,24_25,1,19/08/2024,0,"[{'goles': [10, 12.0]}, {'penaltis_marcados': [3, 5.0]}]"
Alejo Véliz,ARG,20,DT,9,espanyol,valladolid,1,69,0,0,0.0,0.0,1,0,1,15,60.0,0,0,0.0,0.0,0.0,4,1,1,0,0,3,1,2,0,1,1,0,7,33.0,13.0,0,4,1,80.0,24_25,1,19/08/2024,0,[]
Antoniu,ESP,21,MC,31,espanyol,valladolid,0,21,0,0,0.0,0.1,1,1,0,4,75.0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,5,31.0,14.0,0,0,0,0.0,24_25,1,19/08/2024,0,[]
Pol Lozano,ESP,24,MC,10,espanyol,valladolid,1,56,0,0,0.0,0.0,0,0,0,28,85.7,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,13,68.0,14.0,0,0,1,0.0,24_25,1,19/08/2024,0,"[{'amarillas': [3, 12.0]}, {'faltas_cometidas': [6, 56.0]}]"
Alex Král,CZE,26,MC,20,espanyol,valladolid,0,34,0,0,0.0,0.0,1,1,0,20,80.0,0,0,0.0,0.0,0.0,3,2,1,0,0,0,0,0,2,1,0,0,12,92.0,60.0,1,0,0,0.0,24_25,1,19/08/2024,0,[]
José Gragera,ESP,23,MC,15,espanyol,valladolid,1,77,0,0,0.0,0.0,0,0,0,48,87.5,0,0,0.0,0.0,0.0,2,3,3,0,2,0,0,0,0,1,0,1,18,86.0,48.0,0,2,0,100.0,24_25,1,19/08/2024,0,[]
Álvaro Aguado,ESP,28,MC,18,espanyol,valladolid,0,13,0,0,0.1,0.0,1,1,0,14,78.6,0,0,0.0,0.0,0.0,4,1,0,0,0,0,0,0,0,0,0,0,9,52.0,36.0,1,0,0,0.0,24_25,1,19/08/2024,0,[]
