player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Gorka Guruzeta,DT,athletic,espanyol,1,90,0,0,0.0,0.0,1,1,0,17,82.4,0,0,0.0,0.0,0.0,2,1,2,0,1,2,0,2,0,1,0,1,12,56.0,4.0,0,2,4,33.3,24_25,10,19/10/2024,1,"[{'goles_90': [9, 0.57]}]"
Nico Williams,DT,athletic,espanyol,1,72,0,1,0.1,0.1,2,0,2,24,79.2,0,0,0.0,0.0,0.0,13,2,2,0,1,1,0,1,0,7,4,3,21,197.0,85.0,4,0,0,0.0,24_25,10,19/10/2024,1,"[{'regates_exitosos': [7, 68.0]}]"
Álvaro djaló,DT,athletic,espanyol,0,18,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,25.0,19.0,1,0,0,0.0,24_25,10,19/10/2024,1,[]
Iñaki Williams,DT,athletic,espanyol,1,72,2,0,0.4,0.0,2,0,2,26,53.8,0,0,0.0,0.0,0.0,16,2,2,0,0,0,0,0,0,3,2,1,23,146.0,77.0,3,0,0,0.0,24_25,10,19/10/2024,1,"[{'asistencias': [4, 8.0]}]"
Nicolás Serrano,DT,athletic,espanyol,0,18,0,0,0.0,0.0,1,1,0,4,50.0,0,0,0.0,0.0,0.0,2,1,2,0,1,1,0,1,0,0,0,0,3,18.0,4.0,0,0,0,0.0,24_25,10,19/10/2024,1,[]
Álex Berenguer,MC,athletic,espanyol,1,77,1,2,0.5,0.4,2,1,1,40,75.0,0,0,0.0,0.0,0.0,19,0,0,0,0,0,0,0,0,3,2,1,15,137.0,58.0,3,0,1,0.0,24_25,10,19/10/2024,1,"[{'asistencias': [8, 7.0]}, {'corners': [5, 101.0]}]"
Unai Gómez,MC,athletic,espanyol,0,13,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,24_25,10,19/10/2024,1,[]
Mikel Jauregizar,MC,athletic,espanyol,1,90,0,0,0.0,0.1,0,0,0,67,82.1,0,0,0.0,0.0,0.0,5,1,1,0,0,2,0,2,4,1,0,0,43,178.0,96.0,1,2,0,100.0,24_25,10,19/10/2024,1,"[{'entradas': [6, 84.0]}, {'rojas': [8, 1.0]}]"
Iñigo Ruiz de Galarreta,MC,athletic,espanyol,1,62,0,0,0.0,0.2,0,0,0,43,93.0,0,0,0.0,0.0,0.0,7,1,0,0,0,0,0,0,0,1,1,0,25,150.0,79.0,1,0,0,0.0,24_25,10,19/10/2024,1,"[{'amarillas': [1, 8.0]}, {'faltas_cometidas': [5, 29.0]}]"
Beñat Prados,MC,athletic,espanyol,0,28,0,0,0.0,0.0,0,0,0,11,90.9,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,4,0,0,0,5,21.0,12.0,0,0,0,0.0,24_25,10,19/10/2024,1,[]
Yuri Berchiche,DF,athletic,espanyol,1,62,0,0,0.0,0.0,0,0,0,36,75.0,1,0,0.0,0.0,0.0,6,1,1,0,0,0,0,0,5,0,0,0,17,97.0,52.0,2,0,0,0.0,24_25,10,19/10/2024,1,[]
Adama Boiro,DF,athletic,espanyol,0,28,0,0,0.0,0.0,0,0,0,7,85.7,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,2,0,0,0,4,12.0,0.0,0,0,0,0.0,24_25,10,19/10/2024,1,[]
Unai Núñez,DF,athletic,espanyol,1,90,0,0,0.0,0.0,0,0,0,60,86.7,1,0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,4,0,0,0,30,138.0,80.0,0,1,1,50.0,24_25,10,19/10/2024,1,"[{'intercepciones': [1, 52.0]}, {'despejes': [4, 153.0]}]"
Daniel Vivian,DF,athletic,espanyol,1,90,1,0,0.3,0.0,2,1,1,80,90.0,0,0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,1,0,0,0,47,308.0,219.0,2,2,0,100.0,24_25,10,19/10/2024,1,"[{'goles_por_tiro': [7, 0.22]}, {'intercepciones': [7, 47.0]}]"
Óscar de Marcos,DF,athletic,espanyol,1,90,0,1,0.0,0.4,0,0,0,79,78.5,0,0,0.0,0.0,0.0,8,0,1,0,1,2,1,1,1,1,0,1,32,153.0,103.0,2,0,1,0.0,24_25,10,19/10/2024,1,"[{'centros_area': [2, 26.0]}]"
Julen Agirrezabala,PT,athletic,espanyol,1,90,0,0,0.0,0.0,0,0,0,34,76.5,0,0,1.0,50.0,0.6,5,0,0,0,0,0,0,0,0,0,0,0,20,114.0,64.0,0,1,0,100.0,24_25,10,19/10/2024,1,"[{'rojas': [8, 1.0]}, {'save_pct': [4, 76.5]}]"
Alejo Véliz,DT,espanyol,athletic,1,45,0,0,0.0,0.0,0,0,0,5,80.0,0,0,0.0,0.0,0.0,0,0,1,0,1,1,0,1,1,0,0,0,2,1.0,0.0,0,0,1,0.0,24_25,10,19/10/2024,0,[]
Walid Cheddira,DT,espanyol,athletic,0,45,0,0,0.0,0.0,0,0,0,8,62.5,0,0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,3,1,2,6,27.0,6.0,0,0,0,0.0,24_25,10,19/10/2024,0,[]
Carlos Romero,DT,espanyol,athletic,1,45,0,0,0.0,0.0,0,0,0,10,60.0,0,0,0.0,0.0,0.0,-1,1,1,0,0,0,0,0,1,2,0,2,7,19.0,1.0,0,0,2,0.0,24_25,10,19/10/2024,0,"[{'entradas': [6, 44.0]}]"
Pere Milla,DT,espanyol,athletic,0,45,0,0,0.1,0.0,2,1,1,23,47.8,1,0,0.0,0.0,0.0,-1,0,0,0,0,1,0,1,0,0,0,0,13,37.0,16.0,1,1,1,50.0,24_25,10,19/10/2024,0,"[{'goles': [9, 6.0]}, {'rojas': [2, 1.0]}]"
Jofre,DT,espanyol,athletic,1,62,0,0,0.1,0.0,2,2,0,16,62.5,0,0,0.0,0.0,0.0,1,1,0,0,0,1,0,1,0,4,1,2,21,138.0,85.0,2,0,0,0.0,24_25,10,19/10/2024,0,[]
Irvin Cardona,DT,espanyol,athletic,0,28,0,0,0.0,0.0,0,0,0,12,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,9,14.0,2.0,0,0,0,0.0,24_25,10,19/10/2024,0,[]
Alex Král,MC,espanyol,athletic,1,90,0,0,0.0,0.0,0,0,0,33,63.6,0,0,0.0,0.0,0.0,2,3,0,0,0,1,0,1,0,3,2,0,22,239.0,71.0,1,0,0,0.0,24_25,10,19/10/2024,0,[]
Pol Lozano,MC,espanyol,athletic,1,90,0,0,0.0,0.0,0,0,0,33,84.8,0,0,0.0,0.0,0.0,1,2,3,0,2,1,0,1,4,0,0,0,19,68.0,20.0,0,1,0,100.0,24_25,10,19/10/2024,0,"[{'amarillas': [3, 12.0]}, {'faltas_cometidas': [6, 56.0]}]"
José Gragera,MC,espanyol,athletic,1,45,0,0,0.0,0.0,0,0,0,20,90.0,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1,0,0,0,12,51.0,29.0,0,0,0,0.0,24_25,10,19/10/2024,0,[]
Leandro Cabrera,DF,espanyol,athletic,0,45,0,0,0.0,0.0,0,0,0,25,80.0,1,0,0.0,0.0,0.0,1,0,1,0,1,2,0,2,1,0,0,0,16,51.0,29.0,0,1,1,50.0,24_25,10,19/10/2024,0,"[{'goles_por_tiro': [9, 0.21]}, {'despejes': [6, 199.0]}, {'rojas': [8, 1.0]}]"
