player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Ante Budimir,DT,osasuna,betis,1,90,0,0,0.6,0.2,5,3,2,12,50.0,0,0,0.0,0.0,0.0,4,1,0,0,0,0,0,0,0,0,0,0,12,42.0,4.0,1,5,4,55.6,24_25,10,1
Bryan Zaragoza,DT,osasuna,betis,1,87,0,0,0.1,0.5,3,2,1,21,57.1,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,8,3,3,20,209.0,120.0,6,0,1,0.0,24_25,10,1
José Arnaiz,DT,osasuna,betis,0,3,0,0,0.0,0.0,0,0,0,5,40.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,3,17.0,12.0,1,0,0,0.0,24_25,10,1
Rubén García,DT,osasuna,betis,1,66,0,0,0.2,0.0,1,1,0,37,73.0,0,0,0.0,0.0,0.0,5,2,1,0,0,0,0,0,1,1,0,1,25,84.0,40.0,1,0,0,0.0,24_25,10,1
Jon Moncayola,DT,osasuna,betis,0,24,0,0,0.1,0.0,1,1,0,16,56.3,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,9,31.0,8.0,0,0,0,0.0,24_25,10,1
Aimar Oroz,MC,osasuna,betis,1,86,0,0,0.3,0.2,4,2,2,31,74.2,0,0,0.0,0.0,0.0,5,0,2,0,2,3,0,3,0,5,3,1,24,186.0,95.0,3,0,0,0.0,24_25,10,1
Rubén Peña,MC,osasuna,betis,0,4,0,0,0.1,0.0,1,1,0,5,60.0,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,1,1,0,3,11.0,1.0,0,0,0,0.0,24_25,10,1
Lucas Torró,MC,osasuna,betis,1,87,1,0,0.5,0.0,1,0,1,37,78.4,0,0,0.0,0.0,0.0,11,0,0,0,0,4,1,3,1,0,0,0,20,110.0,62.0,1,2,2,50.0,24_25,10,1
Moi Gómez,MC,osasuna,betis,0,3,0,0,0.0,0.0,0,0,0,9,77.8,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,12.0,6.0,0,0,1,0.0,24_25,10,1
Pablo Ibáñez,MC,osasuna,betis,1,76,0,0,0.0,0.0,0,0,0,27,70.4,0,0,0.0,0.0,0.0,0,0,1,0,1,2,0,2,0,1,1,0,19,105.0,29.0,2,1,0,100.0,24_25,10,1
