player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Thierno Barry,DT,villarreal,getafe,1,90,0,1,0.1,0.3,1,1,0,7,14.3,0,0,0.0,0.0,0.0,7,0,0,0,0,1,0,1,0,1,0,0,6,36.0,1.0,0,3,3,50.0
Alex Baena,DT,villarreal,getafe,1,78,0,0,0.0,0.3,0,0,0,38,52.6,1,0,0.0,0.0,0.0,4,0,1,0,1,1,0,1,1,2,0,1,28,133.0,80.0,1,1,1,50.0
Yeremi Pino,DT,villarreal,getafe,0,12,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,2.0,0.0,0,0,1,0.0
Ilias Akhomach,DT,villarreal,getafe,1,68,0,0,0.1,0.0,2,2,0,18,38.9,0,0,0.0,0.0,0.0,4,0,0,0,0,2,0,2,3,6,3,2,18,133.0,82.0,4,2,1,66.7
Nicolas Pépé,MC,villarreal,getafe,0,22,0,0,0.0,0.0,1,1,0,16,87.5,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,1,0,15,96.0,68.0,2,0,0,0.0
Pape Gueye,MC,villarreal,getafe,1,78,0,0,0.3,0.0,4,1,3,28,67.9,0,0,0.0,0.0,0.0,6,2,0,0,0,1,0,1,1,1,0,0,33,242.0,170.0,4,2,0,100.0
Ramón Terrats,MC,villarreal,getafe,0,12,0,0,0.0,0.0,0,0,0,10,90.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,8,24.0,13.0,0,0,0,0.0
Daniel Parejo,MC,villarreal,getafe,1,90,0,0,0.0,0.0,0,0,0,55,78.2,1,0,0.0,0.0,0.0,3,2,2,0,1,1,1,0,1,1,1,0,36,150.0,88.0,1,3,0,100.0
Santi Comesaña,MC,villarreal,getafe,1,90,1,0,0.2,0.2,1,0,1,39,82.1,0,0,0.0,0.0,0.0,13,6,3,0,1,1,1,0,4,2,0,1,34,164.0,93.0,3,2,3,40.0
Sergi Cardona,DF,villarreal,getafe,1,90,0,0,0.2,0.0,1,1,0,45,64.4,0,0,0.0,0.0,0.0,2,1,1,0,0,1,1,0,2,1,1,0,28,109.0,63.0,1,2,6,25.0
Eric Bailly,DF,villarreal,getafe,1,45,0,0,0.0,0.0,0,0,0,11,90.9,0,0,0.0,0.0,0.0,4,0,0,0,0,3,3,0,5,0,0,0,8,51.0,14.0,0,1,5,16.7
Pau Navarro,DF,villarreal,getafe,0,45,0,0,0.0,0.0,0,0,0,9,77.8,0,0,0.0,0.0,0.0,6767,2,3,0,1,1,1,0,0,0,0,0,6,35.0,29.0,0,1,1,50.0
Raúl Albiol,DF,villarreal,getafe,1,90,0,0,0.0,0.0,0,0,0,39,79.5,1,0,0.0,0.0,0.0,2,1,2,0,1,2,2,0,5,0,0,0,26,70.0,35.0,0,0,5,0.0
Kiko Femenía,DF,villarreal,getafe,1,90,0,0,0.0,0.0,0,0,0,55,89.1,1,0,0.0,0.0,0.0,5,4,4,0,1,1,1,0,2,3,3,0,34,194.0,120.0,2,0,2,0.0
Diego Conde,PT,villarreal,getafe,1,90,0,0,0.0,0.0,0,0,0,34,61.8,0,0,1.0,100.0,1.7,6,0,0,0,0,0,0,0,0,0,0,0,26,111.0,60.0,0,0,0,0.0
Christantus Uche,DT,getafe,villarreal,1,45,0,0,0.0,0.1,0,0,0,8,75.0,1,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,3,1,2,7,51.0,32.0,1,1,0,100.0
Álvaro Rodríguez,DT,getafe,villarreal,0,45,0,0,0.3,0.0,3,3,0,7,42.9,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,2,1,1,5,19.0,1.0,0,4,4,50.0
Bertuğ Yıldırım,DT,getafe,villarreal,1,89,0,0,0.4,0.2,5,3,2,15,60.0,0,0,0.0,0.0,0.0,6,1,1,0,1,0,0,0,2,0,0,0,7,44.0,4.0,0,9,5,64.3
Nabil Aberdin,DT,getafe,villarreal,0,1,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
Alex Sola,MC,getafe,villarreal,1,67,0,0,0.2,0.0,3,3,0,17,70.6,0,0,0.0,0.0,0.0,3,2,2,0,2,0,0,0,0,3,1,2,15,70.0,17.0,0,2,1,66.7
Peter González,MC,getafe,villarreal,0,23,0,0,0.1,0.0,2,1,1,4,75.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,2,1,0,1,6,12.0,3.0,0,2,0,100.0
Luis Milla,MC,getafe,villarreal,1,90,0,0,0.1,0.1,2,2,0,44,84.1,0,0,0.0,0.0,0.0,9,3,2,0,1,1,0,1,0,3,2,0,17,129.0,69.0,0,0,1,0.0
Mauro Arambarri,MC,getafe,villarreal,1,90,1,0,1.0,0.0,3,3,0,17,47.1,1,0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,1,1,0,0,8,21.0,17.0,1,3,0,100.0
Carles Pérez,MC,getafe,villarreal,1,89,0,0,0.0,0.1,2,2,0,27,66.7,0,0,0.0,0.0,0.0,5,1,1,0,1,0,0,0,4,4,1,3,20,253.0,127.0,5,2,1,66.7
Allan Nyom,MC,getafe,villarreal,0,1,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
Diego Rico,DF,getafe,villarreal,1,90,0,0,0.0,0.1,0,0,0,55,74.5,0,0,0.0,0.0,0.0,3,3,4,0,3,1,0,1,1,1,0,0,23,71.0,28.0,0,0,0,0.0
Omar Alderete,DF,getafe,villarreal,1,90,0,0,0.0,0.0,0,0,0,27,77.8,1,0,0.0,0.0,0.0,2,1,2,0,1,3,1,2,3,0,0,0,12,34.0,17.0,0,2,2,50.0
Djené,DF,getafe,villarreal,1,90,0,0,0.0,0.1,0,0,0,23,82.6,0,0,0.0,0.0,0.0,6,1,0,0,0,0,0,0,7,1,0,1,12,91.0,10.0,0,1,3,25.0
Iglesias,DF,getafe,villarreal,1,90,0,0,0.0,0.1,0,0,0,43,69.8,0,0,0.0,0.0,0.0,8,1,0,0,0,2,0,2,5,0,0,0,10,70.0,48.0,1,2,0,100.0
David Soria,PT,getafe,villarreal,1,90,0,0,0.0,0.0,0,0,0,31,51.6,0,0,1.0,75.0,1.5,5,1,1,0,0,0,0,0,0,0,0,0,10,71.0,35.0,0,0,0,0.0
