player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Mamadou Sylla,SEN,30,DT,7,valladolid,villarreal,1,70,1,0,0.8,0.0,1,1,0,9,66.7,1,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,2,1,1,11,42.0,26.0,1,0,1,0.0,24_25,11,26/10/2024,1,"[{'penaltis_marcados': [6, 4.0]}]"
Juanmi Latasa,ESP,23,DT,14,valladolid,villarreal,0,20,0,0,0.0,0.0,0,0,0,7,57.1,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,3,3.0,3.0,0,3,1,75.0,24_25,11,26/10/2024,1,"[{'rojas': [8, 1.0]}]"
Raúl Moro,ESP,21,DT,11,valladolid,villarreal,1,90,0,0,0.0,0.0,0,0,0,39,76.9,0,0,0.0,0.0,0.0,2,2,2,0,1,1,0,1,2,3,1,2,32,274.0,137.0,6,0,0,0.0,24_25,11,26/10/2024,1,"[{'regates_exitosos': [9, 57.0]}]"
Anuar,MAR,29,DT,23,valladolid,villarreal,1,87,0,0,0.0,0.0,1,0,1,14,78.6,0,0,0.0,0.0,0.0,2,1,1,0,1,1,1,0,1,0,0,0,15,73.0,18.0,0,2,1,66.7,24_25,11,26/10/2024,1,[]
Kenedy,BRA,28,DT,24,valladolid,villarreal,0,3,0,0,0.0,0.0,1,1,0,0,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0,0,0,0.0,24_25,11,26/10/2024,1,[]
Selim Amallah,MAR,27,MC,21,valladolid,villarreal,1,78,0,0,0.0,0.0,1,1,0,24,66.7,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,1,0,1,20,112.0,42.0,1,0,1,0.0,24_25,11,26/10/2024,1,"[{'rojas': [10, 1.0]}]"
Kike Pérez,ESP,27,MC,8,valladolid,villarreal,0,12,0,0,0.0,0.0,0,0,0,9,77.8,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,3,6.0,4.0,0,0,0,0.0,24_25,11,26/10/2024,1,[]
Eray Cömert,SUI,26,MC,15,valladolid,villarreal,1,87,0,0,0.0,0.0,1,1,0,35,80.0,1,0,0.0,0.0,0.0,-1,1,0,0,0,1,1,0,0,0,0,0,23,76.0,37.0,0,2,0,100.0,24_25,11,26/10/2024,1,[]
Iván Sánchez,ESP,32,MC,10,valladolid,villarreal,0,3,0,0,0.0,0.0,0,0,0,5,60.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,1,0,4,49.0,30.0,1,0,0,0.0,24_25,11,26/10/2024,1,"[{'apariciones_suplente': [6, 21.0]}]"
Mario Martín,ESP,20,MC,12,valladolid,villarreal,1,70,0,0,0.0,0.0,1,0,1,36,80.6,0,0,0.0,0.0,0.0,3,0,0,0,0,3,0,3,2,1,1,0,28,206.0,97.0,0,1,2,33.3,24_25,11,26/10/2024,1,"[{'rojas': [1, 3.0]}]"
Víctor Meseguer,ESP,25,MC,4,valladolid,villarreal,0,20,0,0,0.0,0.0,0,0,0,11,90.9,0,0,0.0,0.0,0.0,2,2,1,0,1,0,0,0,0,0,0,0,8,50.0,36.0,1,0,0,0.0,24_25,11,26/10/2024,1,[]
Lucas Oliveira Rosa,BRA,24,DF,22,valladolid,villarreal,1,90,0,0,0.0,0.0,0,0,0,39,71.8,0,0,0.0,0.0,0.0,2,6,7,0,2,3,1,2,3,0,0,0,26,144.0,87.0,3,0,0,0.0,24_25,11,26/10/2024,1,[]
David Torres,ESP,21,DF,3,valladolid,villarreal,1,90,0,0,0.0,0.0,0,0,0,68,95.6,1,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,4,0,0,0,53,252.0,119.0,0,1,1,50.0,24_25,11,26/10/2024,1,[]
Javi Sánchez,ESP,27,DF,5,valladolid,villarreal,1,90,0,0,0.0,0.0,0,0,0,68,89.7,1,0,0.0,0.0,0.0,0,2,2,0,0,1,0,1,5,0,0,0,60,299.0,152.0,0,1,2,33.3,24_25,11,26/10/2024,1,[]
Luis Pérez,ESP,29,DF,2,valladolid,villarreal,1,90,0,0,0.0,0.1,0,0,0,51,80.4,0,0,0.0,0.0,0.0,1,0,0,0,0,1,1,0,4,0,0,0,40,137.0,76.0,1,0,1,0.0,24_25,11,26/10/2024,1,"[{'centros_area': [3, 29.0]}]"
Karl Jakob Hein,EST,22,PT,13,valladolid,villarreal,1,90,0,0,0.0,0.0,0,0,0,44,97.7,0,0,2.0,77.8,4.2,10,0,0,0,0,0,0,0,3,0,0,0,34,143.0,91.0,0,0,0,0.0,24_25,11,26/10/2024,1,"[{'paradas': [4, 96.0]}]"
Thierno Barry,FRA,22,DT,15,villarreal,valladolid,1,69,1,0,0.5,0.0,4,2,2,12,58.3,0,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,0,0,0,15,88.0,48.0,3,3,0,100.0,24_25,11,26/10/2024,0,[]
Ayoze Pérez,ESP,31,DT,22,villarreal,valladolid,0,21,1,0,0.6,0.1,2,1,1,4,100.0,0,0,0.0,0.0,0.0,8,0,0,0,0,1,0,1,0,1,0,1,5,35.0,23.0,2,0,0,0.0,24_25,11,26/10/2024,0,"[{'goles': [5, 19.0]}, {'goles_90': [4, 0.87]}, {'tiros_puerta': [8, 31.0]}, {'goles_por_tiro': [4, 0.25]}]"
Nicolas Pépé,CIV,29,DT,19,villarreal,valladolid,1,89,0,0,0.2,0.0,2,0,2,44,75.0,0,0,0.0,0.0,0.0,5,0,0,0,0,1,0,1,1,2,2,0,42,318.0,186.0,5,0,3,0.0,24_25,11,26/10/2024,0,"[{'asistencias_90': [3, 0.36]}]"
Ramón Terrats,ESP,24,DT,20,villarreal,valladolid,0,1,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,2,0,2,2,5.0,3.0,0,0,1,0.0,24_25,11,26/10/2024,0,[]
Alex Baena,ESP,23,MC,16,villarreal,valladolid,1,89,0,0,0.1,0.4,3,3,0,55,70.9,0,0,0.0,0.0,0.0,5,2,2,0,2,0,0,0,3,1,1,0,44,253.0,148.0,3,0,0,0.0,24_25,11,26/10/2024,0,"[{'asistencias': [2, 9.0]}, {'asistencias_90': [9, 0.31]}, {'pases_clave': [1, 95.0]}, {'corners': [4, 107.0]}]"
Juan Bernat,ESP,31,MC,12,villarreal,valladolid,0,1,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,1,10.0,0.0,0,0,0,0.0,24_25,11,26/10/2024,0,[]
Daniel Parejo,ESP,35,MC,10,villarreal,valladolid,1,90,0,0,0.0,0.0,0,0,0,76,96.1,1,0,0.0,0.0,0.0,3,2,2,0,0,0,0,0,1,1,1,0,63,226.0,95.0,0,0,2,0.0,24_25,11,26/10/2024,0,"[{'pases_ultimo_tercio': [9, 176.0]}]"
Santi Comesaña,ESP,28,MC,14,villarreal,valladolid,1,70,0,0,0.1,0.0,2,2,0,34,91.2,1,0,0.0,0.0,0.0,3,1,1,0,0,0,0,0,1,0,0,0,34,126.0,46.0,0,2,0,100.0,24_25,11,26/10/2024,0,"[{'entradas': [5, 85.0]}]"
Pape Gueye,SEN,25,MC,18,villarreal,valladolid,0,20,0,0,0.3,0.0,2,1,1,11,81.8,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,2,2,0,2,16,84.0,43.0,2,0,1,0.0,24_25,11,26/10/2024,0,"[{'rojas': [2, 2.0]}, {'faltas_recibidas': [9, 62.0]}]"
Ilias Akhomach,MAR,20,MC,11,villarreal,valladolid,1,81,0,0,0.1,0.2,3,2,1,32,87.5,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,7,3,3,37,248.0,151.0,5,1,1,50.0,24_25,11,26/10/2024,0,"[{'regates_exitosos': [9, 57.0]}]"
Yeremi Pino,ESP,22,MC,21,villarreal,valladolid,0,9,0,0,0.2,0.0,1,1,0,7,71.4,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,1,0,0,7,58.0,45.0,1,0,0,0.0,24_25,11,26/10/2024,0,"[{'asistencias': [8, 7.0]}, {'asistencias_90': [6, 0.33]}, {'amarillas': [6, 11.0]}]"
Sergi Cardona,ESP,25,DF,23,villarreal,valladolid,1,90,0,0,0.2,0.2,1,0,1,39,82.1,0,0,0.0,0.0,0.0,3,1,0,0,0,1,0,1,2,0,0,0,24,91.0,44.0,1,1,1,50.0,24_25,11,26/10/2024,0,"[{'asistencias': [8, 7.0]}, {'centros_area': [7, 26.0]}, {'amarillas': [6, 11.0]}]"
Logan Costa,CPV,23,DF,2,villarreal,valladolid,1,90,0,0,0.0,0.0,1,0,1,70,90.0,1,0,0.0,0.0,0.0,0,2,2,0,1,0,0,0,4,0,0,0,58,363.0,252.0,6,3,1,75.0,24_25,11,26/10/2024,0,[]
Raúl Albiol,ESP,39,DF,3,villarreal,valladolid,1,90,0,0,0.0,0.0,0,0,0,67,92.5,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,3,0,0,0,57,260.0,169.0,0,0,0,0.0,24_25,11,26/10/2024,0,[]
Kiko Femenía,ESP,33,DF,17,villarreal,valladolid,1,90,0,1,0.0,0.3,0,0,0,83,90.4,0,0,0.0,0.0,0.0,9,0,1,0,1,0,0,0,3,0,0,0,58,205.0,104.0,0,0,0,0.0,24_25,11,26/10/2024,0,"[{'rojas': [10, 1.0]}]"
