player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Bojan Miovski,DT,girona,leganes,1,61,0,0,0.1,0.0,2,2,0,11,81.8,0,0,0.0,0.0,0.0,4,1,1,0,0,0,0,0,1,1,0,0,8,18.0,3.0,1,2,0,100.0,24_25,12,1
Cristhian Stuani,DT,girona,leganes,0,29,1,0,0.9,0.0,1,0,1,5,60.0,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,4,9.0,7.0,1,0,0,0.0,24_25,12,1
Donny van de Beek,MC,girona,leganes,1,90,0,0,0.0,0.0,1,1,0,40,82.5,0,0,0.0,0.0,0.0,1,0,1,0,1,1,0,1,1,0,0,0,25,158.0,64.0,2,1,2,33.3,24_25,12,1
Bryan Gil,MC,girona,leganes,1,90,0,0,0.0,0.1,1,1,0,32,78.1,0,0,0.0,0.0,0.0,4,1,3,0,2,0,0,0,1,10,4,4,32,305.0,113.0,3,0,0,0.0,24_25,12,1
Silvi Clúa,MC,girona,leganes,1,71,0,0,0.0,0.0,1,1,0,47,83.0,0,0,0.0,0.0,0.0,2,1,1,0,1,1,0,1,2,2,1,1,33,294.0,108.0,2,4,1,80.0,24_25,12,1
Oriol Romeu,MC,girona,leganes,0,19,0,0,0.0,0.0,0,0,0,10,90.0,1,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,3,0,0,0,4,25.0,11.0,1,1,0,100.0,24_25,12,1
Yangel Herrera,MC,girona,leganes,1,90,0,0,0.6,0.1,3,2,1,36,86.1,0,0,0.0,0.0,0.0,3,1,1,0,0,1,0,1,3,0,0,0,25,244.0,160.0,4,1,1,50.0,24_25,12,1
Miguel Gutiérrez,MC,girona,leganes,1,90,1,1,0.1,0.2,2,0,2,66,81.8,0,0,0.0,0.0,0.0,17,1,2,0,2,0,0,0,1,2,1,1,42,248.0,67.0,1,0,1,0.0,24_25,12,1
Arnau Martinez,MC,girona,leganes,1,90,1,0,0.2,0.7,2,1,1,61,88.5,0,0,0.0,0.0,0.0,10,2,1,0,0,0,0,0,1,1,1,0,35,206.0,108.0,1,3,0,100.0,24_25,12,1
Daley Blind,DF,girona,leganes,1,90,0,0,0.1,0.0,1,1,0,76,80.3,0,0,0.0,0.0,0.0,-1,0,1,0,1,0,0,0,2,0,0,0,41,272.0,130.0,1,1,1,50.0,24_25,12,1
David López,DF,girona,leganes,1,90,0,0,0.0,0.0,0,0,0,65,86.2,0,0,0.0,0.0,0.0,1,1,2,0,1,0,0,0,4,1,1,0,43,398.0,247.0,1,2,2,50.0,24_25,12,1
