player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Julián Álvarez,ARG,24,DT,19,atletico madrid,las palmas,1,64,0,0,0.1,0.1,2,2,0,28,89.3,0,0,0.0,0.0,0.0,5,0,0,0,0,1,0,1,0,2,0,2,25,118.0,42.0,1,1,1,50.0,24_25,12,03/11/2024,1,"[{'goles': [7, 17.0]}, {'goles_90': [8, 0.61]}, {'penaltis_marcados': [6, 4.0]}, {'tiros_puerta': [7, 36.0]}]"
Ángel Correa,ARG,29,DT,10,atletico madrid,las palmas,0,26,0,0,0.1,0.0,1,1,0,13,69.2,0,0,0.0,0.0,0.0,2,0,0,0,0,2,0,2,0,2,1,1,17,71.0,30.0,1,0,0,0.0,24_25,12,03/11/2024,1,"[{'apariciones_suplente': [1, 28.0]}, {'rojas': [8, 1.0]}]"
Antoine Griezmann,FRA,33,DT,7,atletico madrid,las palmas,1,64,0,0,0.5,0.0,3,3,0,36,52.8,0,0,0.0,0.0,0.0,3,1,1,0,0,2,0,2,0,2,1,1,25,93.0,18.0,0,1,1,50.0,24_25,12,03/11/2024,1,"[{'asistencias': [8, 7.0]}, {'corners': [9, 81.0]}]"
Alexander Sørloth,NOR,28,DT,9,atletico madrid,las palmas,0,26,1,0,0.4,0.0,1,0,1,9,44.4,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,6,43.0,27.0,2,3,3,50.0,24_25,12,03/11/2024,1,"[{'goles': [4, 20.0]}, {'goles_90': [1, 1.15]}, {'tiros_puerta': [4, 40.0]}, {'goles_por_tiro': [5, 0.24]}, {'apariciones_suplente': [10, 20.0]}]"
Samuel Lino,BRA,24,MC,12,atletico madrid,las palmas,1,45,0,0,0.0,0.0,1,1,0,26,92.3,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,0,0,0,19,79.0,49.0,1,1,0,100.0,24_25,12,03/11/2024,1,[]
Conor Gallagher,ENG,24,MC,4,atletico madrid,las palmas,0,45,0,0,0.0,0.0,1,1,0,26,96.2,0,0,0.0,0.0,0.0,2,1,1,0,0,1,0,1,0,0,0,0,22,54.0,20.0,1,0,1,0.0,24_25,12,03/11/2024,1,"[{'apariciones_suplente': [1, 14.0]}]"
Pablo Barrios,ESP,21,MC,8,atletico madrid,las palmas,1,45,0,0,0.2,0.4,3,2,1,26,73.1,0,0,0.0,0.0,0.0,5,1,0,0,0,1,0,1,1,0,0,0,20,114.0,49.0,1,1,0,100.0,24_25,12,03/11/2024,1,"[{'rojas': [8, 1.0]}]"
Rodrigo De Paul,ARG,30,MC,5,atletico madrid,las palmas,0,45,0,1,0.0,0.4,0,0,0,46,93.5,0,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,0,0,0,40,223.0,126.0,2,0,1,0.0,24_25,12,03/11/2024,1,"[{'pases_ultimo_tercio': [8, 180.0]}]"
Koke,ESP,32,MC,6,atletico madrid,las palmas,1,90,0,0,0.0,0.0,1,1,0,81,88.9,0,0,0.0,0.0,0.0,7,5,6,0,1,1,0,1,2,3,2,1,67,255.0,91.0,0,0,1,0.0,24_25,12,03/11/2024,1,"[{'pases_ultimo_tercio': [9, 196.0]}]"
Giuliano Simeone,ARG,21,MC,22,atletico madrid,las palmas,1,83,1,0,0.2,0.1,1,0,1,41,70.7,0,0,0.0,0.0,0.0,12,1,1,0,0,1,0,1,0,5,2,2,40,232.0,138.0,7,0,2,0.0,24_25,12,03/11/2024,1,"[{'asistencias': [8, 4.0]}]"
Axel Witsel,BEL,35,DF,20,atletico madrid,las palmas,0,7,0,0,0.0,0.0,0,0,0,8,87.5,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,0,0,0,5,16.0,5.0,0,1,1,50.0,24_25,12,03/11/2024,1,"[{'pases_completados_pct': [6, 91.9]}]"
Javi Galán,ESP,29,DF,21,atletico madrid,las palmas,1,83,0,0,0.0,0.0,0,0,0,43,81.4,0,0,0.0,0.0,0.0,5,0,1,0,1,1,0,1,0,7,1,4,34,318.0,173.0,5,1,2,33.3,24_25,12,03/11/2024,1,[]
Reinildo Mandava,MOZ,30,DF,23,atletico madrid,las palmas,0,7,0,0,0.0,0.0,0,0,0,11,63.6,0,0,0.0,0.0,0.0,2,3,2,0,0,0,0,0,0,0,0,0,6,63.0,1.0,0,0,0,0.0,24_25,12,03/11/2024,1,[]
Clément Lenglet,FRA,29,DF,15,atletico madrid,las palmas,1,90,0,0,0.1,0.0,1,1,0,63,85.7,1,0,0.0,0.0,0.0,6,1,1,0,0,0,0,0,1,0,0,0,57,443.0,290.0,4,4,4,50.0,24_25,12,03/11/2024,1,"[{'rojas': [2, 1.0]}]"
José María Giménez,URU,29,DF,2,atletico madrid,las palmas,1,90,0,0,0.0,0.0,0,0,0,43,97.7,0,0,0.0,0.0,0.0,8,0,2,0,2,2,0,2,1,0,0,0,34,180.0,106.0,0,1,4,20.0,24_25,12,03/11/2024,1,"[{'pases_completados_pct': [9, 91.8]}]"
Nahuel Molina,ARG,26,DF,16,atletico madrid,las palmas,1,90,0,1,0.0,0.3,0,0,0,79,75.9,0,0,0.0,0.0,0.0,12,2,2,0,1,0,0,0,1,1,0,1,55,320.0,198.0,2,0,0,0.0,24_25,12,03/11/2024,1,"[{'rojas': [10, 1.0]}]"
Jan Oblak,SVN,31,PT,13,atletico madrid,las palmas,1,90,0,0,0.0,0.0,0,0,0,18,83.3,0,0,0.0,100.0,0.2,10,0,0,0,0,0,0,0,0,0,0,0,12,40.0,22.0,0,0,0,0.0,24_25,12,03/11/2024,1,"[{'minutos': [7, 3240.0]}, {'porterias_cero': [1, 15.0]}, {'paradas': [8, 86.0]}, {'save_pct': [3, 78.1]}]"
Fábio Silva,POR,22,DT,37,las palmas,atletico madrid,1,86,0,0,0.0,0.0,1,0,1,24,41.7,0,0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,2,4,1,3,11,58.0,17.0,1,4,3,57.1,24_25,12,03/11/2024,0,[]
Jaime Mata,ESP,36,DT,17,las palmas,atletico madrid,0,4,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,1,0.0,24_25,12,03/11/2024,0,"[{'apariciones_suplente': [3, 26.0]}]"
Alberto Moleiro,ESP,21,DT,10,las palmas,atletico madrid,1,90,0,0,0.0,0.0,0,0,0,27,70.4,0,0,0.0,0.0,0.0,2,2,2,0,2,1,0,1,0,5,1,3,21,158.0,105.0,3,0,2,0.0,24_25,12,03/11/2024,0,"[{'regates_exitosos': [8, 64.0]}]"
Sandro Ramírez,ESP,29,DT,19,las palmas,atletico madrid,1,63,0,0,0.0,0.0,0,0,0,21,57.1,0,0,0.0,0.0,0.0,4,3,3,0,1,2,0,2,0,0,0,0,6,14.0,11.0,0,1,1,50.0,24_25,12,03/11/2024,0,[]
Oliver McBurnie,SCO,28,DT,16,las palmas,atletico madrid,0,27,0,0,0.0,0.0,0,0,0,6,50.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,2.0,2.0,0,2,1,66.7,24_25,12,03/11/2024,0,[]
José Campaña,ESP,31,MC,8,las palmas,atletico madrid,1,63,0,0,0.0,0.0,0,0,0,37,94.6,0,0,0.0,0.0,0.0,6,1,0,0,0,0,0,0,2,0,0,0,16,98.0,35.0,0,0,0,0.0,24_25,12,03/11/2024,0,[]
Javier Muñoz,ESP,29,MC,5,las palmas,atletico madrid,0,27,0,0,0.0,0.0,0,0,0,19,73.7,0,0,0.0,0.0,0.0,2,3,2,0,1,0,0,0,1,1,1,0,13,60.0,19.0,0,1,0,100.0,24_25,12,03/11/2024,0,[]
Dario Essugo,POR,19,MC,29,las palmas,atletico madrid,1,90,0,0,0.0,0.0,0,0,0,41,80.5,0,0,0.0,0.0,0.0,4,6,3,0,0,3,2,1,4,2,1,1,25,107.0,37.0,0,4,0,100.0,24_25,12,03/11/2024,0,"[{'amarillas': [6, 11.0]}, {'rojas': [2, 2.0]}]"
Kirian Rodríguez,ESP,28,MC,20,las palmas,atletico madrid,1,86,0,0,0.0,0.0,0,0,0,39,84.6,0,0,0.0,0.0,0.0,2,0,1,0,1,2,0,2,1,2,1,1,19,105.0,55.0,0,2,1,66.7,24_25,12,03/11/2024,0,"[{'pases_ultimo_tercio': [3, 278.0]}]"
Manuel Fuster,ESP,27,MC,14,las palmas,atletico madrid,0,4,0,0,0.0,0.0,0,0,0,7,85.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,4,16.0,6.0,0,0,0,0.0,24_25,12,03/11/2024,0,"[{'apariciones_suplente': [10, 20.0]}]"
Álex Muñoz,ESP,30,DF,23,las palmas,atletico madrid,1,90,0,0,0.0,0.0,0,0,0,32,78.1,0,0,0.0,0.0,0.0,1,2,4,0,2,2,0,2,6,2,0,2,13,91.0,22.0,1,3,0,100.0,24_25,12,03/11/2024,0,[]
Scott McKenna,SCO,27,DF,15,las palmas,atletico madrid,1,90,0,0,0.0,0.0,0,0,0,47,85.1,0,0,0.0,0.0,0.0,4,2,1,0,0,1,1,0,9,0,0,0,29,111.0,38.0,0,4,3,57.1,24_25,12,03/11/2024,0,"[{'rojas': [8, 1.0]}]"
