player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Isaac Romero,ESP,24,DT,7,sevilla,real sociedad,1,79,0,0,0.1,0.0,3,3,0,16,68.8,1,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1,2,0,2,14,37.0,7.0,0,1,2,33.3,24_25,12,03/11/2024,1,"[{'rojas': [8, 1.0]}]"
Kelechi Iheanacho,NGA,28,DT,9,sevilla,real sociedad,0,11,0,0,0.8,0.0,1,1,0,4,75.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,1,0,1,4.0,4.0,0,0,1,0.0,24_25,12,03/11/2024,1,[]
Stanis Idumbo,BEL,19,DT,27,sevilla,real sociedad,1,24,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,2,1,0,0,0,1,0,1,0,1,0,1,4,11.0,2.0,0,0,0,0.0,24_25,12,03/11/2024,1,[]
Jesús Navas,ESP,38,DT,16,sevilla,real sociedad,0,66,0,0,0.0,0.1,0,0,0,54,72.2,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,27,134.0,65.0,1,1,0,100.0,24_25,12,03/11/2024,1,"[{'centros_area': [7, 21.0]}, {'rojas': [10, 1.0]}]"
Dodi Lukebakio,BEL,27,DT,11,sevilla,real sociedad,1,90,0,0,0.2,0.0,2,2,0,32,71.9,0,0,0.0,0.0,0.0,2,1,1,0,0,1,0,1,0,7,2,5,27,119.0,27.0,0,1,1,50.0,24_25,12,03/11/2024,1,"[{'tiros_puerta': [6, 38.0]}, {'regates_exitosos': [2, 84.0]}, {'rojas': [8, 1.0]}]"
Juanlu Sánchez,ESP,21,MC,26,sevilla,real sociedad,1,72,0,0,0.0,0.0,0,0,0,18,83.3,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,1,0,1,11,50.0,25.0,2,0,2,0.0,24_25,12,03/11/2024,1,"[{'rojas': [8, 1.0]}]"
Israel Domínguez,ESP,21,DT,41,sevilla,real sociedad,0,18,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,0,0,1,0.0,24_25,12,03/11/2024,1,[]
Albert Sambi Lokonga,BEL,25,MC,12,sevilla,real sociedad,1,79,0,0,0.0,0.0,0,0,0,62,91.9,0,0,0.0,0.0,0.0,4,1,1,0,0,0,0,0,0,0,0,0,39,239.0,124.0,0,0,1,0.0,24_25,12,03/11/2024,1,[]
Peque,ESP,22,MC,14,sevilla,real sociedad,0,11,0,0,0.0,0.0,0,0,0,7,42.9,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,1,1,0,6,15.0,2.0,0,0,1,0.0,24_25,12,03/11/2024,1,[]
Nemanja Gudelj,SRB,32,MC,6,sevilla,real sociedad,1,90,0,0,0.0,0.0,0,0,0,40,75.0,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,1,0,1,15,54.0,10.0,0,3,1,75.0,24_25,12,03/11/2024,1,[]
Adrià Pedrosa,ESP,26,DF,3,sevilla,real sociedad,1,90,0,0,0.0,0.0,0,0,0,59,74.6,0,0,0.0,0.0,0.0,0,5,5,0,2,2,1,1,2,1,0,1,21,110.0,23.0,1,1,2,33.3,24_25,12,03/11/2024,1,[]
Kike Salas,ESP,22,DF,4,sevilla,real sociedad,1,90,0,0,0.0,0.0,0,0,0,72,76.4,0,0,0.0,0.0,0.0,0,1,0,0,0,2,0,2,4,0,0,0,33,100.0,29.0,0,1,1,50.0,24_25,12,03/11/2024,1,[]
Marcão,BRA,28,DF,23,sevilla,real sociedad,1,72,0,0,0.0,0.0,0,0,0,43,95.3,1,0,0.0,0.0,0.0,-1,1,1,0,0,1,1,0,3,0,0,0,22,93.0,11.0,0,3,1,75.0,24_25,12,03/11/2024,1,"[{'rojas': [8, 1.0]}]"
Djibril Sow,SUI,27,MC,20,sevilla,real sociedad,0,18,0,0,0.0,0.0,1,1,0,12,75.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,7,29.0,6.0,0,0,0,0.0,24_25,12,03/11/2024,1,"[{'goles_por_tiro': [9, 0.25]}]"
Carmona,ESP,22,DF,32,sevilla,real sociedad,1,90,0,0,0.0,0.0,1,1,0,66,80.3,0,0,0.0,0.0,0.0,3,1,1,0,1,0,0,0,2,2,2,0,41,279.0,146.0,2,1,0,100.0,24_25,12,03/11/2024,1,"[{'entradas': [7, 83.0]}, {'intercepciones': [1, 68.0]}, {'amarillas': [6, 11.0]}]"
Álvaro Fernández,ESP,26,PT,1,sevilla,real sociedad,1,90,0,0,0.0,0.1,0,0,0,50,60.0,0,0,2.0,66.7,1.1,0,0,0,0,0,0,0,0,0,0,0,0,29,115.0,67.0,0,0,0,0.0,24_25,12,03/11/2024,1,[]
