player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Álvaro djaló,GNB,25,DT,11,athletic,betis,1,64,0,0,0.0,0.5,0,0,0,12,66.7,0,0,0.0,0.0,0.0,5,1,0,0,0,0,0,0,0,2,1,1,6,38.0,34.0,1,0,1,0.0,24_25,12,03/11/2024,1,[]
Álex Berenguer,ESP,29,MC,7,athletic,betis,0,26,1,0,0.4,0.1,1,0,1,18,77.8,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,13,36.0,19.0,0,0,0,0.0,24_25,12,03/11/2024,1,"[{'asistencias': [8, 7.0]}, {'corners': [5, 101.0]}]"
Nico Williams,ESP,22,DT,10,athletic,betis,1,90,0,0,0.0,0.4,1,1,0,27,66.7,0,0,0.0,0.0,0.0,6,5,3,0,2,3,0,3,0,5,2,3,18,181.0,101.0,6,0,3,0.0,24_25,12,03/11/2024,1,"[{'regates_exitosos': [7, 68.0]}]"
Iñaki Williams,GHA,30,DT,9,athletic,betis,1,90,0,0,0.6,1.9,5,3,2,33,75.8,0,0,0.0,0.0,0.0,12,1,1,0,0,0,0,0,1,5,3,2,29,212.0,123.0,5,2,0,100.0,24_25,12,03/11/2024,1,"[{'asistencias': [4, 8.0]}]"
Oihan Sancet,ESP,24,MC,8,athletic,betis,1,68,0,0,1.5,0.0,3,3,0,22,81.8,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,1,0,1,16,77.0,56.0,2,1,0,100.0,24_25,12,03/11/2024,1,"[{'goles': [8, 15.0]}, {'goles_90': [5, 0.83]}, {'penaltis_marcados': [10, 3.0]}, {'goles_por_tiro': [2, 0.26]}]"
Javi Martón,ESP,25,DT,19,athletic,betis,0,22,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,1,0,100.0,24_25,12,03/11/2024,1,[]
Beñat Prados,ESP,23,MC,24,athletic,betis,1,78,0,0,0.1,0.1,1,0,1,39,89.7,0,0,0.0,0.0,0.0,6,3,0,0,0,1,0,1,1,0,0,0,19,134.0,78.0,2,1,0,100.0,24_25,12,03/11/2024,1,[]
Unai Gómez,ESP,21,MC,20,athletic,betis,0,12,0,0,0.0,0.0,0,0,0,5,60.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,2,11.0,0.0,0,1,0,100.0,24_25,12,03/11/2024,1,[]
Iñigo Ruiz de Galarreta,ESP,31,MC,16,athletic,betis,1,68,0,0,0.0,0.1,0,0,0,45,75.6,0,0,0.0,0.0,0.0,4,4,3,0,0,1,1,0,1,1,0,0,25,83.0,38.0,1,0,0,0.0,24_25,12,03/11/2024,1,"[{'amarillas': [1, 8.0]}, {'faltas_cometidas': [5, 29.0]}]"
Ander Herrera,ESP,35,MC,21,athletic,betis,0,22,0,0,0.8,0.0,2,0,2,24,87.5,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,6,34.0,14.0,0,1,0,100.0,24_25,12,03/11/2024,1,[]
Yuri Berchiche,ESP,34,DF,17,athletic,betis,1,90,0,0,0.0,0.0,0,0,0,68,80.9,0,0,0.0,0.0,0.0,5,3,1,0,0,1,0,1,3,1,0,0,28,131.0,86.0,2,4,2,66.7,24_25,12,03/11/2024,1,[]
