player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Kylian Mbappé,DT,real madrid,osasuna,1,90,0,0,0.3,0.4,5,4,1,39,92.3,0,0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,12,6,3,36,273.0,189.0,8,0,0,0.0,24_25,13,09/11/2024,1,"[{'goles': [1, 31.0]}, {'goles_90': [2, 0.96]}, {'penaltis_marcados': [2, 7.0]}, {'tiros_puerta': [1, 75.0]}, {'regates_exitosos': [3, 83.0]}, {'rojas': [8, 1.0]}]"
Vinicius Júnior,DT,real madrid,osasuna,1,74,3,0,2.0,0.1,6,2,4,40,72.5,0,0,0.0,0.0,0.0,23,1,0,0,0,2,0,2,0,13,7,5,51,389.0,232.0,11,0,0,0.0,24_25,13,09/11/2024,1,"[{'asistencias': [4, 8.0]}, {'asistencias_90': [8, 0.32]}, {'pases_clave': [9, 58.0]}, {'regates_exitosos': [4, 82.0]}, {'rojas': [8, 1.0]}, {'faltas_recibidas': [2, 70.0]}]"
Endrick,DT,real madrid,osasuna,0,16,0,0,0.0,0.0,0,0,0,5,80.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,4,1,2,7,54.0,34.0,1,0,0,0.0,24_25,13,09/11/2024,1,[]
Rodrygo,DT,real madrid,osasuna,1,19,0,0,0.0,0.0,1,0,1,17,82.4,0,0,0.0,0.0,0.0,4,0,0,0,0,1,0,1,0,0,0,0,10,61.0,38.0,3,0,0,0.0,24_25,13,09/11/2024,1,"[{'tiros_puerta': [6, 35.0]}, {'regates_exitosos': [8, 60.0]}]"
Brahim Díaz,DT,real madrid,osasuna,0,71,0,1,0.0,0.6,1,1,0,54,83.3,0,0,0.0,0.0,0.0,12,4,0,0,0,1,0,1,0,6,2,3,40,143.0,46.0,0,0,2,0.0,24_25,13,09/11/2024,1,"[{'asistencias_90': [5, 0.35]}]"
Jude Bellingham,MC,real madrid,osasuna,1,74,1,1,0.5,0.1,2,1,1,50,90.0,0,0,0.0,0.0,0.0,16,1,1,0,1,2,0,2,0,4,3,1,34,202.0,95.0,4,0,0,0.0,24_25,13,09/11/2024,1,"[{'asistencias': [4, 8.0]}, {'rojas': [8, 1.0]}, {'faltas_recibidas': [5, 64.0]}]"
Arda Güler,MC,real madrid,osasuna,0,16,0,0,0.0,0.0,0,0,0,13,84.6,0,0,0.0,0.0,0.0,2,2,1,0,1,0,0,0,0,0,0,0,9,50.0,14.0,1,0,1,0.0,24_25,13,09/11/2024,1,"[{'asistencias': [4, 5.0]}, {'asistencias_90': [8, 0.4]}, {'pases_clave': [2, 40.0]}, {'corners': [7, 48.0]}]"
Eduardo Camavinga,MC,real madrid,osasuna,1,90,0,0,0.1,0.0,1,1,0,53,86.8,0,0,0.0,0.0,0.0,7,1,0,0,0,3,1,2,3,3,1,1,41,230.0,110.0,0,1,0,100.0,24_25,13,09/11/2024,1,"[{'pases_completados_pct': [10, 90.7]}, {'entradas': [8, 76.0]}, {'faltas_recibidas': [8, 68.0]}]"
Federico Valverde,DF,real madrid,osasuna,1,90,0,0,0.1,0.0,1,0,1,60,91.7,0,0,0.0,0.0,0.0,6,1,2,0,1,1,0,1,0,1,1,0,36,251.0,122.0,2,1,0,100.0,24_25,13,09/11/2024,1,"[{'pases_ultimo_tercio': [4, 232.0]}, {'intercepciones': [2, 55.0]}]"
Fran Garcia,DF,real madrid,osasuna,1,90,0,0,0.1,0.0,1,1,0,74,89.2,0,0,0.0,0.0,0.0,8,1,1,0,0,0,0,0,1,1,0,1,45,176.0,107.0,2,1,0,100.0,24_25,13,09/11/2024,1,"[{'asistencias_90': [9, 0.32]}]"
Antonio Rüdiger,DF,real madrid,osasuna,1,90,0,0,0.0,0.0,0,0,0,96,93.8,0,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,2,0,0,0,72,398.0,289.0,1,2,1,66.7,24_25,13,09/11/2024,1,"[{'pases_completados_pct': [9, 91.8]}]"
Éder Militão,DF,real madrid,osasuna,1,29,0,0,0.0,0.0,0,0,0,20,85.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,1,0,1,19,77.0,44.0,0,1,0,100.0,24_25,13,09/11/2024,1,[]
Raúl Asencio,DF,real madrid,osasuna,0,61,0,1,0.0,0.4,0,0,0,47,93.6,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,3,0,0,0,37,233.0,132.0,1,0,1,0.0,24_25,13,09/11/2024,1,"[{'pases_completados_pct': [3, 93.8]}]"
Lucas Vázquez,DF,real madrid,osasuna,1,45,0,0,0.0,0.0,0,0,0,32,81.3,0,0,0.0,0.0,0.0,3,3,4,0,1,0,0,0,0,0,0,0,15,72.0,36.0,1,0,0,0.0,24_25,13,09/11/2024,1,"[{'asistencias_90': [4, 0.38]}]"
Luka Modrić,MC,real madrid,osasuna,0,45,0,0,0.0,0.0,0,0,0,38,86.8,0,0,0.0,0.0,0.0,3,1,1,0,0,1,0,1,0,1,0,1,28,126.0,79.0,1,0,0,0.0,24_25,13,09/11/2024,1,"[{'asistencias_90': [10, 0.3]}, {'pases_clave': [5, 66.0]}, {'pases_ultimo_tercio': [6, 225.0]}, {'corners': [6, 98.0]}]"
Andriy Lunin,PT,real madrid,osasuna,1,90,0,1,0.0,0.9,0,0,0,34,94.1,0,0,0.0,0.0,0.0,15,0,0,0,0,0,0,0,0,0,0,0,21,83.0,49.0,0,0,0,0.0,24_25,13,09/11/2024,1,"[{'porterias_cero': [8, 10.0]}, {'save_pct': [8, 75.4]}]"
Ante Budimir,DT,osasuna,real madrid,1,70,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,1,0,0,0,0,2,1,1,3,0,0,0,2,10.0,0.0,0,1,2,33.3,24_25,13,09/11/2024,0,"[{'goles': [3, 21.0]}, {'goles_90': [7, 0.64]}, {'penaltis_marcados': [1, 8.0]}, {'tiros_puerta': [9, 29.0]}]"
Moi Gómez,MC,osasuna,real madrid,0,20,0,0,0.0,0.0,0,0,0,13,84.6,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,1,1,0,13,81.0,35.0,1,0,0,0.0,24_25,13,09/11/2024,0,"[{'apariciones_suplente': [10, 20.0]}]"
Bryan Zaragoza,DT,osasuna,real madrid,1,81,0,0,0.0,0.0,0,0,0,17,35.3,0,0,0.0,0.0,0.0,0,0,3,0,3,0,0,0,0,5,1,4,17,198.0,126.0,5,0,0,0.0,24_25,13,09/11/2024,0,"[{'regates_exitosos': [9, 57.0]}]"
José Arnaiz,DT,osasuna,real madrid,0,9,0,0,0.0,0.0,1,1,0,4,75.0,0,0,0.0,0.0,0.0,2,1,2,0,1,0,0,0,0,0,0,0,2,21.0,13.0,0,0,1,0.0,24_25,13,09/11/2024,0,[]
Rubén Peña,DT,osasuna,real madrid,1,58,0,0,0.0,0.0,0,0,0,8,62.5,0,0,0.0,0.0,0.0,-1,2,3,0,3,1,0,1,0,0,0,0,7,51.0,26.0,1,0,0,0.0,24_25,13,09/11/2024,0,[]
Raúl,DT,osasuna,real madrid,0,32,0,0,0.0,0.0,0,0,0,8,25.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,7,37.0,3.0,0,0,0,0.0,24_25,13,09/11/2024,0,"[{'apariciones_suplente': [2, 27.0]}]"
Aimar Oroz,MC,osasuna,real madrid,1,71,0,0,0.0,0.0,0,0,0,25,76.0,0,0,0.0,0.0,0.0,0,2,3,0,2,2,1,1,0,1,1,0,18,161.0,128.0,4,0,0,0.0,24_25,13,09/11/2024,0,"[{'faltas_recibidas': [5, 64.0]}]"
Rubén García,DT,osasuna,real madrid,0,19,0,0,0.0,0.0,0,0,0,9,44.4,0,0,0.0,0.0,0.0,2,3,4,0,2,1,0,1,0,0,0,0,8,58.0,15.0,0,1,1,50.0,24_25,13,09/11/2024,0,"[{'asistencias': [8, 4.0]}, {'asistencias_90': [5, 0.45]}, {'corners': [9, 32.0]}]"
Lucas Torró,MC,osasuna,real madrid,1,90,0,0,0.0,0.0,0,0,0,32,87.5,1,0,0.0,0.0,0.0,0,4,5,0,2,1,0,1,1,0,0,0,20,94.0,28.0,1,1,1,50.0,24_25,13,09/11/2024,0,"[{'faltas_cometidas': [1, 75.0]}]"
Jon Moncayola,MC,osasuna,real madrid,1,80,0,0,0.0,0.0,0,0,0,20,70.0,0,0,0.0,0.0,0.0,0,2,6,0,4,0,0,0,1,0,0,0,14,67.0,25.0,1,0,0,0.0,24_25,13,09/11/2024,0,"[{'rojas': [10, 1.0]}]"
Iker Muñoz,MC,osasuna,real madrid,0,10,0,0,0.0,0.0,0,0,0,5,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,5,27.0,4.0,0,0,1,0.0,24_25,13,09/11/2024,0,[]
Abel Bretones,DF,osasuna,real madrid,1,90,0,0,0.0,0.0,1,1,0,42,81.0,0,0,0.0,0.0,0.0,2,1,1,0,0,1,0,1,3,1,0,1,26,146.0,68.0,1,2,0,100.0,24_25,13,09/11/2024,0,"[{'rojas': [2, 1.0]}]"
Enzo Boyomo,DF,osasuna,real madrid,1,90,0,0,0.0,0.0,0,0,0,36,94.4,0,0,0.0,0.0,0.0,-1,1,2,0,1,2,2,0,4,0,0,0,24,118.0,45.0,0,0,0,0.0,24_25,13,09/11/2024,0,"[{'minutos': [6, 3257.0]}]"
Catena,DF,osasuna,real madrid,1,90,0,0,0.0,0.0,0,0,0,34,73.5,1,0,0.0,0.0,0.0,-2,3,3,0,1,2,1,1,5,1,1,0,24,117.0,75.0,0,0,0,0.0,24_25,13,09/11/2024,0,"[{'despejes': [5, 221.0]}, {'amarillas': [6, 11.0]}]"
Jesús Areso,DF,osasuna,real madrid,1,90,0,0,0.0,0.0,0,0,0,34,64.7,0,0,0.0,0.0,0.0,-1,5,5,0,1,2,1,1,3,1,0,1,20,91.0,40.0,1,0,0,0.0,24_25,13,09/11/2024,0,"[{'centros_area': [2, 30.0]}]"
Sergio Herrera,PT,osasuna,real madrid,1,90,0,0,0.0,0.0,0,0,0,32,59.4,0,0,4.0,50.0,3.5,1,0,1,0,1,0,0,0,0,0,0,0,17,91.0,29.0,0,0,0,0.0,24_25,13,09/11/2024,0,"[{'minutos': [3, 3330.0]}, {'porterias_cero': [7, 8.0]}, {'paradas': [2, 131.0]}, {'save_pct': [7, 75.3]}]"
