player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Miguel,ESP,25,DT,9,leganes,sevilla,1,90,1,0,0.9,0.0,2,0,2,11,18.2,0,0,0.0,0.0,0.0,12,0,0,0,0,1,1,0,0,2,2,0,5,23.0,18.0,1,3,5,37.5,24_25,13,09/11/2024,1,[]
Munir El Haddadi,MAR,29,DT,23,leganes,sevilla,1,90,0,0,0.1,0.0,2,1,1,18,44.4,0,0,0.0,0.0,0.0,3,4,4,0,1,3,1,2,1,2,0,2,12,42.0,7.0,0,0,6,0.0,24_25,13,09/11/2024,1,"[{'rojas': [8, 1.0]}]"
Juan Cruz,ESP,24,DT,11,leganes,sevilla,1,75,0,0,0.0,0.1,1,1,0,20,45.0,0,0,0.0,0.0,0.0,5,0,0,0,0,1,0,1,1,0,0,0,12,61.0,27.0,0,0,0,0.0,24_25,13,09/11/2024,1,[]
Óscar Rodríguez Arnaiz,ESP,26,MC,7,leganes,sevilla,0,15,0,0,0.0,0.0,1,1,0,9,88.9,0,0,0.0,0.0,0.0,1,1,2,0,1,0,0,0,0,1,0,1,7,25.0,7.0,0,0,1,0.0,24_25,13,09/11/2024,1,"[{'rojas': [8, 1.0]}]"
Darko Brašanac,SRB,32,MC,14,leganes,sevilla,1,90,0,0,0.0,0.0,1,1,0,38,81.6,0,0,0.0,0.0,0.0,8,3,2,0,1,0,0,0,1,0,0,0,15,48.0,25.0,1,3,2,60.0,24_25,13,09/11/2024,1,[]
Seydouba Cissé,GUI,23,MC,8,leganes,sevilla,1,88,0,0,0.0,0.0,0,0,0,38,76.3,1,0,0.0,0.0,0.0,7,4,0,0,0,1,0,1,0,1,1,0,20,121.0,70.0,1,2,4,33.3,24_25,13,09/11/2024,1,"[{'rojas': [8, 1.0]}]"
Roberto López,ESP,24,MC,21,leganes,sevilla,0,2,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,1,6.0,5.0,0,0,0,0.0,24_25,13,09/11/2024,1,[]
Renato Tapia,PER,29,MC,5,leganes,sevilla,1,75,0,0,0.0,0.0,0,0,0,38,73.7,0,0,0.0,0.0,0.0,5,0,1,0,1,0,0,0,2,0,0,0,20,87.0,44.0,1,2,1,66.7,24_25,13,09/11/2024,1,"[{'rojas': [10, 1.0]}]"
Julián Chicco,ARG,26,MC,24,leganes,sevilla,0,15,0,0,0.0,0.0,0,0,0,5,80.0,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,0,0,0,4,19.0,0.0,0,0,0,0.0,24_25,13,09/11/2024,1,[]
Enric Franquesa,ESP,27,DF,15,leganes,sevilla,1,66,0,0,0.0,0.0,0,0,0,39,76.9,0,0,0.0,0.0,0.0,5,1,3,0,2,0,0,0,0,2,2,0,22,180.0,95.0,5,0,2,0.0,24_25,13,09/11/2024,1,[]
