player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Vitor Roque,BRA,19,DT,8,betis,celta,1,90,1,0,0.7,0.0,5,2,3,11,81.8,0,0,0.0,0.0,0.0,10,1,0,0,0,0,0,0,0,3,3,0,19,111.0,31.0,3,0,4,0.0,24_25,13,10/11/2024,1,"[{'rojas': [10, 1.0]}]"
Iker Losada,ESP,23,DT,19,betis,celta,1,85,0,0,0.1,0.1,2,2,0,34,85.3,0,0,0.0,0.0,0.0,5,0,1,0,1,0,0,0,0,3,1,2,31,200.0,131.0,6,1,0,100.0,24_25,13,10/11/2024,1,[]
Cédric Bakambu,COD,33,DT,11,betis,celta,0,5,0,0,0.0,0.2,0,0,0,2,50.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,2,0.0,24_25,13,10/11/2024,1,[]
Abde Ezzalzouli,MAR,22,MC,10,betis,celta,1,85,0,0,0.3,0.2,2,2,0,39,74.4,0,0,0.0,0.0,0.0,5,1,0,0,0,1,0,1,0,8,5,2,35,294.0,165.0,5,0,1,0.0,24_25,13,10/11/2024,1,"[{'apariciones_suplente': [6, 22.0]}]"
Ezequiel Ávila,ARG,30,MC,9,betis,celta,0,5,0,0,0.0,0.0,1,1,0,8,87.5,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,4,21.0,12.0,1,0,0,0.0,24_25,13,10/11/2024,1,"[{'rojas': [8, 1.0]}]"
Johnny Cardoso,USA,23,MC,4,betis,celta,1,55,0,1,0.0,0.3,0,0,0,41,85.4,1,0,0.0,0.0,0.0,7,4,2,0,0,0,0,0,0,0,0,0,35,150.0,47.0,1,0,0,0.0,24_25,13,10/11/2024,1,"[{'intercepciones': [6, 48.0]}]"
Giovani Lo Celso,ARG,28,MC,20,betis,celta,0,35,0,1,0.1,0.3,1,1,0,36,80.6,0,0,0.0,0.0,0.0,8,1,0,0,0,0,0,0,0,0,0,0,24,114.0,40.0,0,0,0,0.0,24_25,13,10/11/2024,1,"[{'faltas_recibidas': [7, 63.0]}]"
Sergi Altimira,ESP,23,MC,16,betis,celta,1,90,0,0,0.1,0.2,2,2,0,87,90.8,0,0,0.0,0.0,0.0,3,5,5,0,2,0,0,0,0,1,1,0,78,326.0,160.0,1,0,1,0.0,24_25,13,10/11/2024,1,[]
Pablo Fornals,ESP,28,MC,18,betis,celta,1,74,0,0,0.1,0.1,1,0,1,45,84.4,0,0,0.0,0.0,0.0,6,0,0,0,0,1,0,1,0,1,0,1,33,97.0,32.0,1,0,1,0.0,24_25,13,10/11/2024,1,"[{'asistencias': [8, 4.0]}, {'pases_clave': [4, 36.0]}, {'pases_ultimo_tercio': [9, 98.0]}, {'corners': [8, 40.0]}]"
Juanmi,ESP,31,MC,7,betis,celta,0,16,0,0,0.0,0.0,0,0,0,8,87.5,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,43.0,1.0,0,0,0,0.0,24_25,13,10/11/2024,1,[]
