player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Álvaro djaló,DT,athletic,real sociedad,1,59,0,0,0.3,0.0,4,3,1,6,50.0,0,0,0.0,0.0,0.0,4,2,1,0,0,1,0,1,1,0,0,0,7,23.0,13.0,1,0,3,0.0,24_25,14,1
Gorka Guruzeta,DT,athletic,real sociedad,0,31,0,0,0.0,0.0,1,0,1,9,66.7,0,0,0.0,0.0,0.0,2,0,1,0,1,1,0,1,0,1,1,0,7,26.0,2.0,0,3,2,60.0,24_25,14,1
Nico Williams,DT,athletic,real sociedad,1,90,0,1,0.2,0.4,1,1,0,29,69.0,0,0,0.0,0.0,0.0,13,2,1,0,0,3,0,3,1,14,5,9,33,340.0,236.0,8,0,0,0.0,24_25,14,1
Iñaki Williams,DT,athletic,real sociedad,1,76,0,0,0.0,0.0,1,1,0,18,50.0,0,0,0.0,0.0,0.0,3,2,2,0,0,0,0,0,0,3,0,3,16,96.0,41.0,3,2,1,66.7,24_25,14,1
Álex Berenguer,DT,athletic,real sociedad,0,14,0,0,0.0,0.0,0,0,0,6,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,1,0,4,33.0,22.0,1,2,0,100.0,24_25,14,1
Oihan Sancet,MC,athletic,real sociedad,1,69,1,0,0.4,0.6,2,1,1,22,86.4,0,0,0.0,0.0,0.0,14,2,1,0,0,0,0,0,0,3,3,0,20,156.0,73.0,2,3,1,75.0,24_25,14,1
Unai Gómez,MC,athletic,real sociedad,0,21,0,0,0.0,0.0,0,0,0,5,60.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,2,6.0,5.0,0,2,2,50.0,24_25,14,1
Beñat Prados,MC,athletic,real sociedad,1,59,0,0,0.4,0.0,2,1,1,17,82.4,1,0,0.0,0.0,0.0,4,2,5,0,4,1,0,1,1,0,0,0,14,62.0,38.0,1,0,1,0.0,24_25,14,1
Mikel Jauregizar,MC,athletic,real sociedad,0,31,0,0,0.0,0.0,0,0,0,5,100.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,5,11.0,4.0,0,1,1,50.0,24_25,14,1
Iñigo Ruiz de Galarreta,MC,athletic,real sociedad,1,76,0,0,0.0,0.3,1,1,0,39,71.8,1,0,0.0,0.0,0.0,5,3,2,0,0,0,0,0,0,0,0,0,19,78.0,29.0,1,0,0,0.0,24_25,14,1
Ander Herrera,MC,athletic,real sociedad,0,14,0,0,0.0,0.0,0,0,0,7,85.7,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,1,0,0,0,2,5.0,3.0,0,0,0,0.0,24_25,14,1
Yuri Berchiche,DF,athletic,real sociedad,1,90,0,0,0.0,0.0,0,0,0,38,84.2,1,0,0.0,0.0,0.0,4,0,1,0,1,1,0,1,1,1,0,1,16,44.0,9.0,0,0,0,0.0,24_25,14,1
Yeray Álvarez,DF,athletic,real sociedad,1,90,0,0,0.0,0.0,0,0,0,35,74.3,0,0,0.0,0.0,0.0,8,1,0,0,0,0,0,0,3,0,0,0,15,76.0,25.0,0,2,1,66.7,24_25,14,1
Daniel Vivian,DF,athletic,real sociedad,1,90,0,0,0.0,0.0,0,0,0,41,80.5,0,0,0.0,0.0,0.0,8,2,3,0,1,0,0,0,3,1,1,0,18,107.0,47.0,1,2,0,100.0,24_25,14,1
Óscar de Marcos,DF,athletic,real sociedad,1,90,0,0,0.0,0.0,0,0,0,55,69.1,0,0,0.0,0.0,0.0,6,2,5,0,3,0,0,0,3,0,0,0,26,69.0,21.0,1,1,0,100.0,24_25,14,1
Julen Agirrezabala,PT,athletic,real sociedad,1,90,0,0,0.0,0.0,0,0,0,35,42.9,0,0,0.0,100.0,0.1,8,0,0,0,0,0,0,0,1,0,0,0,21,133.0,74.0,0,0,0,0.0,24_25,14,1
Mikel Oyarzabal,DT,real sociedad,athletic,1,90,0,0,0.1,0.0,1,1,0,10,70.0,0,0,0.0,0.0,0.0,3,1,1,0,1,0,0,0,2,0,0,0,7,19.0,6.0,0,1,3,25.0,24_25,14,0
Ander Barrenetxea,MC,real sociedad,athletic,1,59,0,0,0.0,0.2,0,0,0,27,70.4,0,0,0.0,0.0,0.0,4,2,0,0,0,3,0,3,2,4,0,4,25,141.0,47.0,2,0,0,0.0,24_25,14,0
Sheraldo Becker,MC,real sociedad,athletic,0,31,0,0,0.0,0.0,0,0,0,3,66.7,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0.0,0,0,1,0.0,24_25,14,0
Luka Sučić,MC,real sociedad,athletic,1,90,0,0,0.1,0.2,1,1,0,28,78.6,1,0,0.0,0.0,0.0,6,1,0,0,0,3,0,3,2,2,2,0,20,117.0,44.0,1,0,0,0.0,24_25,14,0
Sergio Gómez,MC,real sociedad,athletic,1,90,0,0,0.0,0.1,1,0,1,44,81.8,0,0,0.0,0.0,0.0,6,8,4,0,1,4,0,4,3,6,2,4,22,111.0,54.0,2,0,1,0.0,24_25,14,0
Takefusa Kubo,MC,real sociedad,athletic,1,59,0,0,0.1,0.0,1,1,0,21,61.9,0,0,0.0,0.0,0.0,4,2,3,0,2,2,0,2,1,4,3,1,12,143.0,107.0,3,0,0,0.0,24_25,14,0
