player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Hugo Duro,DT,valencia,betis,1,73,2,1,0.8,0.4,3,1,2,18,77.8,0,0,0.0,0.0,0.0,16,0,0,0,0,0,0,0,0,2,1,1,16,60.0,36.0,1,3,1,75.0
Dani Gómez,DT,valencia,betis,0,17,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,2,17.0,0.0,0,0,2,0.0
Diego López,MC,valencia,betis,1,73,1,0,0.2,0.0,3,2,1,27,74.1,0,0,0.0,0.0,0.0,8,0,2,0,2,1,0,1,0,2,1,1,20,156.0,107.0,5,0,3,0.0
Germán Valera,MC,valencia,betis,0,17,0,0,0.1,0.0,1,0,1,9,100.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,9,66.0,32.0,1,0,0,0.0
Javier Guerra,MC,valencia,betis,1,81,0,1,0.0,0.5,1,1,0,44,72.7,0,0,0.0,0.0,0.0,10,8,4,0,1,2,0,2,1,2,0,2,24,78.0,34.0,0,1,0,100.0
Domingos André Ribeiro Almeida,MC,valencia,betis,0,9,0,0,0.0,0.0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,3,3,0,1,10.0,0.0,0,0,0,0.0
Enzo Barrenechea,MC,valencia,betis,1,74,0,0,0.0,0.0,1,1,0,54,85.2,1,0,0.0,0.0,0.0,1,3,0,0,0,3,0,3,0,1,0,1,28,123.0,50.0,1,0,1,0.0
Hugo Guillamón,MC,valencia,betis,0,16,0,0,0.0,0.0,0,0,0,8,100.0,0,0,0.0,0.0,0.0,2,2,2,0,0,0,0,0,1,0,0,0,5,19.0,3.0,0,0,2,0.0
Luis Rioja,MC,valencia,betis,1,89,0,0,0.0,0.1,1,1,0,38,76.3,0,0,0.0,0.0,0.0,2,2,2,0,0,2,0,2,0,2,0,2,26,146.0,57.0,3,0,1,0.0
Francisco Perez,MC,valencia,betis,0,1,0,0,0.0,0.0,0,0,0,5,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,5,49.0,22.0,0,0,0,0.0
José Luis Gayà,DF,valencia,betis,1,90,0,0,0.0,0.2,0,0,0,45,77.8,1,0,0.0,0.0,0.0,2,4,5,0,2,0,0,0,3,3,1,2,35,154.0,79.0,1,1,0,100.0
Yarek Gasiorowski,DF,valencia,betis,1,90,0,0,0.0,0.0,0,0,0,45,80.0,0,0,0.0,0.0,0.0,3,5,4,0,0,0,0,0,5,0,0,0,24,86.0,41.0,0,3,1,75.0
Cristhian Mosquera,DF,valencia,betis,1,90,0,0,0.0,0.0,0,0,0,48,97.9,0,0,0.0,0.0,0.0,3,1,0,0,0,1,0,1,3,1,1,0,33,145.0,54.0,0,0,1,0.0
César Tárrega,DF,valencia,betis,1,90,1,0,0.4,0.0,1,0,1,39,74.4,1,0,0.0,0.0,0.0,10,3,0,0,0,0,0,0,9,0,0,0,22,125.0,73.0,1,3,2,60.0
Dimitri Foulquier,DF,valencia,betis,1,90,0,0,0.0,0.0,0,0,0,35,71.4,0,0,0.0,0.0,0.0,1,2,3,0,2,0,0,0,3,2,0,2,20,80.0,30.0,0,1,1,50.0
Giorgi Mamardashvili,PT,valencia,betis,1,90,0,0,0.0,0.0,0,0,0,35,51.4,0,0,2.0,33.3,1.0,1,0,0,0,0,0,0,0,0,0,0,0,25,105.0,29.0,0,0,0,0.0
Vitor Roque,DT,betis,valencia,1,80,0,0,0.0,0.0,0,0,0,14,57.1,0,0,0.0,0.0,0.0,-1,0,1,0,1,0,0,0,0,1,0,1,8,49.0,15.0,0,3,0,100.0
Assane Diao,MC,betis,valencia,0,10,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,1,1,0,3,23.0,18.0,1,0,0,0.0
Abde Ezzalzouli,DT,betis,valencia,1,67,0,0,0.6,0.0,2,0,2,21,52.4,0,0,0.0,0.0,0.0,3,2,1,0,0,4,2,2,0,6,2,4,24,226.0,171.0,5,1,2,33.3
Juanmi,MC,betis,valencia,0,23,0,0,0.0,0.0,0,0,0,6,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,4,31.0,19.0,1,0,0,0.0
Aitor Ruibal,DT,betis,valencia,1,57,0,0,0.0,0.1,0,0,0,17,64.7,0,0,0.0,0.0,0.0,1,1,1,0,0,1,0,1,2,3,0,3,11,39.0,10.0,0,1,3,25.0
Cédric Bakambu,DT,betis,valencia,0,33,0,1,0.4,0.0,2,2,0,6,66.7,1,0,0.0,0.0,0.0,4,0,0,0,0,1,0,1,0,0,0,0,8,26.0,5.0,0,0,1,0.0
Iker Losada,MC,betis,valencia,1,56,0,0,0.0,0.1,0,0,0,11,81.8,0,0,0.0,0.0,0.0,-1,1,0,0,0,0,0,0,0,0,0,0,8,22.0,9.0,0,0,0,0.0
Ezequiel Ávila,MC,betis,valencia,0,34,1,0,0.1,0.0,2,1,1,13,69.2,0,0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,0,0,0,6,14.0,7.0,0,0,1,0.0
Carlos Guirao,MC,betis,valencia,1,56,0,0,0.0,0.0,0,0,0,21,66.7,0,0,0.0,0.0,0.0,0,3,2,0,0,1,1,0,1,1,1,0,15,67.0,29.0,1,1,1,50.0
Giovani Lo Celso,MC,betis,valencia,0,34,0,0,0.0,0.4,0,0,0,36,80.6,0,0,0.0,0.0,0.0,4,1,0,0,0,0,0,0,0,4,0,3,24,142.0,72.0,0,1,0,100.0
Sergi Altimira,MC,betis,valencia,1,90,0,0,0.0,0.5,0,0,0,62,95.2,0,0,0.0,0.0,0.0,3,2,3,0,2,2,0,2,1,1,0,1,45,247.0,76.0,0,1,0,100.0
Romain Perraud,DF,betis,valencia,1,90,0,0,0.0,0.0,0,0,0,61,82.0,0,0,0.0,0.0,0.0,-2,1,3,0,2,1,1,0,1,0,0,0,40,248.0,122.0,1,0,0,0.0
Natan,DF,betis,valencia,1,90,0,0,0.0,0.0,0,0,0,56,82.1,0,0,0.0,0.0,0.0,-1,3,3,0,0,1,0,1,7,1,0,0,36,147.0,74.0,0,1,1,50.0
Marc Bartra,DF,betis,valencia,1,90,0,0,0.1,0.0,1,1,0,61,78.7,0,0,0.0,0.0,0.0,-1,0,0,0,0,1,0,1,4,2,1,1,45,279.0,174.0,1,5,3,62.5
Youssouf Sabaly,DF,betis,valencia,1,90,0,0,0.0,0.1,0,0,0,62,90.3,1,0,0.0,0.0,0.0,-2,2,4,0,2,1,0,1,2,5,2,2,38,152.0,81.0,1,1,0,100.0
Rui Silva,PT,betis,valencia,1,90,0,0,0.0,0.1,0,0,0,38,81.6,0,0,4.0,20.0,2.5,1,0,0,0,0,0,0,0,0,0,0,0,25,104.0,61.0,0,0,0,0.0
