player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Bojan Miovski,DT,girona,espanyol,1,70,2,1,2.2,0.1,3,1,2,14,85.7,0,0,0.0,0.0,0.0,18,0,0,0,0,0,0,0,1,2,1,1,12,59.0,9.0,0,0,0,0.0,24_25,14,23/11/2024,1,[]
Cristhian Stuani,DT,girona,espanyol,0,20,0,0,0.0,0.0,0,0,0,4,50.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,1,0,1,2,5.0,0.0,0,0,0,0.0,24_25,14,23/11/2024,1,"[{'penaltis_marcados': [10, 3.0]}, {'goles_por_tiro': [2, 0.26]}, {'apariciones_suplente': [3, 26.0]}]"
Bryan Gil,DT,girona,espanyol,1,71,1,2,0.1,1.5,1,0,1,36,86.1,0,0,0.0,0.0,0.0,18,1,0,0,0,1,0,1,1,1,1,0,24,157.0,89.0,3,0,0,0.0,24_25,14,23/11/2024,1,[]
Arnaut Danjuma,DT,girona,espanyol,0,19,0,0,0.0,0.0,0,0,0,7,42.9,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,1,9,204.0,135.0,4,0,0,0.0,24_25,14,23/11/2024,1,[]
Yaser Asprilla,DT,girona,espanyol,1,59,0,0,0.1,0.1,2,2,0,41,73.2,0,0,0.0,0.0,0.0,5,0,1,0,1,1,0,1,0,3,3,0,26,204.0,52.0,1,0,0,0.0,24_25,14,23/11/2024,1,[]
Viktor Tsyhankov,DT,girona,espanyol,0,31,0,0,0.2,0.0,2,2,0,25,88.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,1,1,0,21,139.0,60.0,2,0,0,0.0,24_25,14,23/11/2024,1,"[{'corners': [10, 80.0]}]"
Donny van de Beek,MC,girona,espanyol,1,59,0,1,0.2,1.5,2,1,1,30,86.7,0,0,0.0,0.0,0.0,11,3,1,0,0,0,0,0,0,1,0,1,20,92.0,18.0,0,3,0,100.0,24_25,14,23/11/2024,1,[]
Iván Martín,MC,girona,espanyol,0,31,0,0,0.0,0.1,0,0,0,43,97.7,0,0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,3,1,1,27,214.0,89.0,1,0,0,0.0,24_25,14,23/11/2024,1,"[{'goles_por_tiro': [7, 0.26]}, {'pases_completados_pct': [9, 91.3]}]"
Miguel Gutiérrez,MC,girona,espanyol,1,81,0,0,0.0,0.0,1,1,0,74,90.5,0,0,0.0,0.0,0.0,4,1,1,0,0,2,1,1,1,1,0,1,38,260.0,150.0,7,0,0,0.0,24_25,14,23/11/2024,1,"[{'centros_area': [6, 27.0]}]"
Silvi Clúa,MC,girona,espanyol,0,9,0,0,0.0,0.0,0,0,0,8,100.0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,6,60.0,41.0,1,0,0,0.0,24_25,14,23/11/2024,1,[]
Oriol Romeu,MC,girona,espanyol,1,90,0,0,0.0,0.0,0,0,0,76,93.4,0,0,0.0,0.0,0.0,4,4,2,0,0,1,0,1,0,1,1,0,38,233.0,135.0,1,0,1,0.0,24_25,14,23/11/2024,1,[]
Daley Blind,DF,girona,espanyol,1,90,0,0,0.0,0.0,0,0,0,106,92.5,0,0,0.0,0.0,0.0,4,0,1,0,1,2,1,1,4,1,0,1,53,243.0,101.0,2,1,0,100.0,24_25,14,23/11/2024,1,"[{'pases_ultimo_tercio': [2, 310.0]}]"
Ladislav Krejčí,DF,girona,espanyol,1,90,1,0,0.7,0.0,1,0,1,111,91.0,0,0,0.0,0.0,0.0,11,0,1,0,1,1,1,0,2,0,0,0,52,361.0,205.0,1,1,0,100.0,24_25,14,23/11/2024,1,[]
David López,DF,girona,espanyol,1,90,0,0,0.0,0.0,0,0,0,107,92.5,0,0,0.0,0.0,0.0,6,1,2,0,1,2,1,1,4,0,0,0,49,268.0,100.0,0,1,1,50.0,24_25,14,23/11/2024,1,"[{'pases_completados_pct': [7, 92.1]}]"
