player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Irvin Cardona,DT,24,espanyol,celta,1,66,1,0,0.1,0.0,1,0,1,16,62.5,0,0,0.0,0.0,0.0,10,1,0,0,0,0,0,0,1,0,0,0,8,150.0,119.0,2,2,2,50.0,24_25,15,30/11/2024,1,[]
Walid Cheddira,DT,16,espanyol,celta,0,24,1,0,0.2,0.0,1,0,1,5,40.0,0,0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,1,0,0,0,5,21.0,15.0,1,1,1,50.0,24_25,15,30/11/2024,1,[]
Javi Puado,MC,7,espanyol,celta,1,90,0,1,0.0,0.2,0,0,0,15,80.0,0,0,0.0,0.0,0.0,9,2,2,0,0,1,0,1,0,1,0,1,16,96.0,40.0,2,0,2,0.0,24_25,15,30/11/2024,1,"[{'goles': [10, 12.0]}, {'penaltis_marcados': [3, 5.0]}]"
Alex Král,MC,20,espanyol,celta,1,90,0,0,0.0,0.0,0,0,0,18,44.4,0,0,0.0,0.0,0.0,3,1,0,0,0,1,0,1,1,2,1,1,14,114.0,46.0,2,0,0,0.0,24_25,15,30/11/2024,1,[]
Justin Smith,MC,40,espanyol,celta,1,60,0,0,0.0,0.0,0,0,0,10,70.0,0,0,0.0,0.0,0.0,0,4,2,0,0,1,0,1,0,2,1,1,9,119.0,22.0,1,0,0,0.0,24_25,15,30/11/2024,1,[]
Rafael Bauza,MC,35,espanyol,celta,0,30,0,0,0.0,0.0,0,0,0,5,100.0,0,0,0.0,0.0,0.0,1,0,1,0,1,1,1,0,1,0,0,0,5,23.0,15.0,0,0,0,0.0,24_25,15,30/11/2024,1,[]
Jofre,MC,17,espanyol,celta,1,83,0,0,0.4,0.0,4,3,1,7,85.7,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,3,0,2,17,142.0,37.0,1,0,1,0.0,24_25,15,30/11/2024,1,[]
Álvaro Tejero,MC,12,espanyol,celta,0,7,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0,0,0,0.0,24_25,15,30/11/2024,1,[]
Pol Lozano,MC,10,espanyol,celta,1,66,0,0,0.0,0.1,0,0,0,26,76.9,0,0,0.0,0.0,0.0,8,1,0,0,0,3,0,3,0,1,0,0,13,39.0,25.0,0,0,1,0.0,24_25,15,30/11/2024,1,"[{'amarillas': [3, 12.0]}, {'faltas_cometidas': [6, 56.0]}]"
Carlos Romero,MC,22,espanyol,celta,0,24,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,4,0,0,0,0,0.0,0.0,0,2,0,100.0,24_25,15,30/11/2024,1,"[{'entradas': [6, 44.0]}]"
Brian Oliván,DF,14,espanyol,celta,1,90,0,0,0.0,0.0,0,0,0,13,76.9,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,2,0,0,0,9,83.0,38.0,1,0,1,0.0,24_25,15,30/11/2024,1,[]
