player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Mamadou Sylla,SEN,30,DT,7,valladolid,atletico madrid,1,61,0,0,0.3,0.0,2,2,0,9,55.6,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,1,0,0,0,4,8.0,1.0,0,3,2,60.0,24_25,15,30/11/2024,1,"[{'penaltis_marcados': [6, 4.0]}]"
Juanmi Latasa,ESP,23,DT,14,valladolid,atletico madrid,0,29,0,0,0.1,0.0,1,1,0,4,25.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,3,1,75.0,24_25,15,30/11/2024,1,"[{'rojas': [8, 1.0]}]"
Raúl Moro,ESP,21,MC,11,valladolid,atletico madrid,1,45,0,0,0.0,0.0,0,0,0,10,40.0,0,0,0.0,0.0,0.0,3,0,1,0,1,1,0,1,0,6,3,3,10,121.0,66.0,2,0,0,0.0,24_25,15,30/11/2024,1,"[{'regates_exitosos': [9, 57.0]}]"
Víctor Meseguer,ESP,25,MC,4,valladolid,atletico madrid,0,45,0,0,0.0,0.0,0,0,0,32,81.3,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,22,93.0,45.0,1,0,1,0.0,24_25,15,30/11/2024,1,[]
Kike Pérez,ESP,27,MC,8,valladolid,atletico madrid,1,84,0,0,0.0,0.2,1,1,0,36,83.3,1,0,0.0,0.0,0.0,-1,0,0,0,0,2,0,2,1,0,0,0,28,190.0,91.0,1,0,1,0.0,24_25,15,30/11/2024,1,[]
Mario Martín,ESP,20,MC,12,valladolid,atletico madrid,0,6,0,0,0.0,0.0,0,0,0,10,100.0,0,0,0.0,0.0,0.0,3,1,0,0,0,1,0,1,0,2,2,0,9,55.0,30.0,0,0,0,0.0,24_25,15,30/11/2024,1,"[{'rojas': [1, 3.0]}]"
Selim Amallah,MAR,28,MC,21,valladolid,atletico madrid,1,11,0,0,0.0,0.0,0,0,0,5,80.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,5,23.0,8.0,0,0,0,0.0,24_25,15,30/11/2024,1,"[{'rojas': [10, 1.0]}]"
Stanko Jurić,CRO,28,MC,20,valladolid,atletico madrid,0,79,0,0,0.2,0.0,3,2,1,36,97.2,0,0,0.0,0.0,0.0,0,1,1,0,1,1,0,1,2,0,0,0,27,105.0,39.0,0,2,0,100.0,24_25,15,30/11/2024,1,"[{'rojas': [8, 1.0]}]"
Iván Sánchez,ESP,32,DT,10,valladolid,atletico madrid,1,90,0,0,0.0,0.3,1,1,0,34,70.6,0,0,0.0,0.0,0.0,4,1,0,0,0,0,0,0,0,9,5,1,33,258.0,183.0,4,1,2,33.3,24_25,15,30/11/2024,1,"[{'apariciones_suplente': [6, 21.0]}]"
Lucas Oliveira Rosa,BRA,24,DF,22,valladolid,atletico madrid,1,90,0,0,0.0,0.0,0,0,0,42,73.8,0,0,0.0,0.0,0.0,-1,3,4,0,1,2,1,1,1,0,0,0,29,156.0,67.0,2,2,0,100.0,24_25,15,30/11/2024,1,[]
Javi Sánchez,ESP,27,DF,5,valladolid,atletico madrid,1,45,0,0,0.0,0.0,0,0,0,37,89.2,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,3,0,0,0,31,158.0,76.0,0,1,0,100.0,24_25,15,30/11/2024,1,[]
Anuar,MAR,29,DT,23,valladolid,atletico madrid,0,45,0,0,0.0,0.0,0,0,0,11,100.0,0,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,1,0,1,13,117.0,24.0,0,0,0,0.0,24_25,15,30/11/2024,1,[]
Eray Cömert,SUI,26,DF,15,valladolid,atletico madrid,1,90,0,0,0.0,0.0,0,0,0,88,93.2,0,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,5,0,0,0,72,402.0,206.0,1,0,1,0.0,24_25,15,30/11/2024,1,[]
Abdulai Juma Bah,SLE,18,DF,35,valladolid,atletico madrid,1,90,0,0,0.0,0.0,0,0,0,64,89.1,0,0,0.0,0.0,0.0,0,1,1,0,0,1,1,0,4,1,1,0,56,233.0,64.0,0,2,0,100.0,24_25,15,30/11/2024,1,[]
Luis Pérez,ESP,29,DF,2,valladolid,atletico madrid,1,90,0,0,0.0,0.0,1,1,0,51,84.3,0,0,0.0,0.0,0.0,-1,2,2,0,0,0,0,0,3,0,0,0,30,133.0,36.0,1,0,1,0.0,24_25,15,30/11/2024,1,"[{'centros_area': [3, 29.0]}]"
Karl Jakob Hein,EST,22,PT,13,valladolid,atletico madrid,1,90,0,0,0.0,0.0,0,0,0,52,78.8,0,0,5.0,44.4,5.9,0,0,0,0,0,0,0,0,1,0,0,0,43,162.0,85.0,0,0,0,0.0,24_25,15,30/11/2024,1,"[{'paradas': [4, 96.0]}]"
