player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Vitor Roque,DT,betis,barcelona,1,76,0,0,0.0,0.0,1,1,0,11,72.7,0,0,0.0,0.0,0.0,5,1,1,0,1,2,0,2,0,1,0,1,6,34.0,23.0,1,1,2,33.3,24_25,16,1
Assane Diao,DT,betis,barcelona,0,14,1,0,0.2,0.1,1,0,1,5,60.0,0,0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,1,0,1,6,27.0,6.0,1,1,0,100.0,24_25,16,1
Abde Ezzalzouli,DT,betis,barcelona,1,85,0,0,0.9,0.2,3,2,1,33,57.6,0,0,0.0,0.0,0.0,2,2,3,0,1,0,0,0,1,1,1,0,26,101.0,54.0,2,1,1,50.0,24_25,16,1
Jesus Rodríguez,DT,betis,barcelona,0,5,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,2,1,1,6,55.0,3.0,0,0,0,0.0,24_25,16,1
Ezequiel Ávila,DT,betis,barcelona,1,90,0,0,0.2,0.1,2,0,2,12,66.7,0,0,0.0,0.0,0.0,3,2,4,0,3,0,0,0,2,2,1,0,11,40.0,15.0,0,0,1,0.0,24_25,16,1
Giovani Lo Celso,MC,betis,barcelona,1,90,1,0,0.8,0.4,1,1,0,48,64.6,0,0,0.0,0.0,0.0,13,4,2,0,0,2,0,2,0,1,1,0,24,87.0,38.0,0,1,0,100.0,24_25,16,1
Sergi Altimira,MC,betis,barcelona,1,90,0,0,0.9,0.3,1,1,0,35,85.7,0,0,0.0,0.0,0.0,2,4,5,0,2,2,0,2,0,0,0,0,16,55.0,17.0,0,0,1,0.0,24_25,16,1
Mateo Flores,MC,betis,barcelona,1,75,0,0,0.0,0.0,0,0,0,23,69.6,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,14,38.0,3.0,0,0,0,0.0,24_25,16,1
Isco,MC,betis,barcelona,0,15,0,0,0.0,0.0,0,0,0,9,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,3,21.0,8.0,1,0,0,0.0,24_25,16,1
Romain Perraud,DF,betis,barcelona,1,71,0,0,0.0,0.2,0,0,0,33,66.7,0,0,0.0,0.0,0.0,6,2,3,0,2,0,0,0,0,1,0,1,26,177.0,78.0,3,0,0,0.0,24_25,16,1
Aitor Ruibal,DF,betis,barcelona,0,19,0,1,0.0,0.2,0,0,0,14,92.9,0,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,1,2,1,1,10,73.0,41.0,2,1,0,100.0,24_25,16,1
Diego Llorente,DF,betis,barcelona,1,90,0,0,0.1,0.0,1,1,0,26,88.5,0,0,0.0,0.0,0.0,5,2,3,0,1,1,0,1,6,1,1,0,18,59.0,30.0,0,2,3,40.0,24_25,16,1
Marc Bartra,DF,betis,barcelona,1,90,0,0,0.0,0.0,1,1,0,38,73.7,0,0,0.0,0.0,0.0,5,1,2,0,1,0,0,0,8,2,1,1,23,117.0,59.0,1,3,0,100.0,24_25,16,1
Youssouf Sabaly,DF,betis,barcelona,1,90,0,0,0.0,0.0,0,0,0,31,83.9,0,0,0.0,0.0,0.0,-1,2,1,0,1,1,1,0,2,1,0,1,17,97.0,67.0,1,0,2,0.0,24_25,16,1
Fran Vieites,PT,betis,barcelona,1,90,0,0,0.0,0.0,0,0,0,32,68.8,0,0,2.0,33.3,1.7,2,0,0,0,0,0,0,0,0,0,0,0,17,61.0,23.0,0,0,0,0.0,24_25,16,1
Robert Lewandowski,DT,barcelona,betis,1,73,1,0,0.9,0.0,2,1,1,14,78.6,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,1,1,1,0,13,48.0,3.0,0,1,1,50.0,24_25,16,0
Pau Victor,DT,barcelona,betis,0,17,0,0,0.0,0.0,0,0,0,4,25.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,3,5.0,2.0,0,2,0,100.0,24_25,16,0
Raphinha,DT,barcelona,betis,1,59,0,0,0.1,0.2,1,1,0,12,58.3,0,0,0.0,0.0,0.0,6,0,0,0,0,1,1,0,2,3,1,1,13,70.0,26.0,1,0,0,0.0,24_25,16,0
Ferrán Torres,DT,barcelona,betis,0,31,1,0,0.6,0.0,1,0,1,9,77.8,0,0,0.0,0.0,0.0,6,0,1,0,1,0,0,0,0,1,0,1,9,23.0,4.0,0,0,0,0.0,24_25,16,0
Lamine Yamal,DT,barcelona,betis,1,90,0,1,0.2,0.6,2,1,1,31,54.8,0,0,0.0,0.0,0.0,11,2,1,0,0,0,0,0,1,11,6,4,33,377.0,224.0,7,0,0,0.0,24_25,16,0
Dani Olmo,MC,barcelona,betis,1,59,0,0,0.0,0.0,1,1,0,20,60.0,0,0,0.0,0.0,0.0,6,2,0,0,0,0,0,0,0,2,1,0,15,50.0,25.0,1,0,0,0.0,24_25,16,0
Frenkie de Jong,MC,barcelona,betis,0,31,0,0,0.0,0.0,0,0,0,17,94.1,1,0,0.0,0.0,0.0,-3,0,1,0,1,1,0,1,0,0,0,0,10,25.0,8.0,0,0,1,0.0,24_25,16,0
Marc Casado,MC,barcelona,betis,1,90,0,0,0.0,0.0,1,1,0,63,90.5,0,0,0.0,0.0,0.0,3,2,2,0,1,4,0,4,1,0,0,0,48,243.0,86.0,1,0,0,0.0,24_25,16,0
Pedri,MC,barcelona,betis,1,73,0,0,0.0,0.0,0,0,0,44,90.9,0,0,0.0,0.0,0.0,4,1,3,0,2,1,0,1,1,1,1,0,34,132.0,53.0,2,0,1,0.0,24_25,16,0
Gavi,MC,barcelona,betis,0,17,0,0,0.0,0.0,0,0,0,7,71.4,0,0,0.0,0.0,0.0,1,1,1,0,0,1,0,1,0,0,0,0,5,19.0,11.0,0,0,0,0.0,24_25,16,0
Alejandro Balde,DF,barcelona,betis,1,87,0,0,0.0,0.0,0,0,0,40,85.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1,5,1,3,32,156.0,71.0,2,0,0,0.0,24_25,16,0
Héctor Fort,DF,barcelona,betis,0,3,0,0,0.0,0.0,0,0,0,7,71.4,1,0,0.0,0.0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,3,5.0,2.0,0,0,0,0.0,24_25,16,0
Iñigo Martínez,DF,barcelona,betis,1,90,0,0,0.0,0.0,0,0,0,90,91.1,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,6,0,0,0,75,397.0,261.0,1,1,2,33.3,24_25,16,0
Pau Cubarsí,DF,barcelona,betis,1,90,0,0,0.0,0.0,0,0,0,100,92.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,5,0,0,0,85,297.0,159.0,0,4,3,57.1,24_25,16,0
