player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Miguel,DT,leganes,real sociedad,1,90,0,0,0.0,0.0,1,0,1,20,35.0,0,0,0.0,0.0,0.0,1,3,1,0,1,0,0,0,0,6,1,5,11,39.0,12.0,0,4,3,57.1,24_25,16,1
Seydouba Cissé,DT,leganes,real sociedad,1,55,0,0,0.0,0.0,1,1,0,33,78.8,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,1,1,0,13,82.0,23.0,0,3,0,100.0,24_25,16,1
Juan Cruz,MC,leganes,real sociedad,0,35,0,0,0.0,0.0,0,0,0,16,87.5,0,0,0.0,0.0,0.0,3,0,1,0,1,1,1,0,0,5,4,1,14,84.0,24.0,1,0,1,0.0,24_25,16,1
Diego,DT,leganes,real sociedad,1,90,0,0,0.1,0.1,1,1,0,14,64.3,0,0,0.0,0.0,0.0,1,0,0,0,0,2,1,1,0,1,1,0,13,34.0,27.0,1,2,6,25.0,24_25,16,1
Óscar Rodríguez Arnaiz,MC,leganes,real sociedad,1,90,0,0,0.2,0.1,5,4,1,53,69.8,0,0,0.0,0.0,0.0,6,2,0,0,0,1,1,0,0,8,3,5,16,79.0,22.0,0,1,0,100.0,24_25,16,1
Yvan Neyou,MC,leganes,real sociedad,1,90,0,0,0.2,0.0,2,2,0,49,79.6,1,0,0.0,0.0,0.0,3,2,1,0,0,1,0,1,1,0,0,0,30,133.0,82.0,0,1,3,25.0,24_25,16,1
Renato Tapia,MC,leganes,real sociedad,1,78,0,0,0.0,0.0,0,0,0,37,78.4,0,0,0.0,0.0,0.0,2,1,3,0,3,1,0,1,1,5,0,3,14,66.0,27.0,1,0,0,0.0,24_25,16,1
Munir El Haddadi,MC,leganes,real sociedad,0,12,0,0,0.1,0.0,1,1,0,5,80.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0.0,0,0,1,0.0,24_25,16,1
Javi Hernández,DF,leganes,real sociedad,1,90,0,0,0.0,0.1,0,0,0,45,82.2,0,0,0.0,0.0,0.0,3,1,1,0,0,3,2,1,3,0,0,0,12,54.0,38.0,2,2,0,100.0,24_25,16,1
Matija Nastasić,DF,leganes,real sociedad,1,90,0,0,0.0,0.0,0,0,0,45,80.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,6,0,0,0,9,19.0,3.0,0,1,0,100.0,24_25,16,1
Sergi,DF,leganes,real sociedad,1,90,0,0,0.0,0.0,0,0,0,61,80.3,0,0,0.0,0.0,0.0,3,2,2,0,0,3,2,1,9,0,0,0,23,87.0,51.0,0,1,2,33.3,24_25,16,1
Valentin Rosier,DF,leganes,real sociedad,1,90,0,0,0.0,0.2,0,0,0,55,80.0,1,0,0.0,0.0,0.0,-1,0,0,0,0,1,0,1,5,3,2,1,24,185.0,113.0,4,1,1,50.0,24_25,16,1
Marko Dmitrović,PT,leganes,real sociedad,1,90,0,0,0.0,0.0,0,0,0,40,55.0,0,0,3.0,40.0,2.1,2,0,0,0,0,0,0,0,0,0,0,0,17,87.0,37.0,0,0,0,0.0,24_25,16,1
Mikel Oyarzabal,DT,real sociedad,leganes,1,90,1,0,0.2,0.7,3,2,1,20,65.0,0,0,0.0,0.0,0.0,12,1,1,0,1,2,0,2,0,0,0,0,10,68.0,38.0,2,3,3,50.0,24_25,16,0
Sergio Gómez,MC,real sociedad,leganes,1,76,0,1,0.0,0.6,0,0,0,20,70.0,0,0,0.0,0.0,0.0,10,4,4,0,1,1,0,1,1,0,0,0,16,75.0,37.0,2,0,1,0.0,24_25,16,0
Ander Barrenetxea,MC,real sociedad,leganes,0,14,1,1,0.1,0.1,1,0,1,11,72.7,0,0,0.0,0.0,0.0,13,0,1,0,1,0,0,0,0,1,1,0,8,45.0,8.0,0,0,0,0.0,24_25,16,0
Luka Sučić,MC,real sociedad,leganes,1,90,0,0,0.7,0.0,2,1,1,25,76.0,0,0,0.0,0.0,0.0,6,1,0,0,0,1,0,1,0,3,1,1,24,92.0,50.0,2,0,1,0.0,24_25,16,0
Brais Méndez,MC,real sociedad,leganes,1,90,1,0,0.6,0.0,2,1,1,42,64.3,1,0,0.0,0.0,0.0,12,5,3,0,0,0,0,0,4,3,2,1,31,86.0,49.0,1,2,0,100.0,24_25,16,0
Takefusa Kubo,MC,real sociedad,leganes,1,77,0,0,0.1,0.1,2,2,0,26,76.9,0,0,0.0,0.0,0.0,5,1,1,0,0,1,0,1,0,2,0,1,27,154.0,92.0,3,0,1,0.0,24_25,16,0
Sheraldo Becker,MC,real sociedad,leganes,0,13,0,0,0.2,0.0,1,0,1,2,50.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,2,45.0,43.0,1,0,0,0.0,24_25,16,0
Martín Zubimendi,MC,real sociedad,leganes,1,49,0,0,0.0,0.0,0,0,0,21,81.0,0,0,0.0,0.0,0.0,4,2,4,0,2,2,0,2,2,1,1,0,11,46.0,8.0,0,1,0,100.0,24_25,16,0
Olasagasti,MC,real sociedad,leganes,0,41,0,0,0.0,0.0,1,1,0,20,85.0,0,0,0.0,0.0,0.0,1,2,4,0,3,2,1,1,0,0,0,0,10,24.0,10.0,0,0,1,0.0,24_25,16,0
Aihen Muñoz,DF,real sociedad,leganes,1,30,0,0,0.0,0.0,1,1,0,15,80.0,1,0,0.0,0.0,0.0,1,1,3,0,2,0,0,0,3,0,0,0,6,9.0,2.0,0,2,1,66.7,24_25,16,0
