player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Robert Lewandowski,POL,36,DT,9,barcelona,leganes,1,65,0,0,1.6,0.0,6,4,2,6,50.0,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,14,24.0,7.0,1,1,1,50.0,24_25,17,15/12/2024,1,"[{'goles': [2, 27.0]}, {'goles_90': [3, 0.91]}, {'penaltis_marcados': [10, 3.0]}, {'tiros_puerta': [3, 45.0]}, {'goles_por_tiro': [7, 0.22]}]"
Ferrán Torres,ESP,24,DT,7,barcelona,leganes,0,25,0,0,0.0,0.1,0,0,0,7,57.1,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,5,19.0,14.0,1,0,2,0.0,24_25,17,15/12/2024,1,"[{'goles_por_tiro': [9, 0.21]}, {'rojas': [8, 1.0]}]"
Raphinha,BRA,28,DT,11,barcelona,leganes,1,90,0,0,0.3,0.9,4,3,1,72,65.3,0,0,0.0,0.0,0.0,7,2,2,0,0,0,0,0,1,5,4,1,49,249.0,159.0,5,0,0,0.0,24_25,17,15/12/2024,1,"[{'goles': [6, 18.0]}, {'goles_90': [9, 0.57]}, {'asistencias': [2, 9.0]}, {'tiros_puerta': [4, 40.0]}, {'pases_clave': [2, 91.0]}, {'corners': [1, 140.0]}]"
Lamine Yamal,ESP,17,DT,19,barcelona,leganes,1,74,0,0,0.1,0.0,3,3,0,49,77.6,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,7,5,1,33,206.0,120.0,2,0,0,0.0,24_25,17,15/12/2024,1,"[{'asistencias': [1, 13.0]}, {'asistencias_90': [2, 0.41]}, {'tiros_puerta': [2, 46.0]}, {'pases_clave': [6, 64.0]}, {'regates_exitosos': [1, 161.0]}]"
Gavi,ESP,20,DT,6,barcelona,leganes,0,16,0,0,0.0,0.0,0,0,0,8,62.5,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,7,31.0,6.0,0,0,0,0.0,24_25,17,15/12/2024,1,[]
Dani Olmo,ESP,26,MC,20,barcelona,leganes,1,65,0,0,0.1,0.3,2,2,0,38,68.4,0,0,0.0,0.0,0.0,2,1,0,0,0,1,0,1,2,3,1,2,32,83.0,43.0,1,1,1,50.0,24_25,17,15/12/2024,1,"[{'goles_90': [6, 0.74]}]"
Fermin López,ESP,21,MC,16,barcelona,leganes,0,25,0,0,0.1,0.0,2,2,0,15,80.0,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,1,1,0,12,67.0,13.0,0,0,0,0.0,24_25,17,15/12/2024,1,"[{'asistencias_90': [3, 0.36]}, {'rojas': [8, 1.0]}]"
Pedri,ESP,22,MC,8,barcelona,leganes,1,90,0,0,0.0,0.6,0,0,0,131,91.6,0,0,0.0,0.0,0.0,7,3,3,0,1,1,0,1,0,2,2,0,87,603.0,291.0,6,0,0,0.0,24_25,17,15/12/2024,1,"[{'pases_clave': [3, 70.0]}, {'pases_ultimo_tercio': [1, 331.0]}]"
Marc Casado,ESP,21,MC,17,barcelona,leganes,1,79,0,0,0.0,0.0,0,0,0,127,89.0,0,0,0.0,0.0,0.0,5,2,4,0,2,0,0,0,0,1,1,0,83,336.0,149.0,3,2,1,66.7,24_25,17,15/12/2024,1,"[{'rojas': [8, 1.0]}]"
Pau Victor,ESP,23,MC,18,barcelona,leganes,0,11,0,0,0.1,0.0,1,1,0,7,85.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,5,42.0,39.0,1,0,0,0.0,24_25,17,15/12/2024,1,[]
Alejandro Balde,ESP,21,DF,3,barcelona,leganes,1,90,0,0,0.0,0.2,0,0,0,76,86.8,0,0,0.0,0.0,0.0,4,0,0,0,0,3,1,2,0,2,1,1,54,499.0,313.0,12,0,0,0.0,24_25,17,15/12/2024,1,[]
Iñigo Martínez,ESP,33,DF,5,barcelona,leganes,1,90,0,0,0.0,0.0,0,0,0,91,96.7,0,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,1,0,0,0,55,421.0,320.0,6,0,3,0.0,24_25,17,15/12/2024,1,"[{'pases_ultimo_tercio': [3, 259.0]}]"
Eric García,ESP,23,DF,24,barcelona,leganes,1,73,0,0,0.0,0.0,0,0,0,81,97.5,0,0,0.0,0.0,0.0,4,2,2,0,0,0,0,0,2,0,0,0,57,280.0,169.0,1,4,1,80.0,24_25,17,15/12/2024,1,"[{'pases_completados_pct': [7, 92.1]}]"
Pau Cubarsí,ESP,17,DF,2,barcelona,leganes,0,17,0,0,0.0,0.0,0,0,0,21,90.5,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,11,68.0,43.0,1,1,1,50.0,24_25,17,15/12/2024,1,"[{'pases_completados_pct': [5, 93.5]}, {'pases_ultimo_tercio': [7, 210.0]}]"
Jules Koundé,FRA,26,DF,23,barcelona,leganes,1,90,0,0,0.3,0.3,2,2,0,88,85.2,0,0,0.0,0.0,0.0,5,4,5,0,1,2,0,2,1,1,0,1,49,130.0,63.0,2,3,2,60.0,24_25,17,15/12/2024,1,"[{'pases_ultimo_tercio': [4, 267.0]}]"
Iñaki Peña,ESP,25,PT,13,barcelona,leganes,1,90,0,0,0.0,0.0,0,0,0,29,96.6,0,0,1.0,75.0,0.7,7,0,0,0,0,0,0,0,2,0,0,0,20,90.0,61.0,0,0,0,0.0,24_25,17,15/12/2024,1,"[{'porterias_cero': [10, 4.0]}, {'save_pct': [7, 76.8]}]"
Miguel,ESP,25,DT,9,leganes,barcelona,1,57,0,0,0.0,0.0,0,0,0,7,85.7,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,2,3,0,3,8,15.0,1.0,0,1,4,20.0,24_25,17,15/12/2024,0,[]
Diego,ESP,24,DT,19,leganes,barcelona,0,33,0,0,0.0,0.1,1,1,0,8,50.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,1,1,0,7,52.0,35.0,1,4,3,57.1,24_25,17,15/12/2024,0,[]
Óscar Rodríguez Arnaiz,ESP,26,MC,7,leganes,barcelona,1,90,0,1,0.0,0.3,0,0,0,25,60.0,0,0,0.0,0.0,0.0,15,4,5,0,4,1,0,1,5,5,2,3,21,110.0,59.0,1,1,1,50.0,24_25,17,15/12/2024,0,"[{'rojas': [8, 1.0]}]"
Seydouba Cissé,GUI,23,MC,8,leganes,barcelona,1,81,0,0,0.0,0.0,0,0,0,18,72.2,1,0,0.0,0.0,0.0,4,0,1,0,1,1,1,0,2,0,0,0,15,42.0,7.0,0,1,0,100.0,24_25,17,15/12/2024,0,"[{'rojas': [8, 1.0]}]"
