player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Ayoze Pérez,ESP,31,DT,22,villarreal,betis,1,90,0,0,0.0,0.1,1,1,0,17,88.2,0,0,0.0,0.0,0.0,2,1,1,0,1,2,0,2,2,2,1,1,7,45.0,7.0,0,0,0,0.0,24_25,17,15/12/2024,1,"[{'goles': [5, 19.0]}, {'goles_90': [4, 0.87]}, {'tiros_puerta': [8, 31.0]}, {'goles_por_tiro': [4, 0.25]}]"
Gerard Moreno,ESP,32,DT,7,villarreal,betis,1,90,0,0,0.1,0.0,2,1,1,18,77.8,0,0,0.0,0.0,0.0,1,1,2,0,1,0,0,0,0,4,1,3,16,96.0,30.0,1,1,1,50.0,24_25,17,15/12/2024,1,"[{'penaltis_marcados': [10, 3.0]}]"
Alex Baena,ESP,23,MC,16,villarreal,betis,1,90,1,0,0.4,0.6,4,3,1,73,63.0,1,0,0.0,0.0,0.0,10,1,0,0,0,3,1,2,0,4,2,1,47,234.0,139.0,2,1,1,50.0,24_25,17,15/12/2024,1,"[{'asistencias': [2, 9.0]}, {'asistencias_90': [9, 0.31]}, {'pases_clave': [1, 95.0]}, {'corners': [4, 107.0]}]"
Daniel Parejo,ESP,35,MC,10,villarreal,betis,1,90,0,0,0.0,0.0,1,1,0,85,90.6,1,0,0.0,0.0,0.0,4,4,2,0,0,0,0,0,0,0,0,0,47,254.0,159.0,4,3,0,100.0,24_25,17,15/12/2024,1,"[{'pases_ultimo_tercio': [9, 176.0]}]"
Pape Gueye,SEN,25,MC,18,villarreal,betis,1,56,0,0,0.0,0.0,0,0,0,39,89.7,1,0,0.0,0.0,0.0,1,4,1,0,0,0,0,0,0,1,0,1,26,83.0,52.0,0,0,0,0.0,24_25,17,15/12/2024,1,"[{'rojas': [2, 2.0]}, {'faltas_recibidas': [9, 62.0]}]"
Thierno Barry,FRA,22,DT,15,villarreal,betis,0,34,0,0,1.0,0.4,6,5,1,1,0.0,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,6,0,100.0,24_25,17,15/12/2024,1,[]
Yeremi Pino,ESP,22,MC,21,villarreal,betis,1,69,0,0,0.4,0.1,1,1,0,41,78.0,1,0,0.0,0.0,0.0,2,2,1,0,1,2,0,2,0,3,2,1,27,148.0,90.0,2,0,0,0.0,24_25,17,15/12/2024,1,"[{'asistencias': [8, 7.0]}, {'asistencias_90': [6, 0.33]}, {'amarillas': [6, 11.0]}]"
Pau Cabanes,ESP,19,MC,33,villarreal,betis,0,21,0,0,0.0,0.0,0,0,0,21,57.1,0,0,0.0,0.0,0.0,3,1,1,0,0,0,0,0,0,4,3,1,19,156.0,75.0,4,0,0,0.0,24_25,17,15/12/2024,1,[]
Sergi Cardona,ESP,25,DF,23,villarreal,betis,1,90,0,0,0.0,0.0,0,0,0,62,87.1,0,0,0.0,0.0,0.0,1,2,2,0,0,1,0,1,3,1,0,1,28,204.0,164.0,3,1,1,50.0,24_25,17,15/12/2024,1,"[{'asistencias': [8, 7.0]}, {'centros_area': [7, 26.0]}, {'amarillas': [6, 11.0]}]"
Eric Bailly,CIV,30,DF,4,villarreal,betis,1,45,0,0,0.0,0.0,1,1,0,32,75.0,0,0,0.0,0.0,0.0,1,2,0,0,0,0,0,0,0,0,0,0,19,93.0,55.0,0,2,0,100.0,24_25,17,15/12/2024,1,"[{'rojas': [8, 1.0]}]"
Juan Bernat,ESP,31,DF,12,villarreal,betis,0,45,0,0,0.0,0.1,0,0,0,28,57.1,0,0,0.0,0.0,0.0,1,0,0,0,0,1,1,0,1,0,0,0,13,79.0,47.0,1,2,0,100.0,24_25,17,15/12/2024,1,[]
Raúl Albiol,ESP,39,DF,3,villarreal,betis,1,90,0,0,0.0,0.0,1,1,0,81,93.8,0,0,0.0,0.0,0.0,2,0,1,0,1,1,0,1,4,0,0,0,48,306.0,202.0,3,3,0,100.0,24_25,17,15/12/2024,1,[]
Kiko Femenía,ESP,33,DF,17,villarreal,betis,1,90,0,0,0.0,0.2,0,0,0,83,85.5,1,0,0.0,0.0,0.0,1,1,1,0,1,1,1,0,2,1,1,0,41,201.0,116.0,4,0,0,0.0,24_25,17,15/12/2024,1,"[{'rojas': [10, 1.0]}]"
Luiz Lúcio Reis Júnior,BRA,23,PT,1,villarreal,betis,1,90,0,0,0.0,0.0,0,0,0,21,90.5,0,0,2.0,50.0,1.9,4,0,0,0,0,0,0,0,1,0,0,0,12,56.0,45.0,0,1,0,100.0,24_25,17,15/12/2024,1,"[{'save_pct': [2, 78.8]}]"
Vitor Roque,BRA,19,DT,8,betis,villarreal,1,67,1,0,0.4,0.0,3,2,1,9,66.7,1,0,0.0,0.0,0.0,7,1,0,0,0,0,0,0,1,2,1,1,11,84.0,36.0,2,0,2,0.0,24_25,17,15/12/2024,0,"[{'rojas': [10, 1.0]}]"
Assane Diao,SEN,19,DT,38,betis,villarreal,0,23,0,0,0.1,0.0,1,1,0,4,50.0,0,0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,1,0,1,5,76.0,32.0,1,0,1,0.0,24_25,17,15/12/2024,0,[]
