player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Kiké,DT,alaves,girona,1,71,0,0,0.3,0.0,2,2,0,11,72.7,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,1,0,1,13,108.0,64.0,2,0,1,0.0
Toni Martínez,DT,alaves,girona,0,19,0,0,0.1,0.0,1,1,0,6,50.0,0,0,0.0,0.0,0.0,3,0,0,0,0,1,0,1,0,2,2,0,2,36.0,22.0,1,3,1,75.0
Jon Guridi,DT,alaves,girona,1,90,0,0,0.0,0.0,0,0,0,37,75.7,1,0,0.0,0.0,0.0,2,0,1,0,1,1,0,1,0,1,0,1,26,96.0,31.0,1,2,2,50.0
Carlos Martín,MC,alaves,girona,1,29,0,0,0.0,0.0,0,0,0,9,55.6,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,6,22.0,14.0,0,0,1,0.0
Tomás Conechny,MC,alaves,girona,0,61,0,0,0.8,0.0,3,2,1,31,77.4,0,0,0.0,0.0,0.0,4,1,1,0,0,1,0,1,0,1,1,0,22,83.0,29.0,1,3,2,60.0
Antonio Blanco,MC,alaves,girona,1,90,0,0,0.0,0.7,2,2,0,44,88.6,0,0,0.0,0.0,0.0,10,3,2,0,0,0,0,0,3,2,2,0,36,126.0,54.0,0,0,0,0.0
Joan Jordán,MC,alaves,girona,1,29,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,2,2.0,0.0,0,0,0,0.0
Ander Guevara,MC,alaves,girona,0,61,0,0,0.1,0.0,1,0,1,31,80.6,0,0,0.0,0.0,0.0,6,3,2,0,1,0,0,0,1,1,1,0,9,34.0,6.0,0,0,0,0.0
Carlos Vicente,MC,alaves,girona,1,90,0,0,0.0,0.3,1,1,0,39,51.3,0,0,0.0,0.0,0.0,5,0,1,0,1,2,0,2,2,2,0,1,28,191.0,97.0,7,0,1,0.0
Manu Sánchez,DF,alaves,girona,1,89,0,0,0.0,0.1,1,1,0,31,74.2,0,0,0.0,0.0,0.0,2,2,2,0,1,1,0,1,3,2,1,1,23,151.0,103.0,2,0,0,0.0
Asier Villalibre,MC,alaves,girona,0,1,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,1,1,7.0,0.0,0,0,0,0.0
Moussa Diarra,DF,alaves,girona,1,90,0,0,0.0,0.1,0,0,0,34,82.4,0,0,0.0,0.0,0.0,5,3,0,0,0,0,0,0,2,0,0,0,29,116.0,65.0,0,1,1,50.0
Abdel Abqar,DF,alaves,girona,1,90,0,0,0.0,0.0,0,0,0,34,79.4,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,6,0,0,0,29,127.0,62.0,0,2,3,40.0
Nahuel Tenaglia,DF,alaves,girona,1,90,0,0,0.0,0.0,0,0,0,47,89.4,0,0,0.0,0.0,0.0,6,2,5,0,3,2,0,2,9,1,1,0,34,177.0,103.0,4,0,1,0.0
