player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Kiké,ESP,34,DT,17,alaves,betis,1,76,0,0,0.0,0.1,0,0,0,11,81.8,0,0,0.0,0.0,0.0,4,1,1,0,0,0,0,0,1,1,0,1,6,21.0,2.0,0,1,3,25.0,24_25,2,25/08/2024,1,"[{'goles': [9, 13.0]}, {'penaltis_marcados': [10, 3.0]}, {'rojas': [8, 1.0]}]"
Jon Guridi,ESP,29,MC,18,alaves,betis,0,14,0,0,0.0,0.0,0,0,0,3,66.7,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,1,0,0,0,3,13.0,4.0,0,0,2,0.0,24_25,2,25/08/2024,1,[]
Stoichkov,ESP,30,DT,19,alaves,betis,1,60,0,0,0.0,0.0,1,1,0,20,60.0,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,1,3,2,1,18,128.0,47.0,2,1,1,50.0,24_25,2,25/08/2024,1,[]
Carlos Martín,ESP,22,DT,15,alaves,betis,0,30,0,0,0.0,0.0,0,0,0,5,60.0,0,0,0.0,0.0,0.0,1,0,2,0,2,1,1,0,0,1,0,1,3,35.0,0.0,0,1,0,100.0,24_25,2,25/08/2024,1,[]
Tomás Conechny,ARG,26,MC,10,alaves,betis,1,60,0,0,0.1,0.0,2,2,0,12,25.0,0,0,0.0,0.0,0.0,4,0,0,0,0,1,0,1,0,1,0,1,14,52.0,23.0,2,1,0,100.0,24_25,2,25/08/2024,1,[]
Luka Romero,ARG,19,DT,20,alaves,betis,0,30,0,0,0.0,0.0,0,0,0,4,50.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,6,34.0,19.0,1,0,0,0.0,24_25,2,25/08/2024,1,[]
Ander Guevara,ESP,27,MC,6,alaves,betis,1,76,0,0,0.1,0.0,1,1,0,38,78.9,0,0,0.0,0.0,0.0,6,4,3,0,1,2,0,2,0,1,0,1,22,92.0,34.0,0,0,1,0.0,24_25,2,25/08/2024,1,[]
Carlos Benavídez,URU,26,MC,23,alaves,betis,0,14,0,0,0.0,0.0,0,0,0,6,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,3,17.0,15.0,0,1,0,100.0,24_25,2,25/08/2024,1,[]
Antonio Blanco,ESP,24,MC,8,alaves,betis,1,90,0,0,0.0,0.0,1,0,1,44,72.7,0,0,0.0,0.0,0.0,6,1,3,0,2,2,0,2,0,2,1,1,23,132.0,108.0,1,0,2,0.0,24_25,2,25/08/2024,1,"[{'amarillas': [6, 11.0]}, {'rojas': [8, 1.0]}, {'faltas_cometidas': [3, 66.0]}]"
Carlos Vicente,ESP,25,MC,7,alaves,betis,1,87,0,0,0.0,0.0,0,0,0,37,54.1,0,0,0.0,0.0,0.0,8,1,1,0,0,2,0,2,0,6,3,3,22,184.0,90.0,4,1,0,100.0,24_25,2,25/08/2024,1,"[{'pases_clave': [7, 63.0]}, {'centros_area': [3, 29.0]}, {'corners': [8, 85.0]}, {'faltas_recibidas': [9, 62.0]}]"
Moussa Diarra,MLI,23,DT,22,alaves,betis,0,3,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,24_25,2,25/08/2024,1,[]
Manu Sánchez,ESP,24,DF,3,alaves,betis,1,90,0,0,0.0,0.0,0,0,0,44,61.4,0,0,0.0,0.0,0.0,8,2,2,0,1,3,0,3,3,0,0,0,14,102.0,74.0,1,0,1,0.0,24_25,2,25/08/2024,1,"[{'entradas': [7, 83.0]}, {'rojas': [8, 1.0]}, {'faltas_cometidas': [6, 56.0]}]"
